kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.019,0.599,0.588,District,district,RBC
1 - average_daily_renewable_share_grid,1.015,0.809,0.797,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.072,37373.874,34878.518,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.04,0.612,0.588,District,district,SAC
1 - average_daily_renewable_share_grid,1.015,0.809,0.797,District,district,SAC
1 - load_factor,0.985,0.844,0.857,District,district,SAC
1 - used_pv_of_total_share,1.008,0.146,0.144,District,district,SAC
average_daily_peak,0.993,10.705,10.782,District,district,SAC
carbon_emissions,1.096,3695.0,3412.055,District,district,SAC
cost,1.091,3957.554,3670.012,District,district,SAC
electricity_consumption,1.097,7240.396,6683.189,District,district,SAC
fossil_energy_consumption,1.092,38101.39,34878.518,District,district,SAC
ramping,1.101,23773.271,21583.846,District,district,SAC
electricity_consumption,1.213,5492.705,4528.42,Building_3,building,SAC
carbon_emissions,1.209,2821.352,2332.712,Building_3,building,SAC
cost,1.195,3087.433,2584.57,Building_3,building,SAC
1 - used_pv_of_total_share,1.118,0.194,0.173,Building_3,building,SAC
electricity_consumption,1.068,6038.499,5652.286,Building_5,building,SAC
carbon_emissions,1.067,3076.162,2881.739,Building_5,building,SAC
cost,1.063,3264.426,3071.658,Building_5,building,SAC
1 - used_pv_of_total_share,0.84,0.102,0.122,Building_5,building,SAC
electricity_consumption,1.114,6169.969,5540.207,Building_7,building,SAC
carbon_emissions,1.114,3130.269,2810.394,Building_7,building,SAC
cost,1.111,3267.01,2939.918,Building_7,building,SAC
1 - used_pv_of_total_share,0.993,0.215,0.216,Building_7,building,SAC
electricity_consumption,1.112,6667.695,5997.7,Building_8,building,SAC
carbon_emissions,1.112,3407.933,3064.868,Building_8,building,SAC
cost,1.109,3656.105,3296.626,Building_8,building,SAC
1 - used_pv_of_total_share,1.096,0.165,0.151,Building_8,building,SAC
electricity_consumption,1.038,7927.068,7635.149,Building_11,building,SAC
carbon_emissions,1.038,4051.596,3901.761,Building_11,building,SAC
cost,1.036,4356.163,4206.557,Building_11,building,SAC
1 - used_pv_of_total_share,1.055,0.08,0.076,Building_11,building,SAC
electricity_consumption,1.037,11146.441,10745.375,Building_17,building,SAC
carbon_emissions,1.037,5682.686,5480.857,Building_17,building,SAC
cost,1.033,6114.187,5920.74,Building_17,building,SAC
1 - used_pv_of_total_share,0.948,0.12,0.127,Building_17,building,SAC
1 - average_daily_renewable_share,0.997,0.587,0.588,District,district,SAC Best
1 - average_daily_renewable_share_grid,0.989,0.788,0.797,District,district,SAC Best
1 - load_factor,0.99,0.848,0.857,District,district,SAC Best
1 - used_pv_of_total_share,0.882,0.131,0.144,District,district,SAC Best
average_daily_peak,0.951,10.252,10.782,District,district,SAC Best
carbon_emissions,0.977,3332.495,3412.055,District,district,SAC Best
cost,0.977,3582.908,3670.012,District,district,SAC Best
electricity_consumption,0.977,6526.048,6683.189,District,district,SAC Best
fossil_energy_consumption,0.97,33834.021,34878.518,District,district,SAC Best
ramping,0.963,20792.173,21583.846,District,district,SAC Best
electricity_consumption,0.985,4460.349,4528.42,Building_3,building,SAC Best
carbon_emissions,0.986,2299.2,2332.712,Building_3,building,SAC Best
cost,0.987,2551.624,2584.57,Building_3,building,SAC Best
1 - used_pv_of_total_share,0.975,0.169,0.173,Building_3,building,SAC Best
electricity_consumption,0.952,5379.192,5652.286,Building_5,building,SAC Best
carbon_emissions,0.952,2744.599,2881.739,Building_5,building,SAC Best
cost,0.955,2933.564,3071.658,Building_5,building,SAC Best
