kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.044,1101.699,1060.211,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.068,759.84,711.723,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.046,927.027,886.36,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.062,939.942,885.24,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.045,976.432,934.55,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.023,1233.015,1205.603,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.021,1773.941,1737.79,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.997,0.642,0.645,District,district,SAC
1 - average_daily_renewable_share_grid,0.984,0.871,0.885,District,district,SAC
1 - load_factor,0.978,0.838,0.857,District,district,SAC
1 - used_pv_of_total_share,0.759,0.112,0.144,District,district,SAC
average_daily_peak,0.913,9.849,10.782,District,district,SAC
carbon_emissions,0.952,1012.135,1060.211,District,district,SAC
cost,0.949,3487.992,3670.012,District,district,SAC
electricity_consumption,0.955,6398.25,6683.189,District,district,SAC
ramping,0.971,20967.164,21583.846,District,district,SAC
electricity_consumption,0.929,4205.191,4528.42,Building_3,building,SAC
carbon_emissions,0.924,657.852,711.723,Building_3,building,SAC
cost,0.928,2397.304,2584.57,Building_3,building,SAC
1 - used_pv_of_total_share,0.806,0.14,0.173,Building_3,building,SAC
electricity_consumption,0.964,5446.204,5652.286,Building_5,building,SAC
carbon_emissions,0.963,853.641,886.36,Building_5,building,SAC
cost,0.958,2943.907,3071.658,Building_5,building,SAC
1 - used_pv_of_total_share,0.717,0.087,0.122,Building_5,building,SAC
electricity_consumption,0.977,5413.939,5540.207,Building_7,building,SAC
carbon_emissions,0.972,860.8,885.24,Building_7,building,SAC
cost,0.967,2843.019,2939.918,Building_7,building,SAC
1 - used_pv_of_total_share,0.848,0.184,0.216,Building_7,building,SAC
electricity_consumption,0.945,5665.904,5997.7,Building_8,building,SAC
carbon_emissions,0.944,882.082,934.55,Building_8,building,SAC
cost,0.934,3078.938,3296.626,Building_8,building,SAC
1 - used_pv_of_total_share,0.766,0.115,0.151,Building_8,building,SAC
electricity_consumption,0.943,7199.001,7635.149,Building_11,building,SAC
carbon_emissions,0.939,1131.962,1205.603,Building_11,building,SAC
cost,0.939,3952.034,4206.557,Building_11,building,SAC
1 - used_pv_of_total_share,0.682,0.052,0.076,Building_11,building,SAC
electricity_consumption,0.973,10459.261,10745.375,Building_17,building,SAC
carbon_emissions,0.97,1686.472,1737.79,Building_17,building,SAC
cost,0.965,5712.749,5920.74,Building_17,building,SAC
1 - used_pv_of_total_share,0.735,0.093,0.127,Building_17,building,SAC
1 - average_daily_renewable_share,0.994,0.641,0.645,District,district,SAC_DB2
1 - average_daily_renewable_share_grid,0.981,0.868,0.885,District,district,SAC_DB2
1 - load_factor,0.98,0.84,0.857,District,district,SAC_DB2
1 - used_pv_of_total_share,0.765,0.113,0.144,District,district,SAC_DB2
average_daily_peak,0.901,9.715,10.782,District,district,SAC_DB2
carbon_emissions,0.945,1002.932,1060.211,District,district,SAC_DB2
cost,0.945,3467.779,3670.012,District,district,SAC_DB2
electricity_consumption,0.948,6335.05,6683.189,District,district,SAC_DB2
ramping,0.965,20826.237,21583.846,District,district,SAC_DB2
electricity_consumption,0.951,4305.621,4528.42,Building_3,building,SAC_DB2
carbon_emissions,0.948,674.564,711.723,Building_3,building,SAC_DB2
cost,0.95,2455.084,2584.57,Building_3,building,SAC_DB2
1 - used_pv_of_total_share,0.831,0.144,0.173,Building_3,building,SAC_DB2
electricity_consumption,0.95,5371.226,5652.286,Building_5,building,SAC_DB2
carbon_emissions,0.95,841.708,886.36,Building_5,building,SAC_DB2
cost,0.95,2919.23,3071.658,Building_5,building,SAC_DB2
1 - used_pv_of_total_share,0.754,0.092,0.122,Building_5,building,SAC_DB2
electricity_consumption,0.963,5336.202,5540.207,Building_7,building,SAC_DB2
carbon_emissions,0.959,848.854,885.24,Building_7,building,SAC_DB2
cost,0.958,2815.305,2939.918,Building_7,building,SAC_DB2
1 - used_pv_of_total_share,0.86,0.186,0.216,Building_7,building,SAC_DB2
electricity_consumption,0.932,5590.078,5997.7,Building_8,building,SAC_DB2
carbon_emissions,0.931,869.848,934.55,Building_8,building,SAC_DB2
cost,0.928,3058.501,3296.626,Building_8,building,SAC_DB2
1 - used_pv_of_total_share,0.76,0.115,0.151,Building_8,building,SAC_DB2
electricity_consumption,0.929,7093.249,7635.149,Building_11,building,SAC_DB2
carbon_emissions,0.929,1119.914,1205.603,Building_11,building,SAC_DB2
cost,0.928,3904.314,4206.557,Building_11,building,SAC_DB2
1 - used_pv_of_total_share,0.674,0.051,0.076,Building_11,building,SAC_DB2
electricity_consumption,0.96,10313.924,10745.375,Building_17,building,SAC_DB2
carbon_emissions,0.957,1662.702,1737.79,Building_17,building,SAC_DB2
cost,0.955,5654.239,5920.74,Building_17,building,SAC_DB2
1 - used_pv_of_total_share,0.712,0.09,0.127,Building_17,building,SAC_DB2
