kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3867.753,3653.428,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39925.815,37461.364,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2807.561,2573.812,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3269.959,3057.456,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3184.759,2926.063,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3497.941,3282.401,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4356.982,4187.857,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6089.315,5892.977,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,0.995,0.881,0.885,District,district,SAC_DB2Value
1 - load_factor,0.993,0.851,0.857,District,district,SAC_DB2Value
1 - used_pv_of_total_share,1.059,0.15,0.144,District,district,SAC_DB2Value
average_daily_peak,1.025,11.05,10.782,District,district,SAC_DB2Value
carbon_emissions,1.042,3558.637,3412.055,District,district,SAC_DB2Value
cost,1.042,3810.138,3653.428,District,district,SAC_DB2Value
electricity_consumption,1.042,6966.376,6683.189,District,district,SAC_DB2Value
fossil_energy_consumption,1.045,39132.574,37461.364,District,district,SAC_DB2Value
ramping,1.048,22620.898,21583.846,District,district,SAC_DB2Value
electricity_consumption,1.032,4671.79,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,1.031,2404.411,2332.712,Building_3,building,SAC_DB2Value
cost,1.027,2642.088,2573.812,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,1.021,0.177,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,1.025,5796.132,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,1.026,2955.657,2881.739,Building_5,building,SAC_DB2Value
cost,1.025,3133.289,3057.456,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,0.99,0.121,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,1.076,5958.839,5540.207,Building_7,building,SAC_DB2Value
carbon_emissions,1.076,3023.172,2810.394,Building_7,building,SAC_DB2Value
cost,1.073,3138.705,2926.063,Building_7,building,SAC_DB2Value
1 - used_pv_of_total_share,0.941,0.204,0.216,Building_7,building,SAC_DB2Value
electricity_consumption,1.034,6200.492,5997.7,Building_8,building,SAC_DB2Value
carbon_emissions,1.035,3173.278,3064.868,Building_8,building,SAC_DB2Value
cost,1.039,3410.71,3282.401,Building_8,building,SAC_DB2Value
1 - used_pv_of_total_share,1.079,0.163,0.151,Building_8,building,SAC_DB2Value
electricity_consumption,1.034,7891.85,7635.149,Building_11,building,SAC_DB2Value
carbon_emissions,1.034,4034.744,3901.761,Building_11,building,SAC_DB2Value
cost,1.036,4337.559,4187.857,Building_11,building,SAC_DB2Value
1 - used_pv_of_total_share,1.165,0.089,0.076,Building_11,building,SAC_DB2Value
electricity_consumption,1.05,11279.153,10745.375,Building_17,building,SAC_DB2Value
carbon_emissions,1.051,5760.557,5480.857,Building_17,building,SAC_DB2Value
cost,1.052,6198.479,5892.977,Building_17,building,SAC_DB2Value
1 - used_pv_of_total_share,1.159,0.147,0.127,Building_17,building,SAC_DB2Value
1 - average_daily_renewable_share,0.991,0.639,0.645,District,district,SAC_DB2Value Best
1 - average_daily_renewable_share_grid,0.983,0.87,0.885,District,district,SAC_DB2Value Best
1 - load_factor,0.98,0.839,0.857,District,district,SAC_DB2Value Best
1 - used_pv_of_total_share,0.839,0.12,0.144,District,district,SAC_DB2Value Best
average_daily_peak,0.906,9.765,10.782,District,district,SAC_DB2Value Best
carbon_emissions,0.941,3234.189,3412.055,District,district,SAC_DB2Value Best
cost,0.94,3460.202,3653.428,District,district,SAC_DB2Value Best
electricity_consumption,0.94,6332.152,6683.189,District,district,SAC_DB2Value Best
fossil_energy_consumption,0.942,35300.856,37461.364,District,district,SAC_DB2Value Best
ramping,0.955,20608.41,21583.846,District,district,SAC_DB2Value Best
electricity_consumption,0.909,4114.301,4528.42,Building_3,building,SAC_DB2Value Best
carbon_emissions,0.91,2122.913,2332.712,Building_3,building,SAC_DB2Value Best
cost,0.913,2349.66,2573.812,Building_3,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.843,0.146,0.173,Building_3,building,SAC_DB2Value Best
electricity_consumption,0.935,5283.205,5652.286,Building_5,building,SAC_DB2Value Best
carbon_emissions,0.935,2695.696,2881.739,Building_5,building,SAC_DB2Value Best
cost,0.936,2861.648,3057.456,Building_5,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.788,0.096,0.122,Building_5,building,SAC_DB2Value Best
electricity_consumption,0.928,5140.629,5540.207,Building_7,building,SAC_DB2Value Best
carbon_emissions,0.927,2604.968,2810.394,Building_7,building,SAC_DB2Value Best
cost,0.921,2694.139,2926.063,Building_7,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.76,0.164,0.216,Building_7,building,SAC_DB2Value Best
electricity_consumption,0.928,5567.894,5997.7,Building_8,building,SAC_DB2Value Best
carbon_emissions,0.929,2847.468,3064.868,Building_8,building,SAC_DB2Value Best
cost,0.93,3051.527,3282.401,Building_8,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.854,0.129,0.151,Building_8,building,SAC_DB2Value Best
electricity_consumption,0.958,7311.615,7635.149,Building_11,building,SAC_DB2Value Best
carbon_emissions,0.959,3740.823,3901.761,Building_11,building,SAC_DB2Value Best
cost,0.961,4022.843,4187.857,Building_11,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.88,0.067,0.076,Building_11,building,SAC_DB2Value Best
electricity_consumption,0.984,10575.265,10745.375,Building_17,building,SAC_DB2Value Best
carbon_emissions,0.984,5393.266,5480.857,Building_17,building,SAC_DB2Value Best
cost,0.981,5781.396,5892.977,Building_17,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.907,0.115,0.127,Building_17,building,SAC_DB2Value Best
