kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.988,0.637,0.645,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,0.98,0.867,0.885,District,district,SAC_DB2Value
1 - load_factor,0.987,0.845,0.857,District,district,SAC_DB2Value
1 - used_pv_of_total_share,0.798,0.116,0.144,District,district,SAC_DB2Value
average_daily_peak,0.948,10.221,10.782,District,district,SAC_DB2Value
carbon_emissions,0.96,3270.134,3412.055,District,district,SAC_DB2Value
cost,0.954,3498.207,3670.012,District,district,SAC_DB2Value
electricity_consumption,0.96,6409.527,6683.189,District,district,SAC_DB2Value
fossil_energy_consumption,0.955,35756.343,37460.062,District,district,SAC_DB2Value
ramping,1.017,21952.44,21583.846,District,district,SAC_DB2Value
electricity_consumption,0.945,4279.696,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,0.945,2203.813,2332.712,Building_3,building,SAC_DB2Value
cost,0.94,2430.398,2584.57,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,0.815,0.141,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,0.984,5562.159,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,0.983,2833.145,2881.739,Building_5,building,SAC_DB2Value
cost,0.977,3001.775,3071.658,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,0.804,0.098,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,0.974,5394.514,5540.207,Building_7,building,SAC_DB2Value
carbon_emissions,0.972,2732.033,2810.394,Building_7,building,SAC_DB2Value
cost,0.964,2834.093,2939.918,Building_7,building,SAC_DB2Value
1 - used_pv_of_total_share,0.844,0.183,0.216,Building_7,building,SAC_DB2Value
electricity_consumption,0.951,5705.86,5997.7,Building_8,building,SAC_DB2Value
carbon_emissions,0.95,2912.4,3064.868,Building_8,building,SAC_DB2Value
cost,0.943,3110.226,3296.626,Building_8,building,SAC_DB2Value
1 - used_pv_of_total_share,0.807,0.122,0.151,Building_8,building,SAC_DB2Value
electricity_consumption,0.958,7315.853,7635.149,Building_11,building,SAC_DB2Value
carbon_emissions,0.958,3737.841,3901.761,Building_11,building,SAC_DB2Value
cost,0.954,4013.577,4206.557,Building_11,building,SAC_DB2Value
1 - used_pv_of_total_share,0.787,0.06,0.076,Building_11,building,SAC_DB2Value
electricity_consumption,0.949,10199.08,10745.375,Building_17,building,SAC_DB2Value
carbon_emissions,0.949,5201.574,5480.857,Building_17,building,SAC_DB2Value
cost,0.946,5599.17,5920.74,Building_17,building,SAC_DB2Value
1 - used_pv_of_total_share,0.733,0.093,0.127,Building_17,building,SAC_DB2Value
1 - average_daily_renewable_share,0.989,0.638,0.645,District,district,SAC_DB2Value Best
1 - average_daily_renewable_share_grid,0.98,0.867,0.885,District,district,SAC_DB2Value Best
1 - load_factor,0.983,0.842,0.857,District,district,SAC_DB2Value Best
1 - used_pv_of_total_share,0.782,0.113,0.144,District,district,SAC_DB2Value Best
average_daily_peak,0.94,10.133,10.782,District,district,SAC_DB2Value Best
carbon_emissions,0.952,3248.483,3412.055,District,district,SAC_DB2Value Best
cost,0.948,3479.913,3670.012,District,district,SAC_DB2Value Best
electricity_consumption,0.952,6364.715,6683.189,District,district,SAC_DB2Value Best
fossil_energy_consumption,0.947,35488.861,37460.062,District,district,SAC_DB2Value Best
ramping,1.001,21595.248,21583.846,District,district,SAC_DB2Value Best
electricity_consumption,0.935,4233.976,4528.42,Building_3,building,SAC_DB2Value Best
carbon_emissions,0.935,2179.932,2332.712,Building_3,building,SAC_DB2Value Best
cost,0.929,2400.635,2584.57,Building_3,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.76,0.132,0.173,Building_3,building,SAC_DB2Value Best
electricity_consumption,0.962,5438.084,5652.286,Building_5,building,SAC_DB2Value Best
carbon_emissions,0.962,2773.15,2881.739,Building_5,building,SAC_DB2Value Best
cost,0.961,2952.806,3071.658,Building_5,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.797,0.097,0.122,Building_5,building,SAC_DB2Value Best
electricity_consumption,0.968,5362.379,5540.207,Building_7,building,SAC_DB2Value Best
carbon_emissions,0.967,2716.293,2810.394,Building_7,building,SAC_DB2Value Best
cost,0.959,2819.359,2939.918,Building_7,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.834,0.18,0.216,Building_7,building,SAC_DB2Value Best
electricity_consumption,0.946,5676.649,5997.7,Building_8,building,SAC_DB2Value Best
carbon_emissions,0.946,2898.926,3064.868,Building_8,building,SAC_DB2Value Best
cost,0.94,3099.98,3296.626,Building_8,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.791,0.119,0.151,Building_8,building,SAC_DB2Value Best
electricity_consumption,0.956,7300.731,7635.149,Building_11,building,SAC_DB2Value Best
carbon_emissions,0.956,3730.921,3901.761,Building_11,building,SAC_DB2Value Best
cost,0.954,4011.401,4206.557,Building_11,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.791,0.06,0.076,Building_11,building,SAC_DB2Value Best
electricity_consumption,0.947,10176.469,10745.375,Building_17,building,SAC_DB2Value Best
carbon_emissions,0.947,5191.676,5480.857,Building_17,building,SAC_DB2Value Best
cost,0.945,5595.301,5920.74,Building_17,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.719,0.091,0.127,Building_17,building,SAC_DB2Value Best
