kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.006,0.648,0.645,District,district,MARLISA
1 - average_daily_renewable_share_grid,1.0,0.885,0.885,District,district,MARLISA
1 - load_factor,0.99,0.848,0.857,District,district,MARLISA
1 - used_pv_of_total_share,0.976,0.14,0.144,District,district,MARLISA
average_daily_peak,0.986,10.633,10.782,District,district,MARLISA
carbon_emissions,1.014,3449.655,3412.055,District,district,MARLISA
cost,1.007,3688.673,3670.012,District,district,MARLISA
electricity_consumption,1.015,6766.235,6683.189,District,district,MARLISA
fossil_energy_consumption,1.013,37939.313,37460.062,District,district,MARLISA
ramping,1.021,22032.248,21583.846,District,district,MARLISA
electricity_consumption,0.997,4515.19,4528.42,Building_3,building,MARLISA
carbon_emissions,0.995,2321.456,2332.712,Building_3,building,MARLISA
cost,0.988,2553.866,2584.57,Building_3,building,MARLISA
1 - used_pv_of_total_share,0.978,0.169,0.173,Building_3,building,MARLISA
electricity_consumption,1.02,5763.989,5652.286,Building_5,building,MARLISA
carbon_emissions,1.017,2932.031,2881.739,Building_5,building,MARLISA
cost,1.008,3096.785,3071.658,Building_5,building,MARLISA
1 - used_pv_of_total_share,0.967,0.118,0.122,Building_5,building,MARLISA
electricity_consumption,1.075,5955.225,5540.207,Building_7,building,MARLISA
carbon_emissions,1.073,3016.047,2810.394,Building_7,building,MARLISA
cost,1.065,3129.972,2939.918,Building_7,building,MARLISA
1 - used_pv_of_total_share,0.955,0.207,0.216,Building_7,building,MARLISA
electricity_consumption,0.999,5990.9,5997.7,Building_8,building,MARLISA
carbon_emissions,0.997,3056.952,3064.868,Building_8,building,MARLISA
cost,0.992,3270.934,3296.626,Building_8,building,MARLISA
1 - used_pv_of_total_share,0.978,0.147,0.151,Building_8,building,MARLISA
electricity_consumption,1.0,7637.03,7635.149,Building_11,building,MARLISA
carbon_emissions,1.0,3899.962,3901.761,Building_11,building,MARLISA
cost,0.996,4191.644,4206.557,Building_11,building,MARLISA
1 - used_pv_of_total_share,1.006,0.076,0.076,Building_11,building,MARLISA
electricity_consumption,0.999,10735.075,10745.375,Building_17,building,MARLISA
carbon_emissions,0.998,5471.479,5480.857,Building_17,building,MARLISA
cost,0.995,5888.834,5920.74,Building_17,building,MARLISA
1 - used_pv_of_total_share,0.971,0.123,0.127,Building_17,building,MARLISA
1 - average_daily_renewable_share,0.986,0.636,0.645,District,district,MARLISA Best
1 - average_daily_renewable_share_grid,0.983,0.87,0.885,District,district,MARLISA Best
1 - load_factor,0.989,0.847,0.857,District,district,MARLISA Best
1 - used_pv_of_total_share,0.892,0.129,0.144,District,district,MARLISA Best
average_daily_peak,0.959,10.338,10.782,District,district,MARLISA Best
carbon_emissions,0.96,3285.863,3412.055,District,district,MARLISA Best
cost,0.962,3539.703,3670.012,District,district,MARLISA Best
electricity_consumption,0.96,6433.495,6683.189,District,district,MARLISA Best
fossil_energy_consumption,0.959,35934.111,37460.062,District,district,MARLISA Best
ramping,0.975,21049.756,21583.846,District,district,MARLISA Best
electricity_consumption,0.937,4242.47,4528.42,Building_3,building,MARLISA Best
carbon_emissions,0.938,2187.891,2332.712,Building_3,building,MARLISA Best
cost,0.942,2433.388,2584.57,Building_3,building,MARLISA Best
1 - used_pv_of_total_share,0.906,0.157,0.173,Building_3,building,MARLISA Best
electricity_consumption,0.97,5480.804,5652.286,Building_5,building,MARLISA Best
carbon_emissions,0.97,2795.426,2881.739,Building_5,building,MARLISA Best
cost,0.971,2984.048,3071.658,Building_5,building,MARLISA Best
1 - used_pv_of_total_share,0.874,0.106,0.122,Building_5,building,MARLISA Best
electricity_consumption,0.982,5441.245,5540.207,Building_7,building,MARLISA Best
carbon_emissions,0.982,2759.468,2810.394,Building_7,building,MARLISA Best
cost,0.981,2883.116,2939.918,Building_7,building,MARLISA Best
1 - used_pv_of_total_share,0.915,0.198,0.216,Building_7,building,MARLISA Best
electricity_consumption,0.922,5529.958,5997.7,Building_8,building,MARLISA Best
carbon_emissions,0.922,2826.556,3064.868,Building_8,building,MARLISA Best
cost,0.923,3043.244,3296.626,Building_8,building,MARLISA Best
1 - used_pv_of_total_share,0.842,0.127,0.151,Building_8,building,MARLISA Best
electricity_consumption,0.973,7431.592,7635.149,Building_11,building,MARLISA Best
carbon_emissions,0.974,3800.118,3901.761,Building_11,building,MARLISA Best
cost,0.976,4106.3,4206.557,Building_11,building,MARLISA Best
1 - used_pv_of_total_share,0.909,0.069,0.076,Building_11,building,MARLISA Best
electricity_consumption,0.975,10474.899,10745.375,Building_17,building,MARLISA Best
carbon_emissions,0.975,5345.716,5480.857,Building_17,building,MARLISA Best
cost,0.978,5788.123,5920.74,Building_17,building,MARLISA Best
1 - used_pv_of_total_share,0.907,0.115,0.127,Building_17,building,MARLISA Best
