kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.99,0.638,0.645,District,district,SAC_DB2
1 - average_daily_renewable_share_grid,0.977,0.865,0.885,District,district,SAC_DB2
1 - load_factor,0.979,0.839,0.857,District,district,SAC_DB2
1 - used_pv_of_total_share,0.765,0.112,0.144,District,district,SAC_DB2
average_daily_peak,0.907,9.781,10.782,District,district,SAC_DB2
carbon_emissions,0.945,3230.034,3412.055,District,district,SAC_DB2
cost,0.942,3461.491,3670.012,District,district,SAC_DB2
electricity_consumption,0.945,6327.441,6683.189,District,district,SAC_DB2
fossil_energy_consumption,0.941,35237.856,37460.062,District,district,SAC_DB2
ramping,0.974,21031.675,21583.846,District,district,SAC_DB2
electricity_consumption,0.922,4176.672,4528.42,Building_3,building,SAC_DB2
carbon_emissions,0.923,2153.105,2332.712,Building_3,building,SAC_DB2
cost,0.922,2383.636,2584.57,Building_3,building,SAC_DB2
1 - used_pv_of_total_share,0.767,0.133,0.173,Building_3,building,SAC_DB2
electricity_consumption,0.944,5338.456,5652.286,Building_5,building,SAC_DB2
carbon_emissions,0.945,2721.838,2881.739,Building_5,building,SAC_DB2
cost,0.942,2894.978,3071.658,Building_5,building,SAC_DB2
1 - used_pv_of_total_share,0.773,0.094,0.122,Building_5,building,SAC_DB2
electricity_consumption,0.977,5413.781,5540.207,Building_7,building,SAC_DB2
carbon_emissions,0.976,2743.548,2810.394,Building_7,building,SAC_DB2
cost,0.969,2849.606,2939.918,Building_7,building,SAC_DB2
1 - used_pv_of_total_share,0.856,0.185,0.216,Building_7,building,SAC_DB2
electricity_consumption,0.927,5559.224,5997.7,Building_8,building,SAC_DB2
carbon_emissions,0.927,2840.638,3064.868,Building_8,building,SAC_DB2
cost,0.924,3047.35,3296.626,Building_8,building,SAC_DB2
1 - used_pv_of_total_share,0.749,0.113,0.151,Building_8,building,SAC_DB2
electricity_consumption,0.943,7197.446,7635.149,Building_11,building,SAC_DB2
carbon_emissions,0.943,3680.153,3901.761,Building_11,building,SAC_DB2
cost,0.942,3963.433,4206.557,Building_11,building,SAC_DB2
1 - used_pv_of_total_share,0.744,0.057,0.076,Building_11,building,SAC_DB2
electricity_consumption,0.957,10279.066,10745.375,Building_17,building,SAC_DB2
carbon_emissions,0.956,5240.924,5480.857,Building_17,building,SAC_DB2
cost,0.951,5629.944,5920.74,Building_17,building,SAC_DB2
1 - used_pv_of_total_share,0.701,0.089,0.127,Building_17,building,SAC_DB2
1 - average_daily_renewable_share,0.984,0.634,0.645,District,district,SAC_DB2 Best
1 - average_daily_renewable_share_grid,0.974,0.862,0.885,District,district,SAC_DB2 Best
1 - load_factor,0.98,0.84,0.857,District,district,SAC_DB2 Best
1 - used_pv_of_total_share,0.775,0.112,0.144,District,district,SAC_DB2 Best
average_daily_peak,0.899,9.695,10.782,District,district,SAC_DB2 Best
carbon_emissions,0.933,3194.257,3412.055,District,district,SAC_DB2 Best
cost,0.932,3429.982,3670.012,District,district,SAC_DB2 Best
electricity_consumption,0.933,6254.439,6683.189,District,district,SAC_DB2 Best
fossil_energy_consumption,0.93,34832.473,37460.062,District,district,SAC_DB2 Best
ramping,0.959,20694.88,21583.846,District,district,SAC_DB2 Best
electricity_consumption,0.905,4096.182,4528.42,Building_3,building,SAC_DB2 Best
carbon_emissions,0.906,2112.302,2332.712,Building_3,building,SAC_DB2 Best
cost,0.905,2339.593,2584.57,Building_3,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.751,0.13,0.173,Building_3,building,SAC_DB2 Best
electricity_consumption,0.949,5364.447,5652.286,Building_5,building,SAC_DB2 Best
carbon_emissions,0.949,2735.846,2881.739,Building_5,building,SAC_DB2 Best
cost,0.948,2912.499,3071.658,Building_5,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.787,0.096,0.122,Building_5,building,SAC_DB2 Best
electricity_consumption,0.934,5174.035,5540.207,Building_7,building,SAC_DB2 Best
carbon_emissions,0.933,2621.823,2810.394,Building_7,building,SAC_DB2 Best
cost,0.926,2722.946,2939.918,Building_7,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.781,0.169,0.216,Building_7,building,SAC_DB2 Best
electricity_consumption,0.923,5534.544,5997.7,Building_8,building,SAC_DB2 Best
carbon_emissions,0.923,2829.384,3064.868,Building_8,building,SAC_DB2 Best
cost,0.922,3039.211,3296.626,Building_8,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.792,0.119,0.151,Building_8,building,SAC_DB2 Best
electricity_consumption,0.941,7185.139,7635.149,Building_11,building,SAC_DB2 Best
carbon_emissions,0.942,3675.83,3901.761,Building_11,building,SAC_DB2 Best
cost,0.943,3967.916,4206.557,Building_11,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.778,0.059,0.076,Building_11,building,SAC_DB2 Best
electricity_consumption,0.947,10172.287,10745.375,Building_17,building,SAC_DB2 Best
carbon_emissions,0.947,5190.357,5480.857,Building_17,building,SAC_DB2 Best
cost,0.945,5597.728,5920.74,Building_17,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.76,0.096,0.127,Building_17,building,SAC_DB2 Best
