kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.0,0.645,0.645,District,district,MARLISA
1 - average_daily_renewable_share_grid,0.992,0.878,0.885,District,district,MARLISA
1 - load_factor,0.992,0.85,0.857,District,district,MARLISA
1 - used_pv_of_total_share,0.898,0.129,0.144,District,district,MARLISA
average_daily_peak,0.962,10.367,10.782,District,district,MARLISA
carbon_emissions,0.984,3356.502,3412.055,District,district,MARLISA
cost,0.982,3604.851,3670.012,District,district,MARLISA
electricity_consumption,0.984,6575.517,6683.189,District,district,MARLISA
fossil_energy_consumption,0.982,36768.483,37460.062,District,district,MARLISA
ramping,0.992,21417.181,21583.846,District,district,MARLISA
electricity_consumption,0.973,4406.701,4528.42,Building_3,building,MARLISA
carbon_emissions,0.974,2272.273,2332.712,Building_3,building,MARLISA
cost,0.977,2524.75,2584.57,Building_3,building,MARLISA
1 - used_pv_of_total_share,0.936,0.162,0.173,Building_3,building,MARLISA
electricity_consumption,0.996,5631.024,5652.286,Building_5,building,MARLISA
carbon_emissions,0.996,2870.804,2881.739,Building_5,building,MARLISA
cost,0.996,3058.923,3071.658,Building_5,building,MARLISA
1 - used_pv_of_total_share,0.902,0.11,0.122,Building_5,building,MARLISA
electricity_consumption,0.983,5444.725,5540.207,Building_7,building,MARLISA
carbon_emissions,0.982,2759.936,2810.394,Building_7,building,MARLISA
cost,0.979,2878.036,2939.918,Building_7,building,MARLISA
1 - used_pv_of_total_share,0.9,0.195,0.216,Building_7,building,MARLISA
electricity_consumption,0.987,5919.093,5997.7,Building_8,building,MARLISA
carbon_emissions,0.985,3017.884,3064.868,Building_8,building,MARLISA
cost,0.974,3209.485,3296.626,Building_8,building,MARLISA
1 - used_pv_of_total_share,0.828,0.125,0.151,Building_8,building,MARLISA
electricity_consumption,0.983,7507.152,7635.149,Building_11,building,MARLISA
carbon_emissions,0.984,3838.135,3901.761,Building_11,building,MARLISA
cost,0.985,4143.113,4206.557,Building_11,building,MARLISA
1 - used_pv_of_total_share,0.924,0.07,0.076,Building_11,building,MARLISA
electricity_consumption,0.981,10544.407,10745.375,Building_17,building,MARLISA
carbon_emissions,0.982,5379.978,5480.857,Building_17,building,MARLISA
cost,0.982,5814.797,5920.74,Building_17,building,MARLISA
1 - used_pv_of_total_share,0.9,0.114,0.127,Building_17,building,MARLISA
1 - average_daily_renewable_share,0.997,0.643,0.645,District,district,MARLISA Best
1 - average_daily_renewable_share_grid,0.993,0.879,0.885,District,district,MARLISA Best
1 - load_factor,0.994,0.851,0.857,District,district,MARLISA Best
1 - used_pv_of_total_share,0.945,0.135,0.144,District,district,MARLISA Best
average_daily_peak,0.957,10.317,10.782,District,district,MARLISA Best
carbon_emissions,0.984,3361.794,3412.055,District,district,MARLISA Best
cost,0.984,3617.453,3670.012,District,district,MARLISA Best
electricity_consumption,0.983,6582.873,6683.189,District,district,MARLISA Best
fossil_energy_consumption,0.984,36844.638,37460.062,District,district,MARLISA Best
ramping,0.963,20789.571,21583.846,District,district,MARLISA Best
electricity_consumption,0.951,4307.587,4528.42,Building_3,building,MARLISA Best
carbon_emissions,0.952,2220.077,2332.712,Building_3,building,MARLISA Best
cost,0.952,2459.254,2584.57,Building_3,building,MARLISA Best
1 - used_pv_of_total_share,0.892,0.154,0.173,Building_3,building,MARLISA Best
electricity_consumption,0.996,5627.193,5652.286,Building_5,building,MARLISA Best
carbon_emissions,0.996,2869.623,2881.739,Building_5,building,MARLISA Best
cost,0.996,3060.805,3071.658,Building_5,building,MARLISA Best
1 - used_pv_of_total_share,0.977,0.119,0.122,Building_5,building,MARLISA Best
electricity_consumption,0.99,5486.392,5540.207,Building_7,building,MARLISA Best
carbon_emissions,0.99,2781.99,2810.394,Building_7,building,MARLISA Best
cost,0.988,2904.396,2939.918,Building_7,building,MARLISA Best
1 - used_pv_of_total_share,0.911,0.197,0.216,Building_7,building,MARLISA Best
electricity_consumption,0.985,5906.915,5997.7,Building_8,building,MARLISA Best
carbon_emissions,0.985,3020.183,3064.868,Building_8,building,MARLISA Best
cost,0.987,3253.758,3296.626,Building_8,building,MARLISA Best
1 - used_pv_of_total_share,0.964,0.145,0.151,Building_8,building,MARLISA Best
electricity_consumption,0.991,7562.959,7635.149,Building_11,building,MARLISA Best
carbon_emissions,0.991,3866.572,3901.761,Building_11,building,MARLISA Best
cost,0.992,4173.326,4206.557,Building_11,building,MARLISA Best
1 - used_pv_of_total_share,0.975,0.074,0.076,Building_11,building,MARLISA Best
electricity_consumption,0.987,10606.192,10745.375,Building_17,building,MARLISA Best
carbon_emissions,0.987,5412.32,5480.857,Building_17,building,MARLISA Best
cost,0.989,5853.178,5920.74,Building_17,building,MARLISA Best
1 - used_pv_of_total_share,0.951,0.12,0.127,Building_17,building,MARLISA Best
