kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.999,0.644,0.645,District,district,MARLISA
1 - average_daily_renewable_share_grid,0.993,0.879,0.885,District,district,MARLISA
1 - load_factor,0.994,0.852,0.857,District,district,MARLISA
1 - used_pv_of_total_share,0.918,0.133,0.144,District,district,MARLISA
average_daily_peak,0.972,10.477,10.782,District,district,MARLISA
carbon_emissions,0.987,3366.941,3412.055,District,district,MARLISA
cost,0.985,3613.211,3670.012,District,district,MARLISA
electricity_consumption,0.988,6597.504,6683.189,District,district,MARLISA
fossil_energy_consumption,0.985,36908.321,37460.062,District,district,MARLISA
ramping,0.983,21211.845,21583.846,District,district,MARLISA
electricity_consumption,0.981,4444.636,4528.42,Building_3,building,MARLISA
carbon_emissions,0.98,2285.901,2332.712,Building_3,building,MARLISA
cost,0.973,2513.935,2584.57,Building_3,building,MARLISA
1 - used_pv_of_total_share,0.882,0.153,0.173,Building_3,building,MARLISA
electricity_consumption,1.0,5650.77,5652.286,Building_5,building,MARLISA
carbon_emissions,1.0,2880.348,2881.739,Building_5,building,MARLISA
cost,0.998,3067.007,3071.658,Building_5,building,MARLISA
1 - used_pv_of_total_share,0.931,0.113,0.122,Building_5,building,MARLISA
electricity_consumption,1.002,5553.159,5540.207,Building_7,building,MARLISA
carbon_emissions,1.002,2815.574,2810.394,Building_7,building,MARLISA
cost,1.0,2939.46,2939.918,Building_7,building,MARLISA
1 - used_pv_of_total_share,0.959,0.208,0.216,Building_7,building,MARLISA
electricity_consumption,0.975,5850.273,5997.7,Building_8,building,MARLISA
carbon_emissions,0.975,2988.865,3064.868,Building_8,building,MARLISA
cost,0.974,3209.538,3296.626,Building_8,building,MARLISA
1 - used_pv_of_total_share,0.931,0.14,0.151,Building_8,building,MARLISA
electricity_consumption,0.98,7483.333,7635.149,Building_11,building,MARLISA
carbon_emissions,0.98,3823.845,3901.761,Building_11,building,MARLISA
cost,0.979,4119.073,4206.557,Building_11,building,MARLISA
1 - used_pv_of_total_share,0.905,0.069,0.076,Building_11,building,MARLISA
electricity_consumption,0.987,10602.851,10745.375,Building_17,building,MARLISA
carbon_emissions,0.987,5407.11,5480.857,Building_17,building,MARLISA
cost,0.985,5830.255,5920.74,Building_17,building,MARLISA
1 - used_pv_of_total_share,0.897,0.114,0.127,Building_17,building,MARLISA
1 - average_daily_renewable_share,0.997,0.643,0.645,District,district,MARLISA Best
1 - average_daily_renewable_share_grid,0.993,0.879,0.885,District,district,MARLISA Best
1 - load_factor,0.997,0.854,0.857,District,district,MARLISA Best
1 - used_pv_of_total_share,0.941,0.136,0.144,District,district,MARLISA Best
average_daily_peak,0.984,10.61,10.782,District,district,MARLISA Best
carbon_emissions,0.992,3380.205,3412.055,District,district,MARLISA Best
cost,0.991,3634.51,3670.012,District,district,MARLISA Best
electricity_consumption,0.992,6620.328,6683.189,District,district,MARLISA Best
fossil_energy_consumption,0.989,37058.763,37460.062,District,district,MARLISA Best
ramping,0.989,21338.97,21583.846,District,district,MARLISA Best
electricity_consumption,0.996,4509.243,4528.42,Building_3,building,MARLISA Best
carbon_emissions,0.995,2320.037,2332.712,Building_3,building,MARLISA Best
cost,0.989,2556.626,2584.57,Building_3,building,MARLISA Best
1 - used_pv_of_total_share,0.934,0.162,0.173,Building_3,building,MARLISA Best
electricity_consumption,0.994,5618.131,5652.286,Building_5,building,MARLISA Best
carbon_emissions,0.994,2864.665,2881.739,Building_5,building,MARLISA Best
cost,0.994,3053.975,3071.658,Building_5,building,MARLISA Best
1 - used_pv_of_total_share,0.91,0.111,0.122,Building_5,building,MARLISA Best
electricity_consumption,0.996,5516.592,5540.207,Building_7,building,MARLISA Best
carbon_emissions,0.996,2798.549,2810.394,Building_7,building,MARLISA Best
cost,0.996,2927.756,2939.918,Building_7,building,MARLISA Best
1 - used_pv_of_total_share,0.969,0.21,0.216,Building_7,building,MARLISA Best
electricity_consumption,0.992,5949.869,5997.7,Building_8,building,MARLISA Best
carbon_emissions,0.992,3041.225,3064.868,Building_8,building,MARLISA Best
cost,0.993,3272.636,3296.626,Building_8,building,MARLISA Best
1 - used_pv_of_total_share,0.971,0.146,0.151,Building_8,building,MARLISA Best
electricity_consumption,0.983,7507.605,7635.149,Building_11,building,MARLISA Best
carbon_emissions,0.984,3837.88,3901.761,Building_11,building,MARLISA Best
cost,0.984,4140.029,4206.557,Building_11,building,MARLISA Best
1 - used_pv_of_total_share,0.923,0.07,0.076,Building_11,building,MARLISA Best
electricity_consumption,0.988,10620.527,10745.375,Building_17,building,MARLISA Best
carbon_emissions,0.989,5418.876,5480.857,Building_17,building,MARLISA Best
cost,0.989,5856.038,5920.74,Building_17,building,MARLISA Best
1 - used_pv_of_total_share,0.941,0.119,0.127,Building_17,building,MARLISA Best
