kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.014,0.654,0.645,District,district,MARLISA
1 - average_daily_renewable_share_grid,1.001,0.886,0.885,District,district,MARLISA
1 - load_factor,0.994,0.851,0.857,District,district,MARLISA
1 - used_pv_of_total_share,0.936,0.135,0.144,District,district,MARLISA
average_daily_peak,1.015,10.944,10.782,District,district,MARLISA
carbon_emissions,1.021,3475.804,3412.055,District,district,MARLISA
cost,1.016,3720.743,3670.012,District,district,MARLISA
electricity_consumption,1.022,6815.361,6683.189,District,district,MARLISA
fossil_energy_consumption,1.02,38202.096,37460.062,District,district,MARLISA
ramping,1.026,22149.493,21583.846,District,district,MARLISA
electricity_consumption,1.008,4564.331,4528.42,Building_3,building,MARLISA
carbon_emissions,1.006,2347.611,2332.712,Building_3,building,MARLISA
cost,1.0,2585.344,2584.57,Building_3,building,MARLISA
1 - used_pv_of_total_share,0.949,0.164,0.173,Building_3,building,MARLISA
electricity_consumption,1.021,5769.497,5652.286,Building_5,building,MARLISA
carbon_emissions,1.02,2939.986,2881.739,Building_5,building,MARLISA
cost,1.017,3125.339,3071.658,Building_5,building,MARLISA
1 - used_pv_of_total_share,0.917,0.112,0.122,Building_5,building,MARLISA
electricity_consumption,1.067,5911.174,5540.207,Building_7,building,MARLISA
carbon_emissions,1.065,2993.484,2810.394,Building_7,building,MARLISA
cost,1.056,3104.542,2939.918,Building_7,building,MARLISA
1 - used_pv_of_total_share,0.948,0.205,0.216,Building_7,building,MARLISA
electricity_consumption,1.015,6085.44,5997.7,Building_8,building,MARLISA
carbon_emissions,1.014,3107.492,3064.868,Building_8,building,MARLISA
cost,1.01,3329.253,3296.626,Building_8,building,MARLISA
1 - used_pv_of_total_share,0.971,0.146,0.151,Building_8,building,MARLISA
electricity_consumption,1.019,7782.419,7635.149,Building_11,building,MARLISA
carbon_emissions,1.017,3968.555,3901.761,Building_11,building,MARLISA
cost,1.008,4238.531,4206.557,Building_11,building,MARLISA
1 - used_pv_of_total_share,0.938,0.071,0.076,Building_11,building,MARLISA
electricity_consumption,1.003,10779.303,10745.375,Building_17,building,MARLISA
carbon_emissions,1.003,5497.698,5480.857,Building_17,building,MARLISA
cost,1.003,5941.45,5920.74,Building_17,building,MARLISA
1 - used_pv_of_total_share,0.893,0.113,0.127,Building_17,building,MARLISA
1 - average_daily_renewable_share,0.997,0.643,0.645,District,district,MARLISA Best
1 - average_daily_renewable_share_grid,0.994,0.88,0.885,District,district,MARLISA Best
1 - load_factor,0.997,0.854,0.857,District,district,MARLISA Best
1 - used_pv_of_total_share,0.958,0.139,0.144,District,district,MARLISA Best
average_daily_peak,0.978,10.541,10.782,District,district,MARLISA Best
carbon_emissions,0.988,3370.198,3412.055,District,district,MARLISA Best
cost,0.989,3626.85,3670.012,District,district,MARLISA Best
electricity_consumption,0.988,6599.59,6683.189,District,district,MARLISA Best
fossil_energy_consumption,0.986,36937.237,37460.062,District,district,MARLISA Best
ramping,0.975,21045.187,21583.846,District,district,MARLISA Best
electricity_consumption,0.98,4438.842,4528.42,Building_3,building,MARLISA Best
carbon_emissions,0.981,2288.286,2332.712,Building_3,building,MARLISA Best
cost,0.983,2540.561,2584.57,Building_3,building,MARLISA Best
1 - used_pv_of_total_share,0.967,0.168,0.173,Building_3,building,MARLISA Best
electricity_consumption,0.988,5585.222,5652.286,Building_5,building,MARLISA Best
carbon_emissions,0.989,2849.337,2881.739,Building_5,building,MARLISA Best
cost,0.991,3043.479,3071.658,Building_5,building,MARLISA Best
1 - used_pv_of_total_share,0.95,0.116,0.122,Building_5,building,MARLISA Best
electricity_consumption,1.004,5562.148,5540.207,Building_7,building,MARLISA Best
carbon_emissions,1.004,2820.515,2810.394,Building_7,building,MARLISA Best
cost,1.002,2945.759,2939.918,Building_7,building,MARLISA Best
1 - used_pv_of_total_share,0.978,0.212,0.216,Building_7,building,MARLISA Best
electricity_consumption,0.98,5877.386,5997.7,Building_8,building,MARLISA Best
carbon_emissions,0.98,3004.329,3064.868,Building_8,building,MARLISA Best
cost,0.981,3232.77,3296.626,Building_8,building,MARLISA Best
1 - used_pv_of_total_share,0.954,0.144,0.151,Building_8,building,MARLISA Best
electricity_consumption,0.987,7538.114,7635.149,Building_11,building,MARLISA Best
carbon_emissions,0.988,3853.156,3901.761,Building_11,building,MARLISA Best
cost,0.988,4156.58,4206.557,Building_11,building,MARLISA Best
1 - used_pv_of_total_share,0.953,0.072,0.076,Building_11,building,MARLISA Best
electricity_consumption,0.986,10595.826,10745.375,Building_17,building,MARLISA Best
carbon_emissions,0.986,5405.565,5480.857,Building_17,building,MARLISA Best
cost,0.987,5841.951,5920.74,Building_17,building,MARLISA Best
1 - used_pv_of_total_share,0.947,0.12,0.127,Building_17,building,MARLISA Best
