kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.633,0.629,District,district,RBC
1 - average_daily_renewable_share_grid,1.007,0.901,0.895,District,district,RBC
1 - load_factor,0.994,0.895,0.901,District,district,RBC
1 - used_pv_of_total_share,1.102,0.16,0.146,District,district,RBC
average_daily_peak,0.963,4.502,4.676,District,district,RBC
carbon_emissions,1.065,3561.657,3356.078,District,district,RBC
cost,1.064,3770.871,3556.96,District,district,RBC
electricity_consumption,1.065,6989.164,6587.678,District,district,RBC
fossil_energy_consumption,1.066,13111.738,12296.669,District,district,RBC
ramping,1.022,9612.873,9401.964,District,district,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3184.759,2926.063,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4356.982,4187.857,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
1 - average_daily_renewable_share,0.984,0.619,0.629,District,district,SAC
1 - average_daily_renewable_share_grid,0.972,0.87,0.895,District,district,SAC
1 - load_factor,0.987,0.89,0.901,District,district,SAC
1 - used_pv_of_total_share,0.779,0.117,0.146,District,district,SAC
average_daily_peak,0.944,4.413,4.676,District,district,SAC
carbon_emissions,0.956,3201.42,3356.078,District,district,SAC
cost,0.954,3386.629,3556.96,District,district,SAC
electricity_consumption,0.955,6281.773,6587.678,District,district,SAC
fossil_energy_consumption,0.95,11677.145,12296.669,District,district,SAC
ramping,1.039,9772.517,9401.964,District,district,SAC
electricity_consumption,0.968,5360.842,5540.207,Building_7,building,SAC
carbon_emissions,0.968,2720.578,2810.394,Building_7,building,SAC
cost,0.966,2827.182,2926.063,Building_7,building,SAC
1 - used_pv_of_total_share,0.823,0.178,0.216,Building_7,building,SAC
electricity_consumption,0.943,7202.703,7635.149,Building_11,building,SAC
carbon_emissions,0.944,3682.262,3901.761,Building_11,building,SAC
cost,0.942,3946.077,4187.857,Building_11,building,SAC
1 - used_pv_of_total_share,0.735,0.056,0.076,Building_11,building,SAC
1 - average_daily_renewable_share,0.981,0.617,0.629,District,district,SAC Best
1 - average_daily_renewable_share_grid,0.976,0.874,0.895,District,district,SAC Best
1 - load_factor,0.989,0.891,0.901,District,district,SAC Best
1 - used_pv_of_total_share,0.752,0.111,0.146,District,district,SAC Best
average_daily_peak,0.95,4.443,4.676,District,district,SAC Best
carbon_emissions,0.932,3130.726,3356.078,District,district,SAC Best
cost,0.93,3310.354,3556.96,District,district,SAC Best
electricity_consumption,0.932,6143.991,6587.678,District,district,SAC Best
fossil_energy_consumption,0.928,11415.533,12296.669,District,district,SAC Best
ramping,1.029,9679.27,9401.964,District,district,SAC Best
electricity_consumption,0.931,5157.011,5540.207,Building_7,building,SAC Best
carbon_emissions,0.93,2613.946,2810.394,Building_7,building,SAC Best
cost,0.924,2704.925,2926.063,Building_7,building,SAC Best
1 - used_pv_of_total_share,0.767,0.166,0.216,Building_7,building,SAC Best
electricity_consumption,0.934,7130.971,7635.149,Building_11,building,SAC Best
carbon_emissions,0.935,3647.507,3901.761,Building_11,building,SAC Best
cost,0.935,3915.783,4187.857,Building_11,building,SAC Best
1 - used_pv_of_total_share,0.736,0.056,0.076,Building_11,building,SAC Best
1 - average_daily_renewable_share,1.012,0.637,0.629,District,district,PRB_SAC
1 - average_daily_renewable_share_grid,0.996,0.891,0.895,District,district,PRB_SAC
1 - load_factor,1.0,0.901,0.901,District,district,PRB_SAC
1 - used_pv_of_total_share,0.937,0.135,0.146,District,district,PRB_SAC
average_daily_peak,1.067,4.989,4.676,District,district,PRB_SAC
carbon_emissions,1.022,3419.267,3356.078,District,district,PRB_SAC
cost,1.017,3602.607,3556.96,District,district,PRB_SAC
electricity_consumption,1.023,6718.772,6587.678,District,district,PRB_SAC
fossil_energy_consumption,1.021,12555.345,12296.669,District,district,PRB_SAC
ramping,1.058,9951.772,9401.964,District,district,PRB_SAC
electricity_consumption,1.046,5794.214,5540.207,Building_7,building,PRB_SAC
carbon_emissions,1.045,2935.942,2810.394,Building_7,building,PRB_SAC
cost,1.037,3035.171,2926.063,Building_7,building,PRB_SAC
1 - used_pv_of_total_share,0.913,0.198,0.216,Building_7,building,PRB_SAC
electricity_consumption,1.001,7643.33,7635.149,Building_11,building,PRB_SAC
carbon_emissions,1.0,3902.591,3901.761,Building_11,building,PRB_SAC
cost,0.996,4170.044,4187.857,Building_11,building,PRB_SAC
1 - used_pv_of_total_share,0.961,0.073,0.076,Building_11,building,PRB_SAC
