kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.009,0.65,0.645,District,district,MARLISA
1 - average_daily_renewable_share_grid,1.002,0.887,0.885,District,district,MARLISA
1 - load_factor,0.993,0.851,0.857,District,district,MARLISA
1 - used_pv_of_total_share,0.997,0.143,0.144,District,district,MARLISA
average_daily_peak,1.011,10.901,10.782,District,district,MARLISA
carbon_emissions,1.021,3487.285,3412.055,District,district,MARLISA
cost,1.019,3739.078,3670.012,District,district,MARLISA
electricity_consumption,1.022,6835.156,6683.189,District,district,MARLISA
fossil_energy_consumption,1.024,38352.53,37460.062,District,district,MARLISA
ramping,1.02,22007.351,21583.846,District,district,MARLISA
electricity_consumption,0.989,4478.983,4528.42,Building_3,building,MARLISA
carbon_emissions,0.99,2308.325,2332.712,Building_3,building,MARLISA
cost,0.992,2563.881,2584.57,Building_3,building,MARLISA
1 - used_pv_of_total_share,0.94,0.163,0.173,Building_3,building,MARLISA
electricity_consumption,1.012,5719.527,5652.286,Building_5,building,MARLISA
carbon_emissions,1.011,2914.594,2881.739,Building_5,building,MARLISA
cost,1.009,3100.512,3071.658,Building_5,building,MARLISA
1 - used_pv_of_total_share,0.967,0.118,0.122,Building_5,building,MARLISA
electricity_consumption,1.07,5928.153,5540.207,Building_7,building,MARLISA
carbon_emissions,1.068,3002.823,2810.394,Building_7,building,MARLISA
cost,1.061,3118.615,2939.918,Building_7,building,MARLISA
1 - used_pv_of_total_share,1.008,0.218,0.216,Building_7,building,MARLISA
electricity_consumption,1.023,6134.38,5997.7,Building_8,building,MARLISA
carbon_emissions,1.022,3133.527,3064.868,Building_8,building,MARLISA
cost,1.022,3367.683,3296.626,Building_8,building,MARLISA
1 - used_pv_of_total_share,1.026,0.155,0.151,Building_8,building,MARLISA
electricity_consumption,1.01,7714.112,7635.149,Building_11,building,MARLISA
carbon_emissions,1.01,3939.984,3901.761,Building_11,building,MARLISA
cost,1.007,4237.564,4206.557,Building_11,building,MARLISA
1 - used_pv_of_total_share,1.035,0.079,0.076,Building_11,building,MARLISA
electricity_consumption,1.027,11035.783,10745.375,Building_17,building,MARLISA
carbon_emissions,1.026,5624.455,5480.857,Building_17,building,MARLISA
cost,1.021,6046.21,5920.74,Building_17,building,MARLISA
1 - used_pv_of_total_share,1.009,0.128,0.127,Building_17,building,MARLISA
1 - average_daily_renewable_share,1.0,0.645,0.645,District,district,MARLISA Best
1 - average_daily_renewable_share_grid,1.0,0.885,0.885,District,district,MARLISA Best
1 - load_factor,1.0,0.857,0.857,District,district,MARLISA Best
1 - used_pv_of_total_share,0.992,0.143,0.144,District,district,MARLISA Best
average_daily_peak,1.0,10.785,10.782,District,district,MARLISA Best
carbon_emissions,1.0,3409.954,3412.055,District,district,MARLISA Best
cost,1.0,3667.87,3670.012,District,district,MARLISA Best
electricity_consumption,1.0,6678.935,6683.189,District,district,MARLISA Best
fossil_energy_consumption,0.999,37434.772,37460.062,District,district,MARLISA Best
ramping,1.0,21573.189,21583.846,District,district,MARLISA Best
electricity_consumption,1.0,4528.53,4528.42,Building_3,building,MARLISA Best
carbon_emissions,1.0,2332.761,2332.712,Building_3,building,MARLISA Best
cost,1.0,2584.595,2584.57,Building_3,building,MARLISA Best
1 - used_pv_of_total_share,0.999,0.173,0.173,Building_3,building,MARLISA Best
electricity_consumption,1.0,5652.286,5652.286,Building_5,building,MARLISA Best
carbon_emissions,1.0,2881.739,2881.739,Building_5,building,MARLISA Best
cost,1.0,3071.658,3071.658,Building_5,building,MARLISA Best
1 - used_pv_of_total_share,1.0,0.122,0.122,Building_5,building,MARLISA Best
electricity_consumption,0.999,5536.729,5540.207,Building_7,building,MARLISA Best
carbon_emissions,0.999,2808.715,2810.394,Building_7,building,MARLISA Best
cost,0.999,2938.382,2939.918,Building_7,building,MARLISA Best
1 - used_pv_of_total_share,0.998,0.216,0.216,Building_7,building,MARLISA Best
electricity_consumption,1.0,5997.7,5997.7,Building_8,building,MARLISA Best
carbon_emissions,1.0,3064.868,3064.868,Building_8,building,MARLISA Best
cost,1.0,3296.626,3296.626,Building_8,building,MARLISA Best
1 - used_pv_of_total_share,1.0,0.151,0.151,Building_8,building,MARLISA Best
electricity_consumption,1.0,7635.149,7635.149,Building_11,building,MARLISA Best
carbon_emissions,1.0,3901.761,3901.761,Building_11,building,MARLISA Best
cost,1.0,4206.557,4206.557,Building_11,building,MARLISA Best
1 - used_pv_of_total_share,1.0,0.076,0.076,Building_11,building,MARLISA Best
electricity_consumption,0.998,10723.219,10745.375,Building_17,building,MARLISA Best
carbon_emissions,0.998,5469.881,5480.857,Building_17,building,MARLISA Best
cost,0.998,5909.404,5920.74,Building_17,building,MARLISA Best
1 - used_pv_of_total_share,0.955,0.121,0.127,Building_17,building,MARLISA Best
