kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3867.753,3653.428,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39925.815,37461.364,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2807.561,2573.812,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3269.959,3057.456,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3184.759,2926.063,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3497.941,3282.401,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4356.982,4187.857,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6089.315,5892.977,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.012,0.653,0.645,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,0.987,0.874,0.885,District,district,SAC_DB2Value
1 - load_factor,1.017,0.872,0.857,District,district,SAC_DB2Value
1 - used_pv_of_total_share,0.805,0.117,0.144,District,district,SAC_DB2Value
average_daily_peak,1.059,11.423,10.782,District,district,SAC_DB2Value
carbon_emissions,1.029,3489.801,3412.055,District,district,SAC_DB2Value
cost,1.033,3749.641,3653.428,District,district,SAC_DB2Value
electricity_consumption,1.028,6829.929,6683.189,District,district,SAC_DB2Value
fossil_energy_consumption,1.02,38228.452,37461.364,District,district,SAC_DB2Value
ramping,1.072,23140.082,21583.846,District,district,SAC_DB2Value
electricity_consumption,1.036,4692.07,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,1.039,2424.468,2332.712,Building_3,building,SAC_DB2Value
cost,1.052,2707.151,2573.812,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,0.819,0.142,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,1.012,5718.642,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,1.013,2918.277,2881.739,Building_5,building,SAC_DB2Value
cost,1.013,3098.45,3057.456,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,0.851,0.104,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,1.153,6386.227,5540.207,Building_7,building,SAC_DB2Value
carbon_emissions,1.153,3239.449,2810.394,Building_7,building,SAC_DB2Value
cost,1.146,3354.55,2926.063,Building_7,building,SAC_DB2Value
1 - used_pv_of_total_share,0.871,0.189,0.216,Building_7,building,SAC_DB2Value
electricity_consumption,0.984,5900.651,5997.7,Building_8,building,SAC_DB2Value
carbon_emissions,0.985,3018.65,3064.868,Building_8,building,SAC_DB2Value
cost,0.993,3258.191,3282.401,Building_8,building,SAC_DB2Value
1 - used_pv_of_total_share,0.788,0.119,0.151,Building_8,building,SAC_DB2Value
electricity_consumption,0.984,7512.47,7635.149,Building_11,building,SAC_DB2Value
carbon_emissions,0.983,3837.213,3901.761,Building_11,building,SAC_DB2Value
cost,0.98,4106.111,4187.857,Building_11,building,SAC_DB2Value
1 - used_pv_of_total_share,0.803,0.061,0.076,Building_11,building,SAC_DB2Value
electricity_consumption,1.002,10769.512,10745.375,Building_17,building,SAC_DB2Value
carbon_emissions,1.004,5500.75,5480.857,Building_17,building,SAC_DB2Value
cost,1.014,5973.394,5892.977,Building_17,building,SAC_DB2Value
1 - used_pv_of_total_share,0.7,0.089,0.127,Building_17,building,SAC_DB2Value
1 - average_daily_renewable_share,0.983,0.634,0.645,District,district,SAC_DB2Value Best
1 - average_daily_renewable_share_grid,0.974,0.862,0.885,District,district,SAC_DB2Value Best
1 - load_factor,0.982,0.841,0.857,District,district,SAC_DB2Value Best
1 - used_pv_of_total_share,0.789,0.115,0.144,District,district,SAC_DB2Value Best
average_daily_peak,0.904,9.753,10.782,District,district,SAC_DB2Value Best
carbon_emissions,0.93,3182.581,3412.055,District,district,SAC_DB2Value Best
cost,0.931,3407.163,3653.428,District,district,SAC_DB2Value Best
electricity_consumption,0.93,6229.889,6683.189,District,district,SAC_DB2Value Best
fossil_energy_consumption,0.925,34657.528,37461.364,District,district,SAC_DB2Value Best
ramping,0.964,20796.52,21583.846,District,district,SAC_DB2Value Best
electricity_consumption,0.917,4151.192,4528.42,Building_3,building,SAC_DB2Value Best
carbon_emissions,0.918,2141.461,2332.712,Building_3,building,SAC_DB2Value Best
cost,0.921,2370.901,2573.812,Building_3,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.873,0.151,0.173,Building_3,building,SAC_DB2Value Best
electricity_consumption,0.939,5308.802,5652.286,Building_5,building,SAC_DB2Value Best
carbon_emissions,0.94,2707.859,2881.739,Building_5,building,SAC_DB2Value Best
cost,0.939,2871.928,3057.456,Building_5,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.77,0.094,0.122,Building_5,building,SAC_DB2Value Best
electricity_consumption,0.929,5146.944,5540.207,Building_7,building,SAC_DB2Value Best
carbon_emissions,0.929,2611.907,2810.394,Building_7,building,SAC_DB2Value Best
cost,0.929,2717.102,2926.063,Building_7,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.83,0.18,0.216,Building_7,building,SAC_DB2Value Best
electricity_consumption,0.915,5488.517,5997.7,Building_8,building,SAC_DB2Value Best
carbon_emissions,0.916,2806.89,3064.868,Building_8,building,SAC_DB2Value Best
cost,0.917,3008.727,3282.401,Building_8,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.778,0.117,0.151,Building_8,building,SAC_DB2Value Best
electricity_consumption,0.933,7120.684,7635.149,Building_11,building,SAC_DB2Value Best
carbon_emissions,0.934,3642.515,3901.761,Building_11,building,SAC_DB2Value Best
cost,0.934,3911.345,4187.857,Building_11,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.758,0.058,0.076,Building_11,building,SAC_DB2Value Best
electricity_consumption,0.946,10163.194,10745.375,Building_17,building,SAC_DB2Value Best
carbon_emissions,0.946,5184.856,5480.857,Building_17,building,SAC_DB2Value Best
cost,0.944,5562.976,5892.977,Building_17,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.722,0.091,0.127,Building_17,building,SAC_DB2Value Best
