kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.01,0.651,0.645,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,0.994,0.88,0.885,District,district,SAC_DB2Value
1 - load_factor,0.993,0.85,0.857,District,district,SAC_DB2Value
1 - used_pv_of_total_share,0.949,0.136,0.144,District,district,SAC_DB2Value
average_daily_peak,1.005,10.836,10.782,District,district,SAC_DB2Value
carbon_emissions,1.012,3453.455,3412.055,District,district,SAC_DB2Value
cost,1.007,3695.381,3670.012,District,district,SAC_DB2Value
electricity_consumption,1.013,6773.316,6683.189,District,district,SAC_DB2Value
fossil_energy_consumption,1.013,37951.858,37460.062,District,district,SAC_DB2Value
ramping,1.019,22000.038,21583.846,District,district,SAC_DB2Value
electricity_consumption,0.998,4521.235,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,0.997,2326.109,2332.712,Building_3,building,SAC_DB2Value
cost,0.991,2562.059,2584.57,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,0.975,0.169,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,1.025,5796.055,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,1.024,2951.556,2881.739,Building_5,building,SAC_DB2Value
cost,1.021,3136.385,3071.658,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,0.975,0.119,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,1.025,5680.157,5540.207,Building_7,building,SAC_DB2Value
carbon_emissions,1.023,2875.484,2810.394,Building_7,building,SAC_DB2Value
cost,1.016,2987.831,2939.918,Building_7,building,SAC_DB2Value
1 - used_pv_of_total_share,0.876,0.19,0.216,Building_7,building,SAC_DB2Value
electricity_consumption,1.018,6106.881,5997.7,Building_8,building,SAC_DB2Value
carbon_emissions,1.017,3116.503,3064.868,Building_8,building,SAC_DB2Value
cost,1.011,3331.412,3296.626,Building_8,building,SAC_DB2Value
1 - used_pv_of_total_share,0.97,0.146,0.151,Building_8,building,SAC_DB2Value
electricity_consumption,0.995,7594.839,7635.149,Building_11,building,SAC_DB2Value
carbon_emissions,0.994,3878.089,3901.761,Building_11,building,SAC_DB2Value
cost,0.991,4170.186,4206.557,Building_11,building,SAC_DB2Value
1 - used_pv_of_total_share,0.89,0.068,0.076,Building_11,building,SAC_DB2Value
electricity_consumption,1.018,10940.729,10745.375,Building_17,building,SAC_DB2Value
carbon_emissions,1.017,5572.989,5480.857,Building_17,building,SAC_DB2Value
cost,1.011,5984.415,5920.74,Building_17,building,SAC_DB2Value
1 - used_pv_of_total_share,1.008,0.128,0.127,Building_17,building,SAC_DB2Value
1 - average_daily_renewable_share,0.99,0.638,0.645,District,district,SAC_DB2Value Best
1 - average_daily_renewable_share_grid,0.982,0.869,0.885,District,district,SAC_DB2Value Best
1 - load_factor,0.982,0.841,0.857,District,district,SAC_DB2Value Best
1 - used_pv_of_total_share,0.844,0.121,0.144,District,district,SAC_DB2Value Best
average_daily_peak,0.921,9.935,10.782,District,district,SAC_DB2Value Best
carbon_emissions,0.943,3236.931,3412.055,District,district,SAC_DB2Value Best
cost,0.943,3481.765,3670.012,District,district,SAC_DB2Value Best
electricity_consumption,0.942,6337.041,6683.189,District,district,SAC_DB2Value Best
fossil_energy_consumption,0.943,35342.757,37460.062,District,district,SAC_DB2Value Best
ramping,0.947,20440.348,21583.846,District,district,SAC_DB2Value Best
electricity_consumption,0.917,4152.185,4528.42,Building_3,building,SAC_DB2Value Best
carbon_emissions,0.918,2141.236,2332.712,Building_3,building,SAC_DB2Value Best
cost,0.92,2377.279,2584.57,Building_3,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.838,0.145,0.173,Building_3,building,SAC_DB2Value Best
electricity_consumption,0.939,5309.356,5652.286,Building_5,building,SAC_DB2Value Best
carbon_emissions,0.94,2709.345,2881.739,Building_5,building,SAC_DB2Value Best
cost,0.942,2893.418,3071.658,Building_5,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.854,0.104,0.122,Building_5,building,SAC_DB2Value Best
electricity_consumption,0.934,5173.851,5540.207,Building_7,building,SAC_DB2Value Best
carbon_emissions,0.934,2624.522,2810.394,Building_7,building,SAC_DB2Value Best
cost,0.933,2741.662,2939.918,Building_7,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.793,0.172,0.216,Building_7,building,SAC_DB2Value Best
electricity_consumption,0.932,5591.629,5997.7,Building_8,building,SAC_DB2Value Best
carbon_emissions,0.933,2858.797,3064.868,Building_8,building,SAC_DB2Value Best
cost,0.932,3073.477,3296.626,Building_8,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.824,0.124,0.151,Building_8,building,SAC_DB2Value Best
electricity_consumption,0.949,7249.471,7635.149,Building_11,building,SAC_DB2Value Best
carbon_emissions,0.95,3706.974,3901.761,Building_11,building,SAC_DB2Value Best
cost,0.95,3995.465,4206.557,Building_11,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.845,0.064,0.076,Building_11,building,SAC_DB2Value Best
electricity_consumption,0.981,10545.751,10745.375,Building_17,building,SAC_DB2Value Best
carbon_emissions,0.982,5380.708,5480.857,Building_17,building,SAC_DB2Value Best
cost,0.981,5809.288,5920.74,Building_17,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.911,0.115,0.127,Building_17,building,SAC_DB2Value Best
