kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.003,0.647,0.645,District,district,MARLISA
1 - average_daily_renewable_share_grid,0.991,0.877,0.885,District,district,MARLISA
1 - load_factor,0.984,0.843,0.857,District,district,MARLISA
1 - used_pv_of_total_share,0.825,0.12,0.144,District,district,MARLISA
average_daily_peak,0.945,10.19,10.782,District,district,MARLISA
carbon_emissions,0.972,3309.142,3412.055,District,district,MARLISA
cost,0.971,3554.216,3670.012,District,district,MARLISA
electricity_consumption,0.972,6483.382,6683.189,District,district,MARLISA
fossil_energy_consumption,0.966,36187.252,37460.062,District,district,MARLISA
ramping,0.973,21000.002,21583.846,District,district,MARLISA
electricity_consumption,0.952,4310.491,4528.42,Building_3,building,MARLISA
carbon_emissions,0.953,2224.158,2332.712,Building_3,building,MARLISA
cost,0.958,2475.83,2584.57,Building_3,building,MARLISA
1 - used_pv_of_total_share,0.85,0.147,0.173,Building_3,building,MARLISA
electricity_consumption,0.984,5563.571,5652.286,Building_5,building,MARLISA
carbon_emissions,0.984,2836.543,2881.739,Building_5,building,MARLISA
cost,0.984,3021.271,3071.658,Building_5,building,MARLISA
1 - used_pv_of_total_share,0.876,0.107,0.122,Building_5,building,MARLISA
electricity_consumption,1.003,5558.937,5540.207,Building_7,building,MARLISA
carbon_emissions,1.003,2819.266,2810.394,Building_7,building,MARLISA
cost,1.001,2944.216,2939.918,Building_7,building,MARLISA
1 - used_pv_of_total_share,0.857,0.186,0.216,Building_7,building,MARLISA
electricity_consumption,0.963,5773.942,5997.7,Building_8,building,MARLISA
carbon_emissions,0.963,2952.486,3064.868,Building_8,building,MARLISA
cost,0.965,3182.634,3296.626,Building_8,building,MARLISA
1 - used_pv_of_total_share,0.878,0.132,0.151,Building_8,building,MARLISA
electricity_consumption,0.971,7417.192,7635.149,Building_11,building,MARLISA
carbon_emissions,0.97,3785.341,3901.761,Building_11,building,MARLISA
cost,0.965,4058.363,4206.557,Building_11,building,MARLISA
1 - used_pv_of_total_share,0.803,0.061,0.076,Building_11,building,MARLISA
electricity_consumption,0.956,10276.158,10745.375,Building_17,building,MARLISA
carbon_emissions,0.956,5237.06,5480.857,Building_17,building,MARLISA
cost,0.953,5642.979,5920.74,Building_17,building,MARLISA
1 - used_pv_of_total_share,0.684,0.087,0.127,Building_17,building,MARLISA
1 - average_daily_renewable_share,0.998,0.643,0.645,District,district,MARLISA Best
1 - average_daily_renewable_share_grid,0.994,0.88,0.885,District,district,MARLISA Best
1 - load_factor,0.994,0.852,0.857,District,district,MARLISA Best
1 - used_pv_of_total_share,0.93,0.135,0.144,District,district,MARLISA Best
average_daily_peak,0.959,10.338,10.782,District,district,MARLISA Best
carbon_emissions,0.983,3348.915,3412.055,District,district,MARLISA Best
cost,0.984,3602.707,3670.012,District,district,MARLISA Best
electricity_consumption,0.983,6558.067,6683.189,District,district,MARLISA Best
fossil_energy_consumption,0.979,36675.75,37460.062,District,district,MARLISA Best
ramping,0.97,20937.41,21583.846,District,district,MARLISA Best
electricity_consumption,0.984,4457.751,4528.42,Building_3,building,MARLISA Best
carbon_emissions,0.985,2298.004,2332.712,Building_3,building,MARLISA Best
cost,0.987,2551.406,2584.57,Building_3,building,MARLISA Best
1 - used_pv_of_total_share,0.971,0.168,0.173,Building_3,building,MARLISA Best
electricity_consumption,0.991,5602.547,5652.286,Building_5,building,MARLISA Best
carbon_emissions,0.992,2857.582,2881.739,Building_5,building,MARLISA Best
cost,0.993,3049.92,3071.658,Building_5,building,MARLISA Best
1 - used_pv_of_total_share,0.945,0.115,0.122,Building_5,building,MARLISA Best
electricity_consumption,0.988,5471.392,5540.207,Building_7,building,MARLISA Best
carbon_emissions,0.988,2775.887,2810.394,Building_7,building,MARLISA Best
cost,0.988,2904.245,2939.918,Building_7,building,MARLISA Best
1 - used_pv_of_total_share,0.952,0.206,0.216,Building_7,building,MARLISA Best
electricity_consumption,0.986,5914.466,5997.7,Building_8,building,MARLISA Best
carbon_emissions,0.987,3023.503,3064.868,Building_8,building,MARLISA Best
cost,0.987,3255.164,3296.626,Building_8,building,MARLISA Best
1 - used_pv_of_total_share,0.956,0.144,0.151,Building_8,building,MARLISA Best
electricity_consumption,0.977,7460.188,7635.149,Building_11,building,MARLISA Best
carbon_emissions,0.977,3813.245,3901.761,Building_11,building,MARLISA Best
cost,0.977,4110.021,4206.557,Building_11,building,MARLISA Best
1 - used_pv_of_total_share,0.913,0.069,0.076,Building_11,building,MARLISA Best
electricity_consumption,0.972,10442.06,10745.375,Building_17,building,MARLISA Best
carbon_emissions,0.972,5325.268,5480.857,Building_17,building,MARLISA Best
cost,0.97,5745.484,5920.74,Building_17,building,MARLISA Best
1 - used_pv_of_total_share,0.846,0.107,0.127,Building_17,building,MARLISA Best
