kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.091,0.62,0.568,District,district,RBC
1 - average_daily_renewable_share_grid,1.057,0.931,0.881,District,district,RBC
1 - load_factor,0.994,0.898,0.904,District,district,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,District,district,RBC
average_daily_peak,0.984,1.982,2.014,District,district,RBC
carbon_emissions,1.072,3088.284,2881.739,District,district,RBC
cost,1.07,3269.959,3057.456,District,district,RBC
electricity_consumption,1.072,6056.782,5652.286,District,district,RBC
fossil_energy_consumption,1.078,5812.314,5392.801,District,district,RBC
ramping,1.037,4499.669,4338.249,District,district,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3269.959,3057.456,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
1 - average_daily_renewable_share,1.037,0.589,0.568,District,district,SAC
1 - average_daily_renewable_share_grid,1.01,0.89,0.881,District,district,SAC
1 - load_factor,0.991,0.895,0.904,District,district,SAC
1 - used_pv_of_total_share,0.778,0.095,0.122,District,district,SAC
average_daily_peak,0.985,1.983,2.014,District,district,SAC
carbon_emissions,0.949,2735.16,2881.739,District,district,SAC
cost,0.949,2900.691,3057.456,District,district,SAC
electricity_consumption,0.949,5363.55,5652.286,District,district,SAC
fossil_energy_consumption,0.949,5115.749,5392.801,District,district,SAC
ramping,1.042,4520.572,4338.249,District,district,SAC
electricity_consumption,0.949,5363.55,5652.286,Building_5,building,SAC
carbon_emissions,0.949,2735.16,2881.739,Building_5,building,SAC
cost,0.949,2900.691,3057.456,Building_5,building,SAC
1 - used_pv_of_total_share,0.778,0.095,0.122,Building_5,building,SAC
1 - average_daily_renewable_share,1.05,0.596,0.568,District,district,SAC Best
1 - average_daily_renewable_share_grid,1.018,0.897,0.881,District,district,SAC Best
1 - load_factor,0.99,0.894,0.904,District,district,SAC Best
1 - used_pv_of_total_share,0.745,0.091,0.122,District,district,SAC Best
average_daily_peak,0.975,1.964,2.014,District,district,SAC Best
carbon_emissions,0.936,2697.129,2881.739,District,district,SAC Best
cost,0.936,2861.374,3057.456,District,district,SAC Best
electricity_consumption,0.935,5286.956,5652.286,District,district,SAC Best
fossil_energy_consumption,0.935,5044.932,5392.801,District,district,SAC Best
ramping,1.043,4523.078,4338.249,District,district,SAC Best
electricity_consumption,0.935,5286.956,5652.286,Building_5,building,SAC Best
carbon_emissions,0.936,2697.129,2881.739,Building_5,building,SAC Best
cost,0.936,2861.374,3057.456,Building_5,building,SAC Best
1 - used_pv_of_total_share,0.745,0.091,0.122,Building_5,building,SAC Best
