kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.003,0.647,0.645,District,district,MARLISA
1 - average_daily_renewable_share_grid,0.991,0.877,0.885,District,district,MARLISA
1 - load_factor,0.991,0.849,0.857,District,district,MARLISA
1 - used_pv_of_total_share,0.887,0.128,0.144,District,district,MARLISA
average_daily_peak,0.977,10.531,10.782,District,district,MARLISA
carbon_emissions,0.991,3372.492,3412.055,District,district,MARLISA
cost,0.988,3618.126,3670.012,District,district,MARLISA
electricity_consumption,0.991,6608.801,6683.189,District,district,MARLISA
fossil_energy_consumption,0.986,36953.329,37460.062,District,district,MARLISA
ramping,0.995,21474.836,21583.846,District,district,MARLISA
electricity_consumption,0.993,4494.703,4528.42,Building_3,building,MARLISA
carbon_emissions,0.992,2313.669,2332.712,Building_3,building,MARLISA
cost,0.989,2555.993,2584.57,Building_3,building,MARLISA
1 - used_pv_of_total_share,0.874,0.151,0.173,Building_3,building,MARLISA
electricity_consumption,0.982,5550.83,5652.286,Building_5,building,MARLISA
carbon_emissions,0.982,2830.411,2881.739,Building_5,building,MARLISA
cost,0.982,3016.305,3071.658,Building_5,building,MARLISA
1 - used_pv_of_total_share,0.879,0.107,0.122,Building_5,building,MARLISA
electricity_consumption,1.033,5725.209,5540.207,Building_7,building,MARLISA
carbon_emissions,1.032,2900.4,2810.394,Building_7,building,MARLISA
cost,1.026,3015.927,2939.918,Building_7,building,MARLISA
1 - used_pv_of_total_share,0.921,0.199,0.216,Building_7,building,MARLISA
electricity_consumption,0.967,5797.985,5997.7,Building_8,building,MARLISA
carbon_emissions,0.967,2962.345,3064.868,Building_8,building,MARLISA
cost,0.965,3182.481,3296.626,Building_8,building,MARLISA
1 - used_pv_of_total_share,0.92,0.139,0.151,Building_8,building,MARLISA
electricity_consumption,1.001,7642.696,7635.149,Building_11,building,MARLISA
carbon_emissions,1.0,3902.168,3901.761,Building_11,building,MARLISA
cost,0.996,4190.689,4206.557,Building_11,building,MARLISA
1 - used_pv_of_total_share,0.9,0.068,0.076,Building_11,building,MARLISA
electricity_consumption,0.972,10441.381,10745.375,Building_17,building,MARLISA
carbon_emissions,0.972,5325.959,5480.857,Building_17,building,MARLISA
cost,0.971,5747.359,5920.74,Building_17,building,MARLISA
1 - used_pv_of_total_share,0.83,0.105,0.127,Building_17,building,MARLISA
1 - average_daily_renewable_share,1.0,0.644,0.645,District,district,MARLISA Best
1 - average_daily_renewable_share_grid,0.991,0.877,0.885,District,district,MARLISA Best
1 - load_factor,0.991,0.849,0.857,District,district,MARLISA Best
1 - used_pv_of_total_share,0.892,0.129,0.144,District,district,MARLISA Best
average_daily_peak,0.954,10.29,10.782,District,district,MARLISA Best
carbon_emissions,0.989,3367.412,3412.055,District,district,MARLISA Best
cost,0.987,3611.775,3670.012,District,district,MARLISA Best
electricity_consumption,0.99,6598.794,6683.189,District,district,MARLISA Best
fossil_energy_consumption,0.985,36897.997,37460.062,District,district,MARLISA Best
ramping,0.986,21292.283,21583.846,District,district,MARLISA Best
electricity_consumption,0.976,4421.258,4528.42,Building_3,building,MARLISA Best
carbon_emissions,0.975,2275.429,2332.712,Building_3,building,MARLISA Best
cost,0.971,2509.635,2584.57,Building_3,building,MARLISA Best
1 - used_pv_of_total_share,0.889,0.154,0.173,Building_3,building,MARLISA Best
electricity_consumption,0.99,5594.154,5652.286,Building_5,building,MARLISA Best
carbon_emissions,0.99,2852.57,2881.739,Building_5,building,MARLISA Best
cost,0.99,3041.472,3071.658,Building_5,building,MARLISA Best
1 - used_pv_of_total_share,0.903,0.11,0.122,Building_5,building,MARLISA Best
electricity_consumption,1.032,5716.093,5540.207,Building_7,building,MARLISA Best
carbon_emissions,1.031,2896.129,2810.394,Building_7,building,MARLISA Best
cost,1.024,3009.175,2939.918,Building_7,building,MARLISA Best
1 - used_pv_of_total_share,0.886,0.192,0.216,Building_7,building,MARLISA Best
electricity_consumption,0.987,5920.843,5997.7,Building_8,building,MARLISA Best
carbon_emissions,0.987,3025.364,3064.868,Building_8,building,MARLISA Best
cost,0.986,3251.11,3296.626,Building_8,building,MARLISA Best
1 - used_pv_of_total_share,0.948,0.143,0.151,Building_8,building,MARLISA Best
electricity_consumption,0.984,7516.505,7635.149,Building_11,building,MARLISA Best
carbon_emissions,0.984,3838.065,3901.761,Building_11,building,MARLISA Best
cost,0.98,4120.606,4206.557,Building_11,building,MARLISA Best
1 - used_pv_of_total_share,0.88,0.067,0.076,Building_11,building,MARLISA Best
electricity_consumption,0.97,10423.912,10745.375,Building_17,building,MARLISA Best
carbon_emissions,0.97,5316.915,5480.857,Building_17,building,MARLISA Best
cost,0.969,5738.651,5920.74,Building_17,building,MARLISA Best
1 - used_pv_of_total_share,0.846,0.107,0.127,Building_17,building,MARLISA Best
