kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.035,0.551,0.533,District,district,RBC
1 - average_daily_renewable_share_grid,1.03,0.707,0.687,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.98,0.522,0.533,District,district,SAC
1 - average_daily_renewable_share_grid,0.963,0.662,0.687,District,district,SAC
1 - load_factor,0.98,0.84,0.857,District,district,SAC
1 - used_pv_of_total_share,0.787,0.114,0.144,District,district,SAC
average_daily_peak,0.9,9.706,10.782,District,district,SAC
cost,0.958,3520.363,3670.012,District,district,SAC
electricity_consumption,0.96,6430.935,6683.189,District,district,SAC
ramping,0.961,20744.25,21583.846,District,district,SAC
electricity_consumption,0.941,4260.177,4528.42,Building_3,building,SAC
cost,0.941,2432.778,2584.57,Building_3,building,SAC
1 - used_pv_of_total_share,0.773,0.134,0.173,Building_3,building,SAC
electricity_consumption,0.968,5471.978,5652.286,Building_5,building,SAC
cost,0.966,2967.904,3071.658,Building_5,building,SAC
1 - used_pv_of_total_share,0.771,0.094,0.122,Building_5,building,SAC
electricity_consumption,0.989,5478.117,5540.207,Building_7,building,SAC
cost,0.986,2898.842,2939.918,Building_7,building,SAC
1 - used_pv_of_total_share,0.841,0.182,0.216,Building_7,building,SAC
electricity_consumption,0.936,5616.502,5997.7,Building_8,building,SAC
cost,0.932,3072.256,3296.626,Building_8,building,SAC
1 - used_pv_of_total_share,0.798,0.12,0.151,Building_8,building,SAC
electricity_consumption,0.953,7275.143,7635.149,Building_11,building,SAC
cost,0.95,3996.128,4206.557,Building_11,building,SAC
1 - used_pv_of_total_share,0.75,0.057,0.076,Building_11,building,SAC
electricity_consumption,0.976,10483.69,10745.375,Building_17,building,SAC
cost,0.972,5754.268,5920.74,Building_17,building,SAC
1 - used_pv_of_total_share,0.788,0.1,0.127,Building_17,building,SAC
1 - average_daily_renewable_share,0.975,0.52,0.533,District,district,SAC_DB2
1 - average_daily_renewable_share_grid,0.96,0.659,0.687,District,district,SAC_DB2
1 - load_factor,0.98,0.839,0.857,District,district,SAC_DB2
1 - used_pv_of_total_share,0.779,0.113,0.144,District,district,SAC_DB2
average_daily_peak,0.917,9.89,10.782,District,district,SAC_DB2
cost,0.954,3506.734,3670.012,District,district,SAC_DB2
electricity_consumption,0.959,6421.179,6683.189,District,district,SAC_DB2
ramping,0.97,20930.219,21583.846,District,district,SAC_DB2
electricity_consumption,0.952,4313.163,4528.42,Building_3,building,SAC_DB2
cost,0.947,2448.175,2584.57,Building_3,building,SAC_DB2
1 - used_pv_of_total_share,0.785,0.136,0.173,Building_3,building,SAC_DB2
electricity_consumption,0.965,5451.634,5652.286,Building_5,building,SAC_DB2
cost,0.961,2952.679,3071.658,Building_5,building,SAC_DB2
1 - used_pv_of_total_share,0.809,0.099,0.122,Building_5,building,SAC_DB2
electricity_consumption,0.96,5317.459,5540.207,Building_7,building,SAC_DB2
cost,0.953,2803.142,2939.918,Building_7,building,SAC_DB2
1 - used_pv_of_total_share,0.808,0.175,0.216,Building_7,building,SAC_DB2
electricity_consumption,0.95,5699.953,5997.7,Building_8,building,SAC_DB2
cost,0.948,3126.177,3296.626,Building_8,building,SAC_DB2
1 - used_pv_of_total_share,0.798,0.12,0.151,Building_8,building,SAC_DB2
electricity_consumption,0.945,7217.001,7635.149,Building_11,building,SAC_DB2
cost,0.946,3978.102,4206.557,Building_11,building,SAC_DB2
1 - used_pv_of_total_share,0.743,0.057,0.076,Building_11,building,SAC_DB2
electricity_consumption,0.98,10527.863,10745.375,Building_17,building,SAC_DB2
cost,0.968,5732.132,5920.74,Building_17,building,SAC_DB2
1 - used_pv_of_total_share,0.729,0.092,0.127,Building_17,building,SAC_DB2
