kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.016,0.655,0.645,District,district,MARLISA
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,MARLISA
1 - load_factor,0.983,0.842,0.857,District,district,MARLISA
1 - used_pv_of_total_share,0.958,0.137,0.144,District,district,MARLISA
average_daily_peak,0.96,10.356,10.782,District,district,MARLISA
carbon_emissions,1.032,3501.822,3412.055,District,district,MARLISA
cost,1.027,3750.439,3670.012,District,district,MARLISA
electricity_consumption,1.033,6862.809,6683.189,District,district,MARLISA
fossil_energy_consumption,1.028,38503.375,37460.062,District,district,MARLISA
ramping,1.092,23565.076,21583.846,District,district,MARLISA
electricity_consumption,1.07,4843.731,4528.42,Building_3,building,MARLISA
carbon_emissions,1.065,2485.041,2332.712,Building_3,building,MARLISA
cost,1.048,2709.653,2584.57,Building_3,building,MARLISA
1 - used_pv_of_total_share,0.967,0.168,0.173,Building_3,building,MARLISA
electricity_consumption,1.039,5871.61,5652.286,Building_5,building,MARLISA
carbon_emissions,1.038,2989.908,2881.739,Building_5,building,MARLISA
cost,1.031,3166.038,3071.658,Building_5,building,MARLISA
1 - used_pv_of_total_share,0.967,0.118,0.122,Building_5,building,MARLISA
electricity_consumption,1.064,5892.429,5540.207,Building_7,building,MARLISA
carbon_emissions,1.064,2991.414,2810.394,Building_7,building,MARLISA
cost,1.064,3129.215,2939.918,Building_7,building,MARLISA
1 - used_pv_of_total_share,0.901,0.195,0.216,Building_7,building,MARLISA
electricity_consumption,1.003,6013.732,5997.7,Building_8,building,MARLISA
carbon_emissions,1.002,3071.71,3064.868,Building_8,building,MARLISA
cost,1.0,3296.539,3296.626,Building_8,building,MARLISA
1 - used_pv_of_total_share,0.978,0.147,0.151,Building_8,building,MARLISA
electricity_consumption,1.021,7797.147,7635.149,Building_11,building,MARLISA
carbon_emissions,1.021,3983.366,3901.761,Building_11,building,MARLISA
cost,1.017,4277.996,4206.557,Building_11,building,MARLISA
1 - used_pv_of_total_share,1.027,0.078,0.076,Building_11,building,MARLISA
electricity_consumption,1.001,10758.205,10745.375,Building_17,building,MARLISA
carbon_emissions,1.002,5489.492,5480.857,Building_17,building,MARLISA
cost,1.0,5923.196,5920.74,Building_17,building,MARLISA
1 - used_pv_of_total_share,0.908,0.115,0.127,Building_17,building,MARLISA
1 - average_daily_renewable_share,0.984,0.634,0.645,District,district,MARLISA Best
1 - average_daily_renewable_share_grid,0.978,0.865,0.885,District,district,MARLISA Best
1 - load_factor,0.981,0.841,0.857,District,district,MARLISA Best
1 - used_pv_of_total_share,0.816,0.119,0.144,District,district,MARLISA Best
average_daily_peak,0.929,10.014,10.782,District,district,MARLISA Best
carbon_emissions,0.951,3249.131,3412.055,District,district,MARLISA Best
cost,0.952,3497.139,3670.012,District,district,MARLISA Best
electricity_consumption,0.95,6361.708,6683.189,District,district,MARLISA Best
fossil_energy_consumption,0.947,35475.748,37460.062,District,district,MARLISA Best
ramping,0.965,20828.165,21583.846,District,district,MARLISA Best
electricity_consumption,0.905,4098.958,4528.42,Building_3,building,MARLISA Best
carbon_emissions,0.906,2112.559,2332.712,Building_3,building,MARLISA Best
cost,0.904,2337.358,2584.57,Building_3,building,MARLISA Best
1 - used_pv_of_total_share,0.773,0.134,0.173,Building_3,building,MARLISA Best
electricity_consumption,0.97,5480.212,5652.286,Building_5,building,MARLISA Best
carbon_emissions,0.97,2795.605,2881.739,Building_5,building,MARLISA Best
cost,0.972,2984.699,3071.658,Building_5,building,MARLISA Best
1 - used_pv_of_total_share,0.799,0.097,0.122,Building_5,building,MARLISA Best
electricity_consumption,0.982,5441.42,5540.207,Building_7,building,MARLISA Best
carbon_emissions,0.982,2761.203,2810.394,Building_7,building,MARLISA Best
cost,0.984,2891.998,2939.918,Building_7,building,MARLISA Best
1 - used_pv_of_total_share,0.917,0.198,0.216,Building_7,building,MARLISA Best
electricity_consumption,0.935,5607.738,5997.7,Building_8,building,MARLISA Best
carbon_emissions,0.936,2867.239,3064.868,Building_8,building,MARLISA Best
cost,0.938,3090.674,3296.626,Building_8,building,MARLISA Best
1 - used_pv_of_total_share,0.823,0.124,0.151,Building_8,building,MARLISA Best
electricity_consumption,0.958,7311.673,7635.149,Building_11,building,MARLISA Best
carbon_emissions,0.958,3739.653,3901.761,Building_11,building,MARLISA Best
cost,0.961,4043.14,4206.557,Building_11,building,MARLISA Best
1 - used_pv_of_total_share,0.814,0.062,0.076,Building_11,building,MARLISA Best
electricity_consumption,0.952,10230.248,10745.375,Building_17,building,MARLISA Best
carbon_emissions,0.952,5218.523,5480.857,Building_17,building,MARLISA Best
cost,0.952,5634.965,5920.74,Building_17,building,MARLISA Best
1 - used_pv_of_total_share,0.768,0.097,0.127,Building_17,building,MARLISA Best
