kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.011,0.577,0.571,District,district,RBC
1 - average_daily_renewable_share_grid,1.009,0.759,0.752,District,district,RBC
1 - load_factor,0.998,0.844,0.845,District,district,RBC
average_daily_peak,1.015,10.507,10.355,District,district,RBC
cost,1.061,3943.624,3733.824,District,district,RBC
electricity_consumption,1.064,7187.32,6789.373,District,district,RBC
ramping,1.044,20788.369,19921.34,District,district,RBC
used_pv_of_total_share,1.155,0.156,0.134,District,district,RBC
electricity_consumption,1.099,4978.404,4528.42,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.053,7142.548,6785.789,Building_4,building,RBC
cost,1.05,3939.192,3752.009,Building_4,building,RBC
used_pv_of_total_share,1.132,0.107,0.095,Building_4,building,RBC
electricity_consumption,1.092,5291.127,4843.548,Building_9,building,RBC
cost,1.087,2951.091,2714.04,Building_9,building,RBC
used_pv_of_total_share,1.198,0.207,0.172,Building_9,building,RBC
electricity_consumption,1.044,10183.434,9753.527,Building_10,building,RBC
cost,1.042,5580.526,5354.033,Building_10,building,RBC
used_pv_of_total_share,1.151,0.191,0.166,Building_10,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.053,7571.706,7189.804,Building_13,building,RBC
cost,1.054,3994.957,3791.736,Building_13,building,RBC
used_pv_of_total_share,1.128,0.139,0.123,Building_13,building,RBC
1 - average_daily_renewable_share,0.997,0.569,0.571,District,district,SAC
1 - average_daily_renewable_share_grid,0.984,0.74,0.752,District,district,SAC
1 - load_factor,0.982,0.83,0.845,District,district,SAC
average_daily_peak,0.913,9.449,10.355,District,district,SAC
cost,0.965,3604.971,3733.824,District,district,SAC
electricity_consumption,0.97,6592.043,6789.373,District,district,SAC
ramping,0.988,19683.196,19921.34,District,district,SAC
used_pv_of_total_share,0.844,0.113,0.134,District,district,SAC
electricity_consumption,0.983,4449.991,4528.42,Building_3,building,SAC
cost,0.979,2529.722,2584.57,Building_3,building,SAC
used_pv_of_total_share,0.887,0.154,0.173,Building_3,building,SAC
electricity_consumption,1.002,6801.62,6785.789,Building_4,building,SAC
cost,0.999,3747.339,3752.009,Building_4,building,SAC
used_pv_of_total_share,0.917,0.087,0.095,Building_4,building,SAC
electricity_consumption,0.931,4509.749,4843.548,Building_9,building,SAC
cost,0.925,2509.63,2714.04,Building_9,building,SAC
used_pv_of_total_share,0.816,0.141,0.172,Building_9,building,SAC
electricity_consumption,0.968,9437.299,9753.527,Building_10,building,SAC
cost,0.962,5148.711,5354.033,Building_10,building,SAC
used_pv_of_total_share,0.787,0.131,0.166,Building_10,building,SAC
electricity_consumption,0.963,7351.474,7635.149,Building_11,building,SAC
cost,0.963,4050.226,4206.557,Building_11,building,SAC
used_pv_of_total_share,0.804,0.061,0.076,Building_11,building,SAC
electricity_consumption,0.974,7002.125,7189.804,Building_13,building,SAC
cost,0.961,3644.197,3791.736,Building_13,building,SAC
used_pv_of_total_share,0.851,0.105,0.123,Building_13,building,SAC
1 - average_daily_renewable_share,1.0,0.571,0.571,District,district,SAC_DB2
1 - average_daily_renewable_share_grid,0.98,0.737,0.752,District,district,SAC_DB2
1 - load_factor,0.989,0.836,0.845,District,district,SAC_DB2
average_daily_peak,0.93,9.625,10.355,District,district,SAC_DB2
cost,0.971,3633.85,3733.824,District,district,SAC_DB2
electricity_consumption,0.978,6657.526,6789.373,District,district,SAC_DB2
ramping,0.998,19883.28,19921.34,District,district,SAC_DB2
used_pv_of_total_share,0.853,0.114,0.134,District,district,SAC_DB2
electricity_consumption,0.967,4377.938,4528.42,Building_3,building,SAC_DB2
cost,0.964,2491.271,2584.57,Building_3,building,SAC_DB2
used_pv_of_total_share,0.812,0.141,0.173,Building_3,building,SAC_DB2
electricity_consumption,0.996,6759.704,6785.789,Building_4,building,SAC_DB2
cost,0.99,3714.379,3752.009,Building_4,building,SAC_DB2
used_pv_of_total_share,0.895,0.085,0.095,Building_4,building,SAC_DB2
electricity_consumption,0.955,4626.421,4843.548,Building_9,building,SAC_DB2
cost,0.943,2560.233,2714.04,Building_9,building,SAC_DB2
used_pv_of_total_share,0.853,0.147,0.172,Building_9,building,SAC_DB2
electricity_consumption,0.988,9637.182,9753.527,Building_10,building,SAC_DB2
cost,0.983,5264.746,5354.033,Building_10,building,SAC_DB2
used_pv_of_total_share,0.845,0.141,0.166,Building_10,building,SAC_DB2
electricity_consumption,0.971,7413.277,7635.149,Building_11,building,SAC_DB2
cost,0.966,4064.553,4206.557,Building_11,building,SAC_DB2
used_pv_of_total_share,0.823,0.063,0.076,Building_11,building,SAC_DB2
electricity_consumption,0.992,7130.634,7189.804,Building_13,building,SAC_DB2
cost,0.978,3707.919,3791.736,Building_13,building,SAC_DB2
used_pv_of_total_share,0.891,0.11,0.123,Building_13,building,SAC_DB2
