kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.003,0.647,0.645,District,district,MARLISA
1 - average_daily_renewable_share_grid,0.999,0.884,0.885,District,district,MARLISA
1 - load_factor,0.991,0.85,0.857,District,district,MARLISA
1 - used_pv_of_total_share,0.934,0.135,0.144,District,district,MARLISA
average_daily_peak,0.971,10.472,10.782,District,district,MARLISA
carbon_emissions,0.992,3384.293,3412.055,District,district,MARLISA
cost,0.989,3630.242,3670.012,District,district,MARLISA
electricity_consumption,0.993,6632.685,6683.189,District,district,MARLISA
fossil_energy_consumption,0.991,37129.525,37460.062,District,district,MARLISA
ramping,0.99,21360.066,21583.846,District,district,MARLISA
electricity_consumption,0.995,4506.913,4528.42,Building_3,building,MARLISA
carbon_emissions,0.993,2316.28,2332.712,Building_3,building,MARLISA
cost,0.983,2541.627,2584.57,Building_3,building,MARLISA
1 - used_pv_of_total_share,0.894,0.155,0.173,Building_3,building,MARLISA
electricity_consumption,0.988,5583.572,5652.286,Building_5,building,MARLISA
carbon_emissions,0.988,2847.891,2881.739,Building_5,building,MARLISA
cost,0.99,3039.46,3071.658,Building_5,building,MARLISA
1 - used_pv_of_total_share,0.94,0.115,0.122,Building_5,building,MARLISA
electricity_consumption,0.988,5473.622,5540.207,Building_7,building,MARLISA
carbon_emissions,0.987,2775.063,2810.394,Building_7,building,MARLISA
cost,0.985,2896.715,2939.918,Building_7,building,MARLISA
1 - used_pv_of_total_share,0.964,0.209,0.216,Building_7,building,MARLISA
electricity_consumption,1.014,6083.859,5997.7,Building_8,building,MARLISA
carbon_emissions,1.012,3101.763,3064.868,Building_8,building,MARLISA
cost,1.002,3303.755,3296.626,Building_8,building,MARLISA
1 - used_pv_of_total_share,0.938,0.141,0.151,Building_8,building,MARLISA
electricity_consumption,0.982,7495.141,7635.149,Building_11,building,MARLISA
carbon_emissions,0.982,3831.733,3901.761,Building_11,building,MARLISA
cost,0.983,4135.357,4206.557,Building_11,building,MARLISA
1 - used_pv_of_total_share,0.924,0.07,0.076,Building_11,building,MARLISA
electricity_consumption,0.991,10653.001,10745.375,Building_17,building,MARLISA
carbon_emissions,0.991,5433.03,5480.857,Building_17,building,MARLISA
cost,0.991,5864.54,5920.74,Building_17,building,MARLISA
1 - used_pv_of_total_share,0.945,0.12,0.127,Building_17,building,MARLISA
1 - average_daily_renewable_share,1.0,0.644,0.645,District,district,MARLISA Best
1 - average_daily_renewable_share_grid,0.998,0.883,0.885,District,district,MARLISA Best
1 - load_factor,0.996,0.854,0.857,District,district,MARLISA Best
1 - used_pv_of_total_share,0.957,0.137,0.144,District,district,MARLISA Best
average_daily_peak,0.982,10.593,10.782,District,district,MARLISA Best
carbon_emissions,0.988,3379.169,3412.055,District,district,MARLISA Best
cost,0.988,3634.166,3670.012,District,district,MARLISA Best
electricity_consumption,0.988,6618.294,6683.189,District,district,MARLISA Best
fossil_energy_consumption,0.989,37055.277,37460.062,District,district,MARLISA Best
ramping,0.987,21307.593,21583.846,District,district,MARLISA Best
electricity_consumption,0.962,4354.663,4528.42,Building_3,building,MARLISA Best
carbon_emissions,0.961,2242.606,2332.712,Building_3,building,MARLISA Best
cost,0.958,2477.211,2584.57,Building_3,building,MARLISA Best
1 - used_pv_of_total_share,0.823,0.143,0.173,Building_3,building,MARLISA Best
electricity_consumption,0.997,5636.596,5652.286,Building_5,building,MARLISA Best
carbon_emissions,0.997,2874.15,2881.739,Building_5,building,MARLISA Best
cost,0.998,3064.76,3071.658,Building_5,building,MARLISA Best
1 - used_pv_of_total_share,0.987,0.12,0.122,Building_5,building,MARLISA Best
electricity_consumption,1.0,5539.176,5540.207,Building_7,building,MARLISA Best
carbon_emissions,1.0,2809.904,2810.394,Building_7,building,MARLISA Best
cost,1.0,2939.484,2939.918,Building_7,building,MARLISA Best
1 - used_pv_of_total_share,0.998,0.216,0.216,Building_7,building,MARLISA Best
electricity_consumption,0.976,5850.865,5997.7,Building_8,building,MARLISA Best
carbon_emissions,0.976,2991.239,3064.868,Building_8,building,MARLISA Best
cost,0.977,3221.304,3296.626,Building_8,building,MARLISA Best
1 - used_pv_of_total_share,0.945,0.142,0.151,Building_8,building,MARLISA Best
electricity_consumption,0.993,7585.466,7635.149,Building_11,building,MARLISA Best
carbon_emissions,0.994,3877.441,3901.761,Building_11,building,MARLISA Best
cost,0.994,4182.8,4206.557,Building_11,building,MARLISA Best
1 - used_pv_of_total_share,0.987,0.075,0.076,Building_11,building,MARLISA Best
electricity_consumption,1.0,10742.995,10745.375,Building_17,building,MARLISA Best
carbon_emissions,1.0,5479.672,5480.857,Building_17,building,MARLISA Best
cost,1.0,5919.439,5920.74,Building_17,building,MARLISA Best
1 - used_pv_of_total_share,0.999,0.127,0.127,Building_17,building,MARLISA Best
