kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.012,0.581,0.574,District,district,RBC
1 - average_daily_renewable_share_grid,1.013,0.775,0.765,District,district,RBC
1 - load_factor,0.99,0.871,0.879,District,district,RBC
1 - used_pv_of_total_share,1.165,0.178,0.153,District,district,RBC
average_daily_peak,1.001,9.793,9.784,District,district,RBC
cost,1.07,3502.472,3282.672,District,district,RBC
electricity_consumption,1.073,6377.728,5960.808,District,district,RBC
ramping,1.059,20956.476,19789.224,District,district,RBC
electricity_consumption,1.054,7810.107,7411.591,Building_1,building,RBC
cost,1.052,4294.741,4084.007,Building_1,building,RBC
1 - used_pv_of_total_share,1.166,0.158,0.136,Building_1,building,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.054,7724.599,7331.304,Building_6,building,RBC
cost,1.052,4151.092,3945.13,Building_6,building,RBC
1 - used_pv_of_total_share,1.071,0.173,0.162,Building_6,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.092,5291.127,4843.548,Building_9,building,RBC
cost,1.087,2951.091,2714.04,Building_9,building,RBC
1 - used_pv_of_total_share,1.198,0.207,0.172,Building_9,building,RBC
1 - average_daily_renewable_share,0.997,0.573,0.574,District,district,SAC
1 - average_daily_renewable_share_grid,0.979,0.748,0.765,District,district,SAC
1 - load_factor,0.989,0.87,0.879,District,district,SAC
1 - used_pv_of_total_share,0.869,0.132,0.153,District,district,SAC
average_daily_peak,0.904,8.847,9.784,District,district,SAC
cost,0.963,3170.697,3282.672,District,district,SAC
electricity_consumption,0.97,5800.856,5960.808,District,district,SAC
ramping,0.96,18998.661,19789.224,District,district,SAC
electricity_consumption,0.979,7255.33,7411.591,Building_1,building,SAC
cost,0.978,3995.824,4084.007,Building_1,building,SAC
1 - used_pv_of_total_share,0.935,0.127,0.136,Building_1,building,SAC
electricity_consumption,0.954,4318.341,4528.42,Building_3,building,SAC
cost,0.952,2461.361,2584.57,Building_3,building,SAC
1 - used_pv_of_total_share,0.853,0.148,0.173,Building_3,building,SAC
electricity_consumption,1.005,5682.43,5652.286,Building_5,building,SAC
cost,0.995,3055.866,3071.658,Building_5,building,SAC
1 - used_pv_of_total_share,0.949,0.116,0.122,Building_5,building,SAC
electricity_consumption,0.987,7238.535,7331.304,Building_6,building,SAC
cost,0.983,3877.258,3945.13,Building_6,building,SAC
1 - used_pv_of_total_share,0.821,0.133,0.162,Building_6,building,SAC
electricity_consumption,0.973,5835.131,5997.7,Building_8,building,SAC
cost,0.962,3172.009,3296.626,Building_8,building,SAC
1 - used_pv_of_total_share,0.839,0.126,0.151,Building_8,building,SAC
electricity_consumption,0.924,4475.369,4843.548,Building_9,building,SAC
cost,0.907,2461.861,2714.04,Building_9,building,SAC
1 - used_pv_of_total_share,0.815,0.14,0.172,Building_9,building,SAC
1 - average_daily_renewable_share,0.996,0.572,0.574,District,district,SAC_DB2
1 - average_daily_renewable_share_grid,0.976,0.746,0.765,District,district,SAC_DB2
1 - load_factor,0.987,0.868,0.879,District,district,SAC_DB2
1 - used_pv_of_total_share,0.844,0.129,0.153,District,district,SAC_DB2
average_daily_peak,0.885,8.656,9.784,District,district,SAC_DB2
cost,0.953,3136.518,3282.672,District,district,SAC_DB2
electricity_consumption,0.96,5739.146,5960.808,District,district,SAC_DB2
ramping,0.953,18867.107,19789.224,District,district,SAC_DB2
electricity_consumption,0.97,7190.89,7411.591,Building_1,building,SAC_DB2
cost,0.959,3915.941,4084.007,Building_1,building,SAC_DB2
1 - used_pv_of_total_share,0.873,0.119,0.136,Building_1,building,SAC_DB2
electricity_consumption,0.982,4448.789,4528.42,Building_3,building,SAC_DB2
cost,0.972,2513.15,2584.57,Building_3,building,SAC_DB2
1 - used_pv_of_total_share,0.881,0.153,0.173,Building_3,building,SAC_DB2
electricity_consumption,0.966,5462.308,5652.286,Building_5,building,SAC_DB2
cost,0.963,2957.387,3071.658,Building_5,building,SAC_DB2
1 - used_pv_of_total_share,0.838,0.102,0.122,Building_5,building,SAC_DB2
electricity_consumption,0.994,7289.085,7331.304,Building_6,building,SAC_DB2
cost,0.99,3905.987,3945.13,Building_6,building,SAC_DB2
1 - used_pv_of_total_share,0.884,0.143,0.162,Building_6,building,SAC_DB2
electricity_consumption,0.951,5704.651,5997.7,Building_8,building,SAC_DB2
cost,0.949,3128.068,3296.626,Building_8,building,SAC_DB2
1 - used_pv_of_total_share,0.833,0.126,0.151,Building_8,building,SAC_DB2
electricity_consumption,0.896,4339.152,4843.548,Building_9,building,SAC_DB2
cost,0.884,2398.574,2714.04,Building_9,building,SAC_DB2
1 - used_pv_of_total_share,0.757,0.13,0.172,Building_9,building,SAC_DB2
