kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.992,0.64,0.645,District,district,SAC_DB2
1 - average_daily_renewable_share_grid,0.983,0.87,0.885,District,district,SAC_DB2
1 - load_factor,0.986,0.845,0.857,District,district,SAC_DB2
1 - used_pv_of_total_share,0.837,0.123,0.144,District,district,SAC_DB2
average_daily_peak,0.943,10.166,10.782,District,district,SAC_DB2
carbon_emissions,0.96,3280.453,3412.055,District,district,SAC_DB2
cost,0.962,3533.49,3670.012,District,district,SAC_DB2
electricity_consumption,0.959,6420.92,6683.189,District,district,SAC_DB2
fossil_energy_consumption,0.957,35836.546,37460.062,District,district,SAC_DB2
ramping,0.963,20780.92,21583.846,District,district,SAC_DB2
electricity_consumption,0.963,4360.915,4528.42,Building_3,building,SAC_DB2
carbon_emissions,0.965,2250.29,2332.712,Building_3,building,SAC_DB2
cost,0.97,2505.839,2584.57,Building_3,building,SAC_DB2
1 - used_pv_of_total_share,0.921,0.159,0.173,Building_3,building,SAC_DB2
electricity_consumption,0.962,5440.247,5652.286,Building_5,building,SAC_DB2
carbon_emissions,0.963,2774.945,2881.739,Building_5,building,SAC_DB2
cost,0.963,2957.908,3071.658,Building_5,building,SAC_DB2
1 - used_pv_of_total_share,0.811,0.099,0.122,Building_5,building,SAC_DB2
electricity_consumption,0.974,5396.831,5540.207,Building_7,building,SAC_DB2
carbon_emissions,0.975,2740.174,2810.394,Building_7,building,SAC_DB2
cost,0.977,2872.251,2939.918,Building_7,building,SAC_DB2
1 - used_pv_of_total_share,0.903,0.196,0.216,Building_7,building,SAC_DB2
electricity_consumption,0.935,5609.189,5997.7,Building_8,building,SAC_DB2
carbon_emissions,0.936,2868.59,3064.868,Building_8,building,SAC_DB2
cost,0.937,3089.422,3296.626,Building_8,building,SAC_DB2
1 - used_pv_of_total_share,0.815,0.123,0.151,Building_8,building,SAC_DB2
electricity_consumption,0.944,7205.849,7635.149,Building_11,building,SAC_DB2
carbon_emissions,0.944,3682.43,3901.761,Building_11,building,SAC_DB2
cost,0.943,3965.386,4206.557,Building_11,building,SAC_DB2
1 - used_pv_of_total_share,0.722,0.055,0.076,Building_11,building,SAC_DB2
electricity_consumption,0.978,10512.49,10745.375,Building_17,building,SAC_DB2
carbon_emissions,0.979,5366.287,5480.857,Building_17,building,SAC_DB2
cost,0.981,5810.133,5920.74,Building_17,building,SAC_DB2
1 - used_pv_of_total_share,0.851,0.108,0.127,Building_17,building,SAC_DB2
1 - average_daily_renewable_share,0.99,0.638,0.645,District,district,SAC_DB2 Best
1 - average_daily_renewable_share_grid,0.981,0.868,0.885,District,district,SAC_DB2 Best
1 - load_factor,0.983,0.843,0.857,District,district,SAC_DB2 Best
1 - used_pv_of_total_share,0.786,0.114,0.144,District,district,SAC_DB2 Best
average_daily_peak,0.93,10.022,10.782,District,district,SAC_DB2 Best
carbon_emissions,0.95,3254.329,3412.055,District,district,SAC_DB2 Best
cost,0.95,3501.03,3670.012,District,district,SAC_DB2 Best
electricity_consumption,0.949,6370.899,6683.189,District,district,SAC_DB2 Best
fossil_energy_consumption,0.949,35533.489,37460.062,District,district,SAC_DB2 Best
ramping,0.98,21158.737,21583.846,District,district,SAC_DB2 Best
electricity_consumption,0.92,4165.177,4528.42,Building_3,building,SAC_DB2 Best
carbon_emissions,0.921,2147.676,2332.712,Building_3,building,SAC_DB2 Best
cost,0.921,2381.588,2584.57,Building_3,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.786,0.136,0.173,Building_3,building,SAC_DB2 Best
electricity_consumption,0.949,5366.434,5652.286,Building_5,building,SAC_DB2 Best
carbon_emissions,0.949,2735.71,2881.739,Building_5,building,SAC_DB2 Best
cost,0.948,2910.737,3071.658,Building_5,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.726,0.088,0.122,Building_5,building,SAC_DB2 Best
electricity_consumption,0.947,5247.656,5540.207,Building_7,building,SAC_DB2 Best
carbon_emissions,0.947,2662.837,2810.394,Building_7,building,SAC_DB2 Best
cost,0.948,2787.728,2939.918,Building_7,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.823,0.178,0.216,Building_7,building,SAC_DB2 Best
electricity_consumption,0.955,5725.367,5997.7,Building_8,building,SAC_DB2 Best
carbon_emissions,0.955,2926.439,3064.868,Building_8,building,SAC_DB2 Best
cost,0.953,3142.091,3296.626,Building_8,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.825,0.124,0.151,Building_8,building,SAC_DB2 Best
electricity_consumption,0.949,7248.947,7635.149,Building_11,building,SAC_DB2 Best
carbon_emissions,0.95,3706.204,3901.761,Building_11,building,SAC_DB2 Best
cost,0.95,3995.539,4206.557,Building_11,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.737,0.056,0.076,Building_11,building,SAC_DB2 Best
electricity_consumption,0.975,10471.815,10745.375,Building_17,building,SAC_DB2 Best
carbon_emissions,0.976,5347.111,5480.857,Building_17,building,SAC_DB2 Best
cost,0.978,5788.499,5920.74,Building_17,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.82,0.104,0.127,Building_17,building,SAC_DB2 Best
