kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.019,0.599,0.588,District,district,RBC
1 - average_daily_renewable_share_grid,1.015,0.785,0.773,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.978,0.575,0.588,District,district,SAC
1 - average_daily_renewable_share_grid,0.966,0.747,0.773,District,district,SAC
1 - load_factor,0.98,0.839,0.857,District,district,SAC
1 - used_pv_of_total_share,0.766,0.112,0.144,District,district,SAC
average_daily_peak,0.904,9.751,10.782,District,district,SAC
cost,0.943,3471.663,3670.012,District,district,SAC
electricity_consumption,0.946,6344.448,6683.189,District,district,SAC
ramping,0.97,20930.36,21583.846,District,district,SAC
electricity_consumption,0.924,4185.788,4528.42,Building_3,building,SAC
cost,0.923,2385.336,2584.57,Building_3,building,SAC
1 - used_pv_of_total_share,0.78,0.135,0.173,Building_3,building,SAC
electricity_consumption,0.96,5425.731,5652.286,Building_5,building,SAC
cost,0.957,2940.82,3071.658,Building_5,building,SAC
1 - used_pv_of_total_share,0.763,0.093,0.122,Building_5,building,SAC
electricity_consumption,0.945,5236.548,5540.207,Building_7,building,SAC
cost,0.941,2766.341,2939.918,Building_7,building,SAC
1 - used_pv_of_total_share,0.823,0.178,0.216,Building_7,building,SAC
electricity_consumption,0.932,5589.569,5997.7,Building_8,building,SAC
cost,0.928,3059.263,3296.626,Building_8,building,SAC
1 - used_pv_of_total_share,0.768,0.116,0.151,Building_8,building,SAC
electricity_consumption,0.939,7168.14,7635.149,Building_11,building,SAC
cost,0.939,3949.238,4206.557,Building_11,building,SAC
1 - used_pv_of_total_share,0.721,0.055,0.076,Building_11,building,SAC
electricity_consumption,0.974,10460.913,10745.375,Building_17,building,SAC
cost,0.968,5728.977,5920.74,Building_17,building,SAC
1 - used_pv_of_total_share,0.738,0.093,0.127,Building_17,building,SAC
1 - average_daily_renewable_share,0.984,0.578,0.588,District,district,SAC_DB2
1 - average_daily_renewable_share_grid,0.971,0.751,0.773,District,district,SAC_DB2
1 - load_factor,0.979,0.839,0.857,District,district,SAC_DB2
1 - used_pv_of_total_share,0.769,0.112,0.144,District,district,SAC_DB2
average_daily_peak,0.902,9.723,10.782,District,district,SAC_DB2
cost,0.951,3494.434,3670.012,District,district,SAC_DB2
electricity_consumption,0.956,6393.513,6683.189,District,district,SAC_DB2
ramping,0.959,20702.762,21583.846,District,district,SAC_DB2
electricity_consumption,0.939,4250.868,4528.42,Building_3,building,SAC_DB2
cost,0.935,2417.201,2584.57,Building_3,building,SAC_DB2
1 - used_pv_of_total_share,0.77,0.133,0.173,Building_3,building,SAC_DB2
electricity_consumption,0.97,5480.148,5652.286,Building_5,building,SAC_DB2
cost,0.968,2973.408,3071.658,Building_5,building,SAC_DB2
1 - used_pv_of_total_share,0.808,0.098,0.122,Building_5,building,SAC_DB2
electricity_consumption,0.974,5397.806,5540.207,Building_7,building,SAC_DB2
cost,0.968,2844.918,2939.918,Building_7,building,SAC_DB2
1 - used_pv_of_total_share,0.799,0.173,0.216,Building_7,building,SAC_DB2
electricity_consumption,0.943,5658.087,5997.7,Building_8,building,SAC_DB2
cost,0.936,3087.134,3296.626,Building_8,building,SAC_DB2
1 - used_pv_of_total_share,0.76,0.115,0.151,Building_8,building,SAC_DB2
electricity_consumption,0.94,7180.767,7635.149,Building_11,building,SAC_DB2
cost,0.939,3951.756,4206.557,Building_11,building,SAC_DB2
1 - used_pv_of_total_share,0.717,0.055,0.076,Building_11,building,SAC_DB2
electricity_consumption,0.967,10393.402,10745.375,Building_17,building,SAC_DB2
cost,0.961,5692.187,5920.74,Building_17,building,SAC_DB2
1 - used_pv_of_total_share,0.757,0.096,0.127,Building_17,building,SAC_DB2
