kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3867.753,3653.428,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39925.815,37461.364,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2807.561,2573.812,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3269.959,3057.456,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3184.759,2926.063,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3497.941,3282.401,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4356.982,4187.857,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6089.315,5892.977,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.999,0.644,0.645,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,0.998,0.883,0.885,District,district,SAC_DB2Value
1 - load_factor,1.006,0.862,0.857,District,district,SAC_DB2Value
1 - used_pv_of_total_share,1.038,0.149,0.144,District,district,SAC_DB2Value
average_daily_peak,1.046,11.282,10.782,District,district,SAC_DB2Value
carbon_emissions,1.039,3542.344,3412.055,District,district,SAC_DB2Value
cost,1.038,3788.585,3653.428,District,district,SAC_DB2Value
electricity_consumption,1.038,6932.631,6683.189,District,district,SAC_DB2Value
fossil_energy_consumption,1.04,38962.971,37461.364,District,district,SAC_DB2Value
ramping,1.087,23459.862,21583.846,District,district,SAC_DB2Value
electricity_consumption,1.07,4846.786,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,1.073,2502.232,2332.712,Building_3,building,SAC_DB2Value
cost,1.076,2769.906,2573.812,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,1.072,0.186,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,1.047,5916.583,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,1.048,3019.261,2881.739,Building_5,building,SAC_DB2Value
cost,1.046,3198.264,3057.456,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,1.029,0.125,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,1.001,5547.106,5540.207,Building_7,building,SAC_DB2Value
carbon_emissions,1.001,2813.855,2810.394,Building_7,building,SAC_DB2Value
cost,1.001,2929.5,2926.063,Building_7,building,SAC_DB2Value
1 - used_pv_of_total_share,1.0,0.216,0.216,Building_7,building,SAC_DB2Value
electricity_consumption,1.042,6249.404,5997.7,Building_8,building,SAC_DB2Value
carbon_emissions,1.043,3196.145,3064.868,Building_8,building,SAC_DB2Value
cost,1.042,3421.801,3282.401,Building_8,building,SAC_DB2Value
1 - used_pv_of_total_share,1.01,0.152,0.151,Building_8,building,SAC_DB2Value
electricity_consumption,1.021,7795.165,7635.149,Building_11,building,SAC_DB2Value
carbon_emissions,1.021,3984.632,3901.761,Building_11,building,SAC_DB2Value
cost,1.02,4270.733,4187.857,Building_11,building,SAC_DB2Value
1 - used_pv_of_total_share,1.03,0.078,0.076,Building_11,building,SAC_DB2Value
electricity_consumption,1.046,11240.744,10745.375,Building_17,building,SAC_DB2Value
carbon_emissions,1.047,5737.938,5480.857,Building_17,building,SAC_DB2Value
cost,1.042,6141.304,5892.977,Building_17,building,SAC_DB2Value
1 - used_pv_of_total_share,1.089,0.138,0.127,Building_17,building,SAC_DB2Value
1 - average_daily_renewable_share,0.992,0.639,0.645,District,district,SAC_DB2Value Best
1 - average_daily_renewable_share_grid,0.979,0.866,0.885,District,district,SAC_DB2Value Best
1 - load_factor,0.975,0.835,0.857,District,district,SAC_DB2Value Best
1 - used_pv_of_total_share,0.766,0.111,0.144,District,district,SAC_DB2Value Best
average_daily_peak,0.906,9.766,10.782,District,district,SAC_DB2Value Best
carbon_emissions,0.941,3225.41,3412.055,District,district,SAC_DB2Value Best
cost,0.938,3441.787,3653.428,District,district,SAC_DB2Value Best
electricity_consumption,0.942,6318.087,6683.189,District,district,SAC_DB2Value Best
fossil_energy_consumption,0.939,35178.718,37461.364,District,district,SAC_DB2Value Best
ramping,0.97,20940.931,21583.846,District,district,SAC_DB2Value Best
electricity_consumption,0.927,4196.388,4528.42,Building_3,building,SAC_DB2Value Best
carbon_emissions,0.925,2158.561,2332.712,Building_3,building,SAC_DB2Value Best
cost,0.919,2364.141,2573.812,Building_3,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.82,0.142,0.173,Building_3,building,SAC_DB2Value Best
electricity_consumption,0.951,5374.743,5652.286,Building_5,building,SAC_DB2Value Best
carbon_emissions,0.951,2741.362,2881.739,Building_5,building,SAC_DB2Value Best
cost,0.951,2906.779,3057.456,Building_5,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.798,0.097,0.122,Building_5,building,SAC_DB2Value Best
electricity_consumption,0.947,5245.804,5540.207,Building_7,building,SAC_DB2Value Best
carbon_emissions,0.946,2658.901,2810.394,Building_7,building,SAC_DB2Value Best
cost,0.939,2747.595,2926.063,Building_7,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.759,0.164,0.216,Building_7,building,SAC_DB2Value Best
electricity_consumption,0.912,5472.061,5997.7,Building_8,building,SAC_DB2Value Best
carbon_emissions,0.913,2797.156,3064.868,Building_8,building,SAC_DB2Value Best
cost,0.912,2992.24,3282.401,Building_8,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.757,0.114,0.151,Building_8,building,SAC_DB2Value Best
electricity_consumption,0.941,7188.318,7635.149,Building_11,building,SAC_DB2Value Best
carbon_emissions,0.942,3677.367,3901.761,Building_11,building,SAC_DB2Value Best
cost,0.943,3950.771,4187.857,Building_11,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.755,0.057,0.076,Building_11,building,SAC_DB2Value Best
electricity_consumption,0.971,10431.209,10745.375,Building_17,building,SAC_DB2Value Best
carbon_emissions,0.97,5319.114,5480.857,Building_17,building,SAC_DB2Value Best
cost,0.965,5689.197,5892.977,Building_17,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.704,0.089,0.127,Building_17,building,SAC_DB2Value Best
