kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.997,0.643,0.645,District,district,SAC_DB2
1 - average_daily_renewable_share_grid,0.982,0.869,0.885,District,district,SAC_DB2
1 - load_factor,0.978,0.838,0.857,District,district,SAC_DB2
1 - used_pv_of_total_share,0.767,0.112,0.144,District,district,SAC_DB2
average_daily_peak,0.902,9.724,10.782,District,district,SAC_DB2
carbon_emissions,0.95,3247.61,3412.055,District,district,SAC_DB2
cost,0.946,3478.143,3670.012,District,district,SAC_DB2
electricity_consumption,0.95,6363.187,6683.189,District,district,SAC_DB2
fossil_energy_consumption,0.946,35425.948,37460.062,District,district,SAC_DB2
ramping,0.978,21110.758,21583.846,District,district,SAC_DB2
electricity_consumption,0.945,4279.059,4528.42,Building_3,building,SAC_DB2
carbon_emissions,0.945,2204.671,2332.712,Building_3,building,SAC_DB2
cost,0.942,2434.392,2584.57,Building_3,building,SAC_DB2
1 - used_pv_of_total_share,0.761,0.132,0.173,Building_3,building,SAC_DB2
electricity_consumption,0.948,5358.474,5652.286,Building_5,building,SAC_DB2
carbon_emissions,0.948,2732.547,2881.739,Building_5,building,SAC_DB2
cost,0.947,2908.691,3071.658,Building_5,building,SAC_DB2
1 - used_pv_of_total_share,0.773,0.094,0.122,Building_5,building,SAC_DB2
electricity_consumption,0.956,5296.403,5540.207,Building_7,building,SAC_DB2
carbon_emissions,0.956,2685.847,2810.394,Building_7,building,SAC_DB2
cost,0.952,2798.67,2939.918,Building_7,building,SAC_DB2
1 - used_pv_of_total_share,0.864,0.187,0.216,Building_7,building,SAC_DB2
electricity_consumption,0.933,5594.095,5997.7,Building_8,building,SAC_DB2
carbon_emissions,0.932,2857.687,3064.868,Building_8,building,SAC_DB2
cost,0.929,3063.06,3296.626,Building_8,building,SAC_DB2
1 - used_pv_of_total_share,0.763,0.115,0.151,Building_8,building,SAC_DB2
electricity_consumption,0.948,7236.845,7635.149,Building_11,building,SAC_DB2
carbon_emissions,0.948,3697.309,3901.761,Building_11,building,SAC_DB2
cost,0.944,3972.126,4206.557,Building_11,building,SAC_DB2
1 - used_pv_of_total_share,0.726,0.055,0.076,Building_11,building,SAC_DB2
electricity_consumption,0.969,10414.248,10745.375,Building_17,building,SAC_DB2
carbon_emissions,0.968,5307.599,5480.857,Building_17,building,SAC_DB2
cost,0.961,5691.921,5920.74,Building_17,building,SAC_DB2
1 - used_pv_of_total_share,0.716,0.091,0.127,Building_17,building,SAC_DB2
1 - average_daily_renewable_share,0.981,0.632,0.645,District,district,SAC_DB2 Best
1 - average_daily_renewable_share_grid,0.971,0.859,0.885,District,district,SAC_DB2 Best
1 - load_factor,0.977,0.838,0.857,District,district,SAC_DB2 Best
1 - used_pv_of_total_share,0.755,0.11,0.144,District,district,SAC_DB2 Best
average_daily_peak,0.892,9.617,10.782,District,district,SAC_DB2 Best
carbon_emissions,0.93,3185.694,3412.055,District,district,SAC_DB2 Best
cost,0.928,3421.494,3670.012,District,district,SAC_DB2 Best
electricity_consumption,0.929,6237.592,6683.189,District,district,SAC_DB2 Best
fossil_energy_consumption,0.927,34712.536,37460.062,District,district,SAC_DB2 Best
ramping,0.966,20849.908,21583.846,District,district,SAC_DB2 Best
electricity_consumption,0.907,4105.141,4528.42,Building_3,building,SAC_DB2 Best
carbon_emissions,0.908,2117.643,2332.712,Building_3,building,SAC_DB2 Best
cost,0.909,2350.021,2584.57,Building_3,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.778,0.135,0.173,Building_3,building,SAC_DB2 Best
electricity_consumption,0.944,5336.025,5652.286,Building_5,building,SAC_DB2 Best
carbon_emissions,0.944,2721.246,2881.739,Building_5,building,SAC_DB2 Best
cost,0.942,2894.372,3071.658,Building_5,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.73,0.089,0.122,Building_5,building,SAC_DB2 Best
electricity_consumption,0.917,5078.391,5540.207,Building_7,building,SAC_DB2 Best
carbon_emissions,0.916,2573.929,2810.394,Building_7,building,SAC_DB2 Best
cost,0.911,2677.791,2939.918,Building_7,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.769,0.166,0.216,Building_7,building,SAC_DB2 Best
electricity_consumption,0.919,5511.955,5997.7,Building_8,building,SAC_DB2 Best
carbon_emissions,0.919,2816.704,3064.868,Building_8,building,SAC_DB2 Best
cost,0.916,3020.718,3296.626,Building_8,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.775,0.117,0.151,Building_8,building,SAC_DB2 Best
electricity_consumption,0.933,7125.69,7635.149,Building_11,building,SAC_DB2 Best
carbon_emissions,0.934,3643.867,3901.761,Building_11,building,SAC_DB2 Best
cost,0.933,3926.243,4206.557,Building_11,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.707,0.054,0.076,Building_11,building,SAC_DB2 Best
electricity_consumption,0.956,10268.35,10745.375,Building_17,building,SAC_DB2 Best
carbon_emissions,0.956,5240.774,5480.857,Building_17,building,SAC_DB2 Best
cost,0.956,5659.818,5920.74,Building_17,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.77,0.098,0.127,Building_17,building,SAC_DB2 Best
