kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.018,0.656,0.645,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,0.997,0.883,0.885,District,district,SAC_DB2Value
1 - load_factor,0.991,0.849,0.857,District,district,SAC_DB2Value
1 - used_pv_of_total_share,0.997,0.143,0.144,District,district,SAC_DB2Value
average_daily_peak,1.046,11.282,10.782,District,district,SAC_DB2Value
carbon_emissions,1.06,3600.948,3412.055,District,district,SAC_DB2Value
cost,1.056,3860.085,3670.012,District,district,SAC_DB2Value
electricity_consumption,1.061,7056.938,6683.189,District,district,SAC_DB2Value
fossil_energy_consumption,1.058,39636.948,37460.062,District,district,SAC_DB2Value
ramping,1.075,23201.036,21583.846,District,district,SAC_DB2Value
electricity_consumption,1.073,4860.5,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,1.071,2499.206,2332.712,Building_3,building,SAC_DB2Value
cost,1.061,2741.791,2584.57,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,1.029,0.178,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,1.058,5978.724,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,1.058,3049.041,2881.739,Building_5,building,SAC_DB2Value
cost,1.058,3250.4,3071.658,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,1.002,0.122,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,1.105,6123.401,5540.207,Building_7,building,SAC_DB2Value
carbon_emissions,1.104,3103.085,2810.394,Building_7,building,SAC_DB2Value
cost,1.1,3232.944,2939.918,Building_7,building,SAC_DB2Value
1 - used_pv_of_total_share,0.895,0.194,0.216,Building_7,building,SAC_DB2Value
electricity_consumption,1.06,6356.372,5997.7,Building_8,building,SAC_DB2Value
carbon_emissions,1.058,3243.351,3064.868,Building_8,building,SAC_DB2Value
cost,1.05,3460.53,3296.626,Building_8,building,SAC_DB2Value
1 - used_pv_of_total_share,1.083,0.163,0.151,Building_8,building,SAC_DB2Value
electricity_consumption,1.032,7877.853,7635.149,Building_11,building,SAC_DB2Value
carbon_emissions,1.033,4029.253,3901.761,Building_11,building,SAC_DB2Value
cost,1.035,4354.747,4206.557,Building_11,building,SAC_DB2Value
1 - used_pv_of_total_share,0.985,0.075,0.076,Building_11,building,SAC_DB2Value
electricity_consumption,1.037,11144.776,10745.375,Building_17,building,SAC_DB2Value
carbon_emissions,1.037,5681.752,5480.857,Building_17,building,SAC_DB2Value
cost,1.034,6120.099,5920.74,Building_17,building,SAC_DB2Value
1 - used_pv_of_total_share,0.99,0.125,0.127,Building_17,building,SAC_DB2Value
1 - average_daily_renewable_share,0.986,0.636,0.645,District,district,SAC_DB2Value Best
1 - average_daily_renewable_share_grid,0.979,0.866,0.885,District,district,SAC_DB2Value Best
1 - load_factor,0.983,0.842,0.857,District,district,SAC_DB2Value Best
1 - used_pv_of_total_share,0.807,0.116,0.144,District,district,SAC_DB2Value Best
average_daily_peak,0.912,9.836,10.782,District,district,SAC_DB2Value Best
carbon_emissions,0.937,3214.145,3412.055,District,district,SAC_DB2Value Best
cost,0.936,3452.408,3670.012,District,district,SAC_DB2Value Best
electricity_consumption,0.936,6293.114,6683.189,District,district,SAC_DB2Value Best
fossil_energy_consumption,0.936,35071.767,37460.062,District,district,SAC_DB2Value Best
ramping,0.943,20345.036,21583.846,District,district,SAC_DB2Value Best
electricity_consumption,0.897,4063.341,4528.42,Building_3,building,SAC_DB2Value Best
carbon_emissions,0.898,2095.704,2332.712,Building_3,building,SAC_DB2Value Best
cost,0.9,2325.88,2584.57,Building_3,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.795,0.138,0.173,Building_3,building,SAC_DB2Value Best
electricity_consumption,0.94,5310.685,5652.286,Building_5,building,SAC_DB2Value Best
carbon_emissions,0.94,2708.511,2881.739,Building_5,building,SAC_DB2Value Best
cost,0.939,2885.608,3071.658,Building_5,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.836,0.102,0.122,Building_5,building,SAC_DB2Value Best
electricity_consumption,0.949,5258.958,5540.207,Building_7,building,SAC_DB2Value Best
carbon_emissions,0.949,2668.162,2810.394,Building_7,building,SAC_DB2Value Best
cost,0.947,2783.586,2939.918,Building_7,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.798,0.173,0.216,Building_7,building,SAC_DB2Value Best
electricity_consumption,0.923,5538.313,5997.7,Building_8,building,SAC_DB2Value Best
carbon_emissions,0.924,2833.196,3064.868,Building_8,building,SAC_DB2Value Best
cost,0.925,3050.082,3296.626,Building_8,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.824,0.124,0.151,Building_8,building,SAC_DB2Value Best
electricity_consumption,0.94,7176.557,7635.149,Building_11,building,SAC_DB2Value Best
carbon_emissions,0.94,3669.146,3901.761,Building_11,building,SAC_DB2Value Best
cost,0.939,3951.597,4206.557,Building_11,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.81,0.062,0.076,Building_11,building,SAC_DB2Value Best
electricity_consumption,0.969,10410.828,10745.375,Building_17,building,SAC_DB2Value Best
carbon_emissions,0.969,5310.149,5480.857,Building_17,building,SAC_DB2Value Best
cost,0.966,5717.695,5920.74,Building_17,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.781,0.099,0.127,Building_17,building,SAC_DB2Value Best
