kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3867.753,3653.428,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39925.815,37461.364,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2807.561,2573.812,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3269.959,3057.456,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3184.759,2926.063,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3497.941,3282.401,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4356.982,4187.857,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6089.315,5892.977,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.035,0.668,0.645,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,1.008,0.892,0.885,District,district,SAC_DB2Value
1 - load_factor,0.981,0.841,0.857,District,district,SAC_DB2Value
1 - used_pv_of_total_share,0.917,0.132,0.144,District,district,SAC_DB2Value
average_daily_peak,1.01,10.894,10.782,District,district,SAC_DB2Value
carbon_emissions,1.049,3575.088,3412.055,District,district,SAC_DB2Value
cost,1.039,3787.598,3653.428,District,district,SAC_DB2Value
electricity_consumption,1.05,7011.687,6683.189,District,district,SAC_DB2Value
fossil_energy_consumption,1.05,39344.039,37461.364,District,district,SAC_DB2Value
ramping,1.119,24154.843,21583.846,District,district,SAC_DB2Value
electricity_consumption,1.076,4871.577,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,1.074,2504.211,2332.712,Building_3,building,SAC_DB2Value
cost,1.06,2729.499,2573.812,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,0.931,0.161,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,1.036,5856.469,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,1.037,2987.749,2881.739,Building_5,building,SAC_DB2Value
cost,1.038,3173.007,3057.456,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,0.829,0.101,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,1.017,5634.762,5540.207,Building_7,building,SAC_DB2Value
carbon_emissions,1.017,2858.299,2810.394,Building_7,building,SAC_DB2Value
cost,1.017,2975.222,2926.063,Building_7,building,SAC_DB2Value
1 - used_pv_of_total_share,0.969,0.21,0.216,Building_7,building,SAC_DB2Value
electricity_consumption,1.053,6315.66,5997.7,Building_8,building,SAC_DB2Value
carbon_emissions,1.051,3220.336,3064.868,Building_8,building,SAC_DB2Value
cost,1.037,3402.921,3282.401,Building_8,building,SAC_DB2Value
1 - used_pv_of_total_share,0.906,0.137,0.151,Building_8,building,SAC_DB2Value
electricity_consumption,1.092,8339.393,7635.149,Building_11,building,SAC_DB2Value
carbon_emissions,1.089,4248.469,3901.761,Building_11,building,SAC_DB2Value
cost,1.066,4463.736,4187.857,Building_11,building,SAC_DB2Value
1 - used_pv_of_total_share,1.049,0.08,0.076,Building_11,building,SAC_DB2Value
electricity_consumption,1.029,11052.258,10745.375,Building_17,building,SAC_DB2Value
carbon_emissions,1.027,5631.466,5480.857,Building_17,building,SAC_DB2Value
cost,1.015,5981.204,5892.977,Building_17,building,SAC_DB2Value
1 - used_pv_of_total_share,0.816,0.103,0.127,Building_17,building,SAC_DB2Value
1 - average_daily_renewable_share,0.988,0.637,0.645,District,district,SAC_DB2Value Best
1 - average_daily_renewable_share_grid,0.976,0.863,0.885,District,district,SAC_DB2Value Best
1 - load_factor,0.972,0.832,0.857,District,district,SAC_DB2Value Best
1 - used_pv_of_total_share,0.777,0.111,0.144,District,district,SAC_DB2Value Best
average_daily_peak,0.887,9.562,10.782,District,district,SAC_DB2Value Best
carbon_emissions,0.941,3221.39,3412.055,District,district,SAC_DB2Value Best
cost,0.94,3444.713,3653.428,District,district,SAC_DB2Value Best
electricity_consumption,0.941,6307.605,6683.189,District,district,SAC_DB2Value Best
fossil_energy_consumption,0.937,35115.477,37461.364,District,district,SAC_DB2Value Best
ramping,0.957,20653.858,21583.846,District,district,SAC_DB2Value Best
electricity_consumption,0.915,4144.889,4528.42,Building_3,building,SAC_DB2Value Best
carbon_emissions,0.916,2136.242,2332.712,Building_3,building,SAC_DB2Value Best
cost,0.915,2355.336,2573.812,Building_3,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.77,0.133,0.173,Building_3,building,SAC_DB2Value Best
electricity_consumption,0.951,5377.691,5652.286,Building_5,building,SAC_DB2Value Best
carbon_emissions,0.952,2742.031,2881.739,Building_5,building,SAC_DB2Value Best
cost,0.949,2902.567,3057.456,Building_5,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.738,0.09,0.122,Building_5,building,SAC_DB2Value Best
electricity_consumption,0.947,5244.081,5540.207,Building_7,building,SAC_DB2Value Best
carbon_emissions,0.946,2659.867,2810.394,Building_7,building,SAC_DB2Value Best
cost,0.942,2757.194,2926.063,Building_7,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.737,0.159,0.216,Building_7,building,SAC_DB2Value Best
electricity_consumption,0.924,5540.715,5997.7,Building_8,building,SAC_DB2Value Best
carbon_emissions,0.924,2832.921,3064.868,Building_8,building,SAC_DB2Value Best
cost,0.924,3032.599,3282.401,Building_8,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.798,0.12,0.151,Building_8,building,SAC_DB2Value Best
electricity_consumption,0.948,7241.439,7635.149,Building_11,building,SAC_DB2Value Best
carbon_emissions,0.949,3702.897,3901.761,Building_11,building,SAC_DB2Value Best
cost,0.949,3973.71,4187.857,Building_11,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.812,0.062,0.076,Building_11,building,SAC_DB2Value Best
electricity_consumption,0.958,10296.812,10745.375,Building_17,building,SAC_DB2Value Best
carbon_emissions,0.959,5254.38,5480.857,Building_17,building,SAC_DB2Value Best
cost,0.958,5646.868,5892.977,Building_17,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.807,0.102,0.127,Building_17,building,SAC_DB2Value Best
