kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.016,0.655,0.645,District,district,SAC_DB2
1 - average_daily_renewable_share_grid,1.003,0.888,0.885,District,district,SAC_DB2
1 - load_factor,0.995,0.853,0.857,District,district,SAC_DB2
1 - used_pv_of_total_share,0.941,0.135,0.144,District,district,SAC_DB2
average_daily_peak,1.012,10.914,10.782,District,district,SAC_DB2
carbon_emissions,1.037,3519.829,3412.055,District,district,SAC_DB2
cost,1.034,3770.872,3670.012,District,district,SAC_DB2
electricity_consumption,1.037,6900.209,6683.189,District,district,SAC_DB2
ramping,1.047,22588.521,21583.846,District,district,SAC_DB2
electricity_consumption,1.008,4565.011,4528.42,Building_3,building,SAC_DB2
carbon_emissions,1.008,2351.867,2332.712,Building_3,building,SAC_DB2
cost,1.006,2600.958,2584.57,Building_3,building,SAC_DB2
1 - used_pv_of_total_share,0.877,0.152,0.173,Building_3,building,SAC_DB2
electricity_consumption,1.017,5747.106,5652.286,Building_5,building,SAC_DB2
carbon_emissions,1.015,2924.083,2881.739,Building_5,building,SAC_DB2
cost,1.006,3091.264,3071.658,Building_5,building,SAC_DB2
1 - used_pv_of_total_share,0.873,0.106,0.122,Building_5,building,SAC_DB2
electricity_consumption,1.19,6594.703,5540.207,Building_7,building,SAC_DB2
carbon_emissions,1.191,3346.675,2810.394,Building_7,building,SAC_DB2
cost,1.192,3505.308,2939.918,Building_7,building,SAC_DB2
1 - used_pv_of_total_share,0.966,0.209,0.216,Building_7,building,SAC_DB2
electricity_consumption,0.995,5964.996,5997.7,Building_8,building,SAC_DB2
carbon_emissions,0.994,3047.722,3064.868,Building_8,building,SAC_DB2
cost,0.994,3276.472,3296.626,Building_8,building,SAC_DB2
1 - used_pv_of_total_share,0.982,0.148,0.151,Building_8,building,SAC_DB2
electricity_consumption,1.003,7655.426,7635.149,Building_11,building,SAC_DB2
carbon_emissions,1.002,3909.458,3901.761,Building_11,building,SAC_DB2
cost,0.999,4201.443,4206.557,Building_11,building,SAC_DB2
1 - used_pv_of_total_share,0.997,0.076,0.076,Building_11,building,SAC_DB2
electricity_consumption,1.012,10874.014,10745.375,Building_17,building,SAC_DB2
carbon_emissions,1.011,5539.168,5480.857,Building_17,building,SAC_DB2
cost,1.005,5949.784,5920.74,Building_17,building,SAC_DB2
1 - used_pv_of_total_share,0.954,0.121,0.127,Building_17,building,SAC_DB2
1 - average_daily_renewable_share,1.004,0.647,0.645,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,1.0,0.885,0.885,District,district,SAC_DB2Value
1 - load_factor,1.011,0.867,0.857,District,district,SAC_DB2Value
1 - used_pv_of_total_share,0.999,0.144,0.144,District,district,SAC_DB2Value
average_daily_peak,1.026,11.061,10.782,District,district,SAC_DB2Value
carbon_emissions,1.006,3437.86,3412.055,District,district,SAC_DB2Value
cost,1.007,3700.962,3670.012,District,district,SAC_DB2Value
electricity_consumption,1.006,6733.878,6683.189,District,district,SAC_DB2Value
ramping,1.024,22107.001,21583.846,District,district,SAC_DB2Value
electricity_consumption,1.001,4534.084,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,1.001,2335.851,2332.712,Building_3,building,SAC_DB2Value
cost,1.002,2588.79,2584.57,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,1.0,0.173,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,1.008,5695.111,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,1.007,2902.099,2881.739,Building_5,building,SAC_DB2Value
cost,1.005,3087.033,3071.658,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,1.0,0.122,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,1.01,5597.477,5540.207,Building_7,building,SAC_DB2Value
carbon_emissions,1.011,2841.58,2810.394,Building_7,building,SAC_DB2Value
cost,1.015,2985.315,2939.918,Building_7,building,SAC_DB2Value
1 - used_pv_of_total_share,1.0,0.216,0.216,Building_7,building,SAC_DB2Value
electricity_consumption,0.998,5984.576,5997.7,Building_8,building,SAC_DB2Value
carbon_emissions,0.998,3058.55,3064.868,Building_8,building,SAC_DB2Value
cost,0.998,3290.524,3296.626,Building_8,building,SAC_DB2Value
1 - used_pv_of_total_share,0.987,0.149,0.151,Building_8,building,SAC_DB2Value
electricity_consumption,1.0,7635.149,7635.149,Building_11,building,SAC_DB2Value
carbon_emissions,1.0,3901.761,3901.761,Building_11,building,SAC_DB2Value
cost,1.0,4206.557,4206.557,Building_11,building,SAC_DB2Value
1 - used_pv_of_total_share,1.0,0.076,0.076,Building_11,building,SAC_DB2Value
electricity_consumption,1.02,10956.868,10745.375,Building_17,building,SAC_DB2Value
carbon_emissions,1.019,5587.32,5480.857,Building_17,building,SAC_DB2Value
cost,1.021,6047.551,5920.74,Building_17,building,SAC_DB2Value
1 - used_pv_of_total_share,1.007,0.127,0.127,Building_17,building,SAC_DB2Value
