kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.006,0.648,0.645,District,district,MARLISA
1 - average_daily_renewable_share_grid,0.995,0.881,0.885,District,district,MARLISA
1 - load_factor,0.988,0.846,0.857,District,district,MARLISA
1 - used_pv_of_total_share,0.915,0.132,0.144,District,district,MARLISA
average_daily_peak,0.938,10.116,10.782,District,district,MARLISA
carbon_emissions,0.985,3364.224,3412.055,District,district,MARLISA
cost,0.983,3609.084,3670.012,District,district,MARLISA
electricity_consumption,0.986,6592.973,6683.189,District,district,MARLISA
fossil_energy_consumption,0.984,36851.669,37460.062,District,district,MARLISA
ramping,0.965,20826.626,21583.846,District,district,MARLISA
electricity_consumption,0.97,4392.084,4528.42,Building_3,building,MARLISA
carbon_emissions,0.969,2259.538,2332.712,Building_3,building,MARLISA
cost,0.964,2490.569,2584.57,Building_3,building,MARLISA
1 - used_pv_of_total_share,0.932,0.161,0.173,Building_3,building,MARLISA
electricity_consumption,0.98,5540.211,5652.286,Building_5,building,MARLISA
carbon_emissions,0.98,2822.869,2881.739,Building_5,building,MARLISA
cost,0.976,2997.444,3071.658,Building_5,building,MARLISA
1 - used_pv_of_total_share,0.828,0.101,0.122,Building_5,building,MARLISA
electricity_consumption,0.991,5489.409,5540.207,Building_7,building,MARLISA
carbon_emissions,0.99,2781.346,2810.394,Building_7,building,MARLISA
cost,0.987,2900.603,2939.918,Building_7,building,MARLISA
1 - used_pv_of_total_share,0.911,0.197,0.216,Building_7,building,MARLISA
electricity_consumption,1.004,6023.198,5997.7,Building_8,building,MARLISA
carbon_emissions,1.004,3076.896,3064.868,Building_8,building,MARLISA
cost,1.001,3301.355,3296.626,Building_8,building,MARLISA
1 - used_pv_of_total_share,0.963,0.145,0.151,Building_8,building,MARLISA
electricity_consumption,0.984,7513.771,7635.149,Building_11,building,MARLISA
carbon_emissions,0.984,3839.668,3901.761,Building_11,building,MARLISA
cost,0.983,4136.623,4206.557,Building_11,building,MARLISA
1 - used_pv_of_total_share,0.935,0.071,0.076,Building_11,building,MARLISA
electricity_consumption,0.986,10599.163,10745.375,Building_17,building,MARLISA
carbon_emissions,0.986,5405.029,5480.857,Building_17,building,MARLISA
cost,0.984,5827.91,5920.74,Building_17,building,MARLISA
1 - used_pv_of_total_share,0.922,0.117,0.127,Building_17,building,MARLISA
1 - average_daily_renewable_share,1.0,0.645,0.645,District,district,MARLISA Best
1 - average_daily_renewable_share_grid,1.0,0.885,0.885,District,district,MARLISA Best
1 - load_factor,1.0,0.857,0.857,District,district,MARLISA Best
1 - used_pv_of_total_share,0.999,0.144,0.144,District,district,MARLISA Best
average_daily_peak,0.999,10.772,10.782,District,district,MARLISA Best
carbon_emissions,0.999,3410.431,3412.055,District,district,MARLISA Best
cost,0.999,3668.391,3670.012,District,district,MARLISA Best
electricity_consumption,0.999,6679.88,6683.189,District,district,MARLISA Best
fossil_energy_consumption,0.999,37438.978,37460.062,District,district,MARLISA Best
ramping,0.998,21535.425,21583.846,District,district,MARLISA Best
electricity_consumption,0.998,4518.74,4528.42,Building_3,building,MARLISA Best
carbon_emissions,0.998,2328.043,2332.712,Building_3,building,MARLISA Best
cost,0.998,2580.313,2584.57,Building_3,building,MARLISA Best
1 - used_pv_of_total_share,0.996,0.173,0.173,Building_3,building,MARLISA Best
electricity_consumption,1.0,5651.76,5652.286,Building_5,building,MARLISA Best
carbon_emissions,1.0,2881.485,2881.739,Building_5,building,MARLISA Best
cost,1.0,3071.418,3071.658,Building_5,building,MARLISA Best
1 - used_pv_of_total_share,1.001,0.122,0.122,Building_5,building,MARLISA Best
electricity_consumption,0.999,5536.621,5540.207,Building_7,building,MARLISA Best
carbon_emissions,0.999,2808.697,2810.394,Building_7,building,MARLISA Best
cost,1.0,2938.466,2939.918,Building_7,building,MARLISA Best
1 - used_pv_of_total_share,0.997,0.216,0.216,Building_7,building,MARLISA Best
electricity_consumption,1.0,5996.956,5997.7,Building_8,building,MARLISA Best
carbon_emissions,1.0,3064.49,3064.868,Building_8,building,MARLISA Best
cost,1.0,3296.174,3296.626,Building_8,building,MARLISA Best
1 - used_pv_of_total_share,1.0,0.151,0.151,Building_8,building,MARLISA Best
electricity_consumption,0.999,7629.605,7635.149,Building_11,building,MARLISA Best
carbon_emissions,0.999,3898.913,3901.761,Building_11,building,MARLISA Best
cost,0.999,4203.161,4206.557,Building_11,building,MARLISA Best
1 - used_pv_of_total_share,1.001,0.076,0.076,Building_11,building,MARLISA Best
electricity_consumption,1.0,10745.598,10745.375,Building_17,building,MARLISA Best
carbon_emissions,1.0,5480.961,5480.857,Building_17,building,MARLISA Best
cost,1.0,5920.815,5920.74,Building_17,building,MARLISA Best
1 - used_pv_of_total_share,1.0,0.127,0.127,Building_17,building,MARLISA Best
