kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.995,0.641,0.645,District,district,SAC_DB2
1 - average_daily_renewable_share_grid,0.981,0.868,0.885,District,district,SAC_DB2
1 - load_factor,0.978,0.838,0.857,District,district,SAC_DB2
1 - used_pv_of_total_share,0.778,0.114,0.144,District,district,SAC_DB2
average_daily_peak,0.901,9.715,10.782,District,district,SAC_DB2
carbon_emissions,0.951,3254.957,3412.055,District,district,SAC_DB2
cost,0.949,3490.453,3670.012,District,district,SAC_DB2
electricity_consumption,0.951,6375.83,6683.189,District,district,SAC_DB2
fossil_energy_consumption,0.948,35505.175,37460.062,District,district,SAC_DB2
ramping,0.97,20938.572,21583.846,District,district,SAC_DB2
electricity_consumption,0.928,4200.451,4528.42,Building_3,building,SAC_DB2
carbon_emissions,0.928,2164.918,2332.712,Building_3,building,SAC_DB2
cost,0.926,2394.165,2584.57,Building_3,building,SAC_DB2
1 - used_pv_of_total_share,0.776,0.134,0.173,Building_3,building,SAC_DB2
electricity_consumption,0.958,5413.565,5652.286,Building_5,building,SAC_DB2
carbon_emissions,0.957,2759.172,2881.739,Building_5,building,SAC_DB2
cost,0.955,2932.177,3071.658,Building_5,building,SAC_DB2
1 - used_pv_of_total_share,0.761,0.093,0.122,Building_5,building,SAC_DB2
electricity_consumption,0.952,5274.205,5540.207,Building_7,building,SAC_DB2
carbon_emissions,0.951,2673.384,2810.394,Building_7,building,SAC_DB2
cost,0.946,2781.172,2939.918,Building_7,building,SAC_DB2
1 - used_pv_of_total_share,0.851,0.184,0.216,Building_7,building,SAC_DB2
electricity_consumption,0.956,5734.997,5997.7,Building_8,building,SAC_DB2
carbon_emissions,0.957,2931.696,3064.868,Building_8,building,SAC_DB2
cost,0.954,3146.548,3296.626,Building_8,building,SAC_DB2
1 - used_pv_of_total_share,0.821,0.124,0.151,Building_8,building,SAC_DB2
electricity_consumption,0.947,7232.177,7635.149,Building_11,building,SAC_DB2
carbon_emissions,0.947,3696.672,3901.761,Building_11,building,SAC_DB2
cost,0.945,3974.522,4206.557,Building_11,building,SAC_DB2
1 - used_pv_of_total_share,0.697,0.053,0.076,Building_11,building,SAC_DB2
electricity_consumption,0.968,10399.588,10745.375,Building_17,building,SAC_DB2
carbon_emissions,0.968,5303.897,5480.857,Building_17,building,SAC_DB2
cost,0.965,5714.137,5920.74,Building_17,building,SAC_DB2
1 - used_pv_of_total_share,0.763,0.097,0.127,Building_17,building,SAC_DB2
1 - average_daily_renewable_share,0.981,0.633,0.645,District,district,SAC_DB2 Best
1 - average_daily_renewable_share_grid,0.971,0.86,0.885,District,district,SAC_DB2 Best
1 - load_factor,0.979,0.839,0.857,District,district,SAC_DB2 Best
1 - used_pv_of_total_share,0.759,0.11,0.144,District,district,SAC_DB2 Best
average_daily_peak,0.896,9.666,10.782,District,district,SAC_DB2 Best
carbon_emissions,0.933,3195.97,3412.055,District,district,SAC_DB2 Best
cost,0.931,3430.985,3670.012,District,district,SAC_DB2 Best
electricity_consumption,0.933,6257.716,6683.189,District,district,SAC_DB2 Best
fossil_energy_consumption,0.93,34826.109,37460.062,District,district,SAC_DB2 Best
ramping,0.969,20919.471,21583.846,District,district,SAC_DB2 Best
electricity_consumption,0.911,4127.346,4528.42,Building_3,building,SAC_DB2 Best
carbon_emissions,0.912,2127.807,2332.712,Building_3,building,SAC_DB2 Best
cost,0.911,2354.984,2584.57,Building_3,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.772,0.134,0.173,Building_3,building,SAC_DB2 Best
electricity_consumption,0.928,5246.748,5652.286,Building_5,building,SAC_DB2 Best
carbon_emissions,0.929,2676.557,2881.739,Building_5,building,SAC_DB2 Best
cost,0.929,2852.773,3071.658,Building_5,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.746,0.091,0.122,Building_5,building,SAC_DB2 Best
electricity_consumption,0.937,5189.849,5540.207,Building_7,building,SAC_DB2 Best
carbon_emissions,0.936,2630.889,2810.394,Building_7,building,SAC_DB2 Best
cost,0.931,2736.786,2939.918,Building_7,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.789,0.171,0.216,Building_7,building,SAC_DB2 Best
electricity_consumption,0.929,5573.521,5997.7,Building_8,building,SAC_DB2 Best
carbon_emissions,0.93,2848.823,3064.868,Building_8,building,SAC_DB2 Best
cost,0.926,3052.899,3296.626,Building_8,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.772,0.116,0.151,Building_8,building,SAC_DB2 Best
electricity_consumption,0.937,7156.906,7635.149,Building_11,building,SAC_DB2 Best
carbon_emissions,0.938,3660.405,3901.761,Building_11,building,SAC_DB2 Best
cost,0.938,3944.714,4206.557,Building_11,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.743,0.057,0.076,Building_11,building,SAC_DB2 Best
electricity_consumption,0.954,10251.927,10745.375,Building_17,building,SAC_DB2 Best
carbon_emissions,0.954,5231.338,5480.857,Building_17,building,SAC_DB2 Best
cost,0.953,5643.753,5920.74,Building_17,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.732,0.093,0.127,Building_17,building,SAC_DB2 Best
