kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.019,0.599,0.588,District,district,RBC
1 - average_daily_renewable_share_grid,1.015,0.809,0.797,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.072,37373.874,34878.518,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.999,0.587,0.588,District,district,SAC
1 - average_daily_renewable_share_grid,0.981,0.782,0.797,District,district,SAC
1 - load_factor,0.985,0.844,0.857,District,district,SAC
1 - used_pv_of_total_share,0.843,0.124,0.144,District,district,SAC
average_daily_peak,0.936,10.092,10.782,District,district,SAC
carbon_emissions,0.981,3349.84,3412.055,District,district,SAC
cost,0.978,3592.044,3670.012,District,district,SAC
electricity_consumption,0.981,6564.281,6683.189,District,district,SAC
fossil_energy_consumption,0.975,34008.918,34878.518,District,district,SAC
ramping,0.99,21372.678,21583.846,District,district,SAC
electricity_consumption,0.982,4448.274,4528.42,Building_3,building,SAC
carbon_emissions,0.983,2292.429,2332.712,Building_3,building,SAC
cost,0.983,2540.491,2584.57,Building_3,building,SAC
1 - used_pv_of_total_share,0.898,0.156,0.173,Building_3,building,SAC
electricity_consumption,0.999,5647.401,5652.286,Building_5,building,SAC
carbon_emissions,0.999,2878.853,2881.739,Building_5,building,SAC
cost,0.997,3063.788,3071.658,Building_5,building,SAC
1 - used_pv_of_total_share,0.884,0.108,0.122,Building_5,building,SAC
electricity_consumption,0.995,5510.454,5540.207,Building_7,building,SAC
carbon_emissions,0.994,2794.115,2810.394,Building_7,building,SAC
cost,0.991,2914.781,2939.918,Building_7,building,SAC
1 - used_pv_of_total_share,0.912,0.197,0.216,Building_7,building,SAC
electricity_consumption,0.95,5695.771,5997.7,Building_8,building,SAC
carbon_emissions,0.95,2910.816,3064.868,Building_8,building,SAC
cost,0.95,3130.286,3296.626,Building_8,building,SAC
1 - used_pv_of_total_share,0.828,0.125,0.151,Building_8,building,SAC
electricity_consumption,0.959,7322.217,7635.149,Building_11,building,SAC
carbon_emissions,0.958,3739.742,3901.761,Building_11,building,SAC
cost,0.956,4020.103,4206.557,Building_11,building,SAC
1 - used_pv_of_total_share,0.736,0.056,0.076,Building_11,building,SAC
electricity_consumption,1.002,10761.571,10745.375,Building_17,building,SAC
carbon_emissions,1.0,5483.086,5480.857,Building_17,building,SAC
cost,0.994,5882.815,5920.74,Building_17,building,SAC
1 - used_pv_of_total_share,0.8,0.101,0.127,Building_17,building,SAC
1 - average_daily_renewable_share,0.989,0.581,0.588,District,district,SAC Best
1 - average_daily_renewable_share_grid,0.982,0.783,0.797,District,district,SAC Best
1 - load_factor,0.994,0.852,0.857,District,district,SAC Best
1 - used_pv_of_total_share,0.92,0.135,0.144,District,district,SAC Best
average_daily_peak,0.957,10.318,10.782,District,district,SAC Best
carbon_emissions,0.978,3326.503,3412.055,District,district,SAC Best
cost,0.979,3581.236,3670.012,District,district,SAC Best
electricity_consumption,0.978,6511.344,6683.189,District,district,SAC Best
fossil_energy_consumption,0.969,33807.415,34878.518,District,district,SAC Best
ramping,0.96,20729.993,21583.846,District,district,SAC Best
electricity_consumption,0.988,4472.859,4528.42,Building_3,building,SAC Best
carbon_emissions,0.988,2305.16,2332.712,Building_3,building,SAC Best
cost,0.989,2556.56,2584.57,Building_3,building,SAC Best
1 - used_pv_of_total_share,0.97,0.168,0.173,Building_3,building,SAC Best
electricity_consumption,0.991,5598.813,5652.286,Building_5,building,SAC Best
carbon_emissions,0.991,2854.97,2881.739,Building_5,building,SAC Best
cost,0.991,3043.9,3071.658,Building_5,building,SAC Best
