kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.014,0.654,0.645,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,1.003,0.888,0.885,District,district,SAC_DB2Value
1 - load_factor,0.986,0.845,0.857,District,district,SAC_DB2Value
1 - used_pv_of_total_share,1.028,0.146,0.144,District,district,SAC_DB2Value
average_daily_peak,1.005,10.836,10.782,District,district,SAC_DB2Value
carbon_emissions,1.035,3536.269,3412.055,District,district,SAC_DB2Value
cost,1.029,3784.15,3670.012,District,district,SAC_DB2Value
electricity_consumption,1.036,6932.845,6683.189,District,district,SAC_DB2Value
fossil_energy_consumption,1.039,38933.893,37460.062,District,district,SAC_DB2Value
ramping,1.039,22433.001,21583.846,District,district,SAC_DB2Value
electricity_consumption,1.024,4639.164,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,1.022,2385.187,2332.712,Building_3,building,SAC_DB2Value
cost,1.013,2618.536,2584.57,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,0.983,0.17,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,1.038,5868.36,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,1.036,2985.396,2881.739,Building_5,building,SAC_DB2Value
cost,1.028,3157.172,3071.658,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,0.974,0.119,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,1.041,5768.358,5540.207,Building_7,building,SAC_DB2Value
carbon_emissions,1.039,2920.298,2810.394,Building_7,building,SAC_DB2Value
cost,1.03,3027.06,2939.918,Building_7,building,SAC_DB2Value
1 - used_pv_of_total_share,0.937,0.203,0.216,Building_7,building,SAC_DB2Value
electricity_consumption,1.05,6298.688,5997.7,Building_8,building,SAC_DB2Value
carbon_emissions,1.05,3218.731,3064.868,Building_8,building,SAC_DB2Value
cost,1.048,3453.784,3296.626,Building_8,building,SAC_DB2Value
1 - used_pv_of_total_share,1.076,0.162,0.151,Building_8,building,SAC_DB2Value
electricity_consumption,1.01,7714.826,7635.149,Building_11,building,SAC_DB2Value
carbon_emissions,1.01,3941.345,3901.761,Building_11,building,SAC_DB2Value
cost,1.008,4238.22,4206.557,Building_11,building,SAC_DB2Value
1 - used_pv_of_total_share,1.06,0.081,0.076,Building_11,building,SAC_DB2Value
electricity_consumption,1.052,11307.676,10745.375,Building_17,building,SAC_DB2Value
carbon_emissions,1.052,5766.655,5480.857,Building_17,building,SAC_DB2Value
cost,1.049,6210.129,5920.74,Building_17,building,SAC_DB2Value
1 - used_pv_of_total_share,1.135,0.144,0.127,Building_17,building,SAC_DB2Value
1 - average_daily_renewable_share,0.99,0.638,0.645,District,district,SAC_DB2Value Best
1 - average_daily_renewable_share_grid,0.984,0.871,0.885,District,district,SAC_DB2Value Best
1 - load_factor,0.984,0.843,0.857,District,district,SAC_DB2Value Best
1 - used_pv_of_total_share,0.805,0.116,0.144,District,district,SAC_DB2Value Best
average_daily_peak,0.904,9.745,10.782,District,district,SAC_DB2Value Best
carbon_emissions,0.939,3221.88,3412.055,District,district,SAC_DB2Value Best
cost,0.937,3458.41,3670.012,District,district,SAC_DB2Value Best
electricity_consumption,0.939,6310.087,6683.189,District,district,SAC_DB2Value Best
fossil_energy_consumption,0.939,35171.792,37460.062,District,district,SAC_DB2Value Best
ramping,0.944,20372.373,21583.846,District,district,SAC_DB2Value Best
electricity_consumption,0.915,4145.466,4528.42,Building_3,building,SAC_DB2Value Best
carbon_emissions,0.916,2137.674,2332.712,Building_3,building,SAC_DB2Value Best
cost,0.917,2371.178,2584.57,Building_3,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.845,0.146,0.173,Building_3,building,SAC_DB2Value Best
electricity_consumption,0.946,5346.169,5652.286,Building_5,building,SAC_DB2Value Best
carbon_emissions,0.946,2725.81,2881.739,Building_5,building,SAC_DB2Value Best
cost,0.944,2900.329,3071.658,Building_5,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.844,0.103,0.122,Building_5,building,SAC_DB2Value Best
electricity_consumption,0.937,5191.965,5540.207,Building_7,building,SAC_DB2Value Best
carbon_emissions,0.936,2630.687,2810.394,Building_7,building,SAC_DB2Value Best
cost,0.93,2734.488,2939.918,Building_7,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.79,0.171,0.216,Building_7,building,SAC_DB2Value Best
electricity_consumption,0.92,5518.247,5997.7,Building_8,building,SAC_DB2Value Best
carbon_emissions,0.921,2821.999,3064.868,Building_8,building,SAC_DB2Value Best
cost,0.921,3037.007,3296.626,Building_8,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.772,0.116,0.151,Building_8,building,SAC_DB2Value Best
electricity_consumption,0.934,7127.455,7635.149,Building_11,building,SAC_DB2Value Best
carbon_emissions,0.934,3644.923,3901.761,Building_11,building,SAC_DB2Value Best
cost,0.934,3930.012,4206.557,Building_11,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.753,0.057,0.076,Building_11,building,SAC_DB2Value Best
electricity_consumption,0.98,10531.219,10745.375,Building_17,building,SAC_DB2Value Best
carbon_emissions,0.98,5370.19,5480.857,Building_17,building,SAC_DB2Value Best
cost,0.976,5777.444,5920.74,Building_17,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.823,0.104,0.127,Building_17,building,SAC_DB2Value Best
