kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.019,0.599,0.588,District,district,RBC
1 - average_daily_renewable_share_grid,1.015,0.809,0.797,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.072,37373.874,34878.518,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.975,0.574,0.588,District,district,SAC
1 - average_daily_renewable_share_grid,0.956,0.762,0.797,District,district,SAC
1 - load_factor,0.98,0.84,0.857,District,district,SAC
1 - used_pv_of_total_share,0.74,0.108,0.144,District,district,SAC
average_daily_peak,0.896,9.659,10.782,District,district,SAC
carbon_emissions,0.939,3215.179,3412.055,District,district,SAC
cost,0.934,3440.14,3670.012,District,district,SAC
electricity_consumption,0.939,6300.363,6683.189,District,district,SAC
fossil_energy_consumption,0.929,32388.469,34878.518,District,district,SAC
ramping,0.961,20737.971,21583.846,District,district,SAC
electricity_consumption,0.921,4168.618,4528.42,Building_3,building,SAC
carbon_emissions,0.921,2147.764,2332.712,Building_3,building,SAC
cost,0.918,2372.55,2584.57,Building_3,building,SAC
1 - used_pv_of_total_share,0.764,0.132,0.173,Building_3,building,SAC
electricity_consumption,0.946,5345.363,5652.286,Building_5,building,SAC
carbon_emissions,0.946,2724.743,2881.739,Building_5,building,SAC
cost,0.943,2895.907,3071.658,Building_5,building,SAC
1 - used_pv_of_total_share,0.754,0.092,0.122,Building_5,building,SAC
electricity_consumption,0.938,5195.724,5540.207,Building_7,building,SAC
carbon_emissions,0.937,2633.743,2810.394,Building_7,building,SAC
cost,0.931,2738.316,2939.918,Building_7,building,SAC
1 - used_pv_of_total_share,0.794,0.172,0.216,Building_7,building,SAC
electricity_consumption,0.925,5548.143,5997.7,Building_8,building,SAC
carbon_emissions,0.925,2833.485,3064.868,Building_8,building,SAC
cost,0.919,3028.374,3296.626,Building_8,building,SAC
1 - used_pv_of_total_share,0.73,0.11,0.151,Building_8,building,SAC
electricity_consumption,0.943,7196.553,7635.149,Building_11,building,SAC
carbon_emissions,0.943,3677.78,3901.761,Building_11,building,SAC
cost,0.939,3951.576,4206.557,Building_11,building,SAC
1 - used_pv_of_total_share,0.707,0.054,0.076,Building_11,building,SAC
electricity_consumption,0.963,10347.775,10745.375,Building_17,building,SAC
carbon_emissions,0.962,5273.562,5480.857,Building_17,building,SAC
cost,0.955,5654.117,5920.74,Building_17,building,SAC
1 - used_pv_of_total_share,0.69,0.087,0.127,Building_17,building,SAC
1 - average_daily_renewable_share,0.971,0.571,0.588,District,district,SAC Best
1 - average_daily_renewable_share_grid,0.956,0.762,0.797,District,district,SAC Best
1 - load_factor,0.981,0.841,0.857,District,district,SAC Best
1 - used_pv_of_total_share,0.763,0.11,0.144,District,district,SAC Best
average_daily_peak,0.895,9.646,10.782,District,district,SAC Best
carbon_emissions,0.933,3199.111,3412.055,District,district,SAC Best
cost,0.931,3434.736,3670.012,District,district,SAC Best
electricity_consumption,0.933,6264.137,6683.189,District,district,SAC Best
fossil_energy_consumption,0.924,32239.892,34878.518,District,district,SAC Best
ramping,0.958,20681.038,21583.846,District,district,SAC Best
electricity_consumption,0.9,4073.566,4528.42,Building_3,building,SAC Best
carbon_emissions,0.901,2100.723,2332.712,Building_3,building,SAC Best
cost,0.901,2327.521,2584.57,Building_3,building,SAC Best
1 - used_pv_of_total_share,0.747,0.129,0.173,Building_3,building,SAC Best
electricity_consumption,0.935,5285.931,5652.286,Building_5,building,SAC Best
carbon_emissions,0.935,2695.623,2881.739,Building_5,building,SAC Best
cost,0.934,2868.707,3071.658,Building_5,building,SAC Best
