kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.004,0.647,0.645,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,0.993,0.879,0.885,District,district,SAC_DB2Value
1 - load_factor,0.982,0.841,0.857,District,district,SAC_DB2Value
1 - used_pv_of_total_share,0.937,0.133,0.144,District,district,SAC_DB2Value
average_daily_peak,0.984,10.607,10.782,District,district,SAC_DB2Value
carbon_emissions,1.0,3419.455,3412.055,District,district,SAC_DB2Value
cost,0.995,3660.272,3670.012,District,district,SAC_DB2Value
electricity_consumption,1.002,6704.295,6683.189,District,district,SAC_DB2Value
fossil_energy_consumption,1.002,37549.354,37460.062,District,district,SAC_DB2Value
ramping,1.004,21666.544,21583.846,District,district,SAC_DB2Value
electricity_consumption,0.986,4463.358,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,0.984,2294.283,2332.712,Building_3,building,SAC_DB2Value
cost,0.975,2519.855,2584.57,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,0.939,0.163,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,0.995,5622.626,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,0.994,2865.096,2881.739,Building_5,building,SAC_DB2Value
cost,0.993,3050.071,3071.658,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,0.923,0.112,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,1.023,5665.135,5540.207,Building_7,building,SAC_DB2Value
carbon_emissions,1.022,2872.118,2810.394,Building_7,building,SAC_DB2Value
cost,1.018,2993.854,2939.918,Building_7,building,SAC_DB2Value
1 - used_pv_of_total_share,0.835,0.181,0.216,Building_7,building,SAC_DB2Value
electricity_consumption,1.003,6018.403,5997.7,Building_8,building,SAC_DB2Value
carbon_emissions,1.001,3068.306,3064.868,Building_8,building,SAC_DB2Value
cost,0.991,3268.337,3296.626,Building_8,building,SAC_DB2Value
1 - used_pv_of_total_share,0.996,0.15,0.151,Building_8,building,SAC_DB2Value
electricity_consumption,0.986,7525.77,7635.149,Building_11,building,SAC_DB2Value
carbon_emissions,0.985,3842.272,3901.761,Building_11,building,SAC_DB2Value
cost,0.981,4125.489,4206.557,Building_11,building,SAC_DB2Value
1 - used_pv_of_total_share,0.971,0.074,0.076,Building_11,building,SAC_DB2Value
electricity_consumption,1.017,10930.475,10745.375,Building_17,building,SAC_DB2Value
carbon_emissions,1.017,5574.653,5480.857,Building_17,building,SAC_DB2Value
cost,1.014,6004.028,5920.74,Building_17,building,SAC_DB2Value
1 - used_pv_of_total_share,0.956,0.121,0.127,Building_17,building,SAC_DB2Value
1 - average_daily_renewable_share,0.99,0.638,0.645,District,district,SAC_DB2Value Best
1 - average_daily_renewable_share_grid,0.984,0.871,0.885,District,district,SAC_DB2Value Best
1 - load_factor,0.98,0.84,0.857,District,district,SAC_DB2Value Best
1 - used_pv_of_total_share,0.829,0.119,0.144,District,district,SAC_DB2Value Best
average_daily_peak,0.911,9.824,10.782,District,district,SAC_DB2Value Best
carbon_emissions,0.94,3228.022,3412.055,District,district,SAC_DB2Value Best
cost,0.94,3469.595,3670.012,District,district,SAC_DB2Value Best
electricity_consumption,0.94,6319.685,6683.189,District,district,SAC_DB2Value Best
fossil_energy_consumption,0.941,35234.383,37460.062,District,district,SAC_DB2Value Best
ramping,0.938,20240.068,21583.846,District,district,SAC_DB2Value Best
electricity_consumption,0.913,4134.725,4528.42,Building_3,building,SAC_DB2Value Best
carbon_emissions,0.914,2131.774,2332.712,Building_3,building,SAC_DB2Value Best
cost,0.915,2365.026,2584.57,Building_3,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.883,0.153,0.173,Building_3,building,SAC_DB2Value Best
electricity_consumption,0.943,5331.265,5652.286,Building_5,building,SAC_DB2Value Best
carbon_emissions,0.944,2720.539,2881.739,Building_5,building,SAC_DB2Value Best
cost,0.945,2902.852,3071.658,Building_5,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.821,0.1,0.122,Building_5,building,SAC_DB2Value Best
electricity_consumption,0.923,5112.929,5540.207,Building_7,building,SAC_DB2Value Best
carbon_emissions,0.923,2592.675,2810.394,Building_7,building,SAC_DB2Value Best
cost,0.919,2702.374,2939.918,Building_7,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.761,0.165,0.216,Building_7,building,SAC_DB2Value Best
electricity_consumption,0.931,5585.343,5997.7,Building_8,building,SAC_DB2Value Best
carbon_emissions,0.932,2856.169,3064.868,Building_8,building,SAC_DB2Value Best
cost,0.931,3069.278,3296.626,Building_8,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.832,0.125,0.151,Building_8,building,SAC_DB2Value Best
electricity_consumption,0.953,7275.096,7635.149,Building_11,building,SAC_DB2Value Best
carbon_emissions,0.954,3721.202,3901.761,Building_11,building,SAC_DB2Value Best
cost,0.954,4015.122,4206.557,Building_11,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.856,0.065,0.076,Building_11,building,SAC_DB2Value Best
electricity_consumption,0.975,10478.752,10745.375,Building_17,building,SAC_DB2Value Best
carbon_emissions,0.975,5345.774,5480.857,Building_17,building,SAC_DB2Value Best
cost,0.973,5762.918,5920.74,Building_17,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.82,0.104,0.127,Building_17,building,SAC_DB2Value Best
