kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.995,0.642,0.645,District,district,MARLISA
1 - average_daily_renewable_share_grid,0.989,0.875,0.885,District,district,MARLISA
1 - load_factor,0.991,0.849,0.857,District,district,MARLISA
1 - used_pv_of_total_share,0.883,0.128,0.144,District,district,MARLISA
average_daily_peak,0.956,10.311,10.782,District,district,MARLISA
carbon_emissions,0.972,3320.982,3412.055,District,district,MARLISA
cost,0.971,3570.805,3670.012,District,district,MARLISA
electricity_consumption,0.971,6504.234,6683.189,District,district,MARLISA
fossil_energy_consumption,0.97,36349.732,37460.062,District,district,MARLISA
ramping,0.978,21101.421,21583.846,District,district,MARLISA
electricity_consumption,0.946,4282.112,4528.42,Building_3,building,MARLISA
carbon_emissions,0.944,2202.742,2332.712,Building_3,building,MARLISA
cost,0.939,2425.673,2584.57,Building_3,building,MARLISA
1 - used_pv_of_total_share,0.821,0.142,0.173,Building_3,building,MARLISA
electricity_consumption,0.983,5558.111,5652.286,Building_5,building,MARLISA
carbon_emissions,0.984,2835.267,2881.739,Building_5,building,MARLISA
cost,0.986,3027.189,3071.658,Building_5,building,MARLISA
1 - used_pv_of_total_share,0.905,0.11,0.122,Building_5,building,MARLISA
electricity_consumption,0.995,5511.206,5540.207,Building_7,building,MARLISA
carbon_emissions,0.995,2795.709,2810.394,Building_7,building,MARLISA
cost,0.995,2924.458,2939.918,Building_7,building,MARLISA
1 - used_pv_of_total_share,0.964,0.209,0.216,Building_7,building,MARLISA
electricity_consumption,0.962,5772.212,5997.7,Building_8,building,MARLISA
carbon_emissions,0.962,2949.735,3064.868,Building_8,building,MARLISA
cost,0.962,3171.454,3296.626,Building_8,building,MARLISA
1 - used_pv_of_total_share,0.87,0.131,0.151,Building_8,building,MARLISA
electricity_consumption,0.956,7302.978,7635.149,Building_11,building,MARLISA
carbon_emissions,0.957,3735.614,3901.761,Building_11,building,MARLISA
cost,0.96,4037.485,4206.557,Building_11,building,MARLISA
1 - used_pv_of_total_share,0.828,0.063,0.076,Building_11,building,MARLISA
electricity_consumption,0.986,10598.783,10745.375,Building_17,building,MARLISA
carbon_emissions,0.986,5406.826,5480.857,Building_17,building,MARLISA
cost,0.986,5838.571,5920.74,Building_17,building,MARLISA
1 - used_pv_of_total_share,0.912,0.115,0.127,Building_17,building,MARLISA
1 - average_daily_renewable_share,0.997,0.643,0.645,District,district,MARLISA Best
1 - average_daily_renewable_share_grid,0.995,0.881,0.885,District,district,MARLISA Best
1 - load_factor,0.997,0.855,0.857,District,district,MARLISA Best
1 - used_pv_of_total_share,0.953,0.138,0.144,District,district,MARLISA Best
average_daily_peak,0.977,10.532,10.782,District,district,MARLISA Best
carbon_emissions,0.987,3372.734,3412.055,District,district,MARLISA Best
cost,0.988,3631.411,3670.012,District,district,MARLISA Best
electricity_consumption,0.987,6603.747,6683.189,District,district,MARLISA Best
fossil_energy_consumption,0.987,36975.788,37460.062,District,district,MARLISA Best
ramping,0.978,21110.955,21583.846,District,district,MARLISA Best
electricity_consumption,0.981,4441.267,4528.42,Building_3,building,MARLISA Best
carbon_emissions,0.982,2289.872,2332.712,Building_3,building,MARLISA Best
cost,0.984,2543.654,2584.57,Building_3,building,MARLISA Best
1 - used_pv_of_total_share,0.963,0.167,0.173,Building_3,building,MARLISA Best
electricity_consumption,0.977,5523.961,5652.286,Building_5,building,MARLISA Best
carbon_emissions,0.978,2817.897,2881.739,Building_5,building,MARLISA Best
cost,0.98,3008.807,3071.658,Building_5,building,MARLISA Best
1 - used_pv_of_total_share,0.871,0.106,0.122,Building_5,building,MARLISA Best
electricity_consumption,0.999,5536.666,5540.207,Building_7,building,MARLISA Best
carbon_emissions,0.999,2808.666,2810.394,Building_7,building,MARLISA Best
cost,0.999,2938.302,2939.918,Building_7,building,MARLISA Best
1 - used_pv_of_total_share,0.994,0.215,0.216,Building_7,building,MARLISA Best
electricity_consumption,0.981,5881.049,5997.7,Building_8,building,MARLISA Best
carbon_emissions,0.981,3006.864,3064.868,Building_8,building,MARLISA Best
cost,0.983,3238.957,3296.626,Building_8,building,MARLISA Best
1 - used_pv_of_total_share,0.948,0.143,0.151,Building_8,building,MARLISA Best
electricity_consumption,0.986,7525.672,7635.149,Building_11,building,MARLISA Best
carbon_emissions,0.986,3847.774,3901.761,Building_11,building,MARLISA Best
cost,0.987,4153.738,4206.557,Building_11,building,MARLISA Best
1 - used_pv_of_total_share,0.95,0.072,0.076,Building_11,building,MARLISA Best
electricity_consumption,0.997,10713.866,10745.375,Building_17,building,MARLISA Best
carbon_emissions,0.997,5465.334,5480.857,Building_17,building,MARLISA Best
cost,0.997,5905.007,5920.74,Building_17,building,MARLISA Best
1 - used_pv_of_total_share,0.994,0.126,0.127,Building_17,building,MARLISA Best
