kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.998,0.643,0.645,District,district,MARLISA
1 - average_daily_renewable_share_grid,0.992,0.878,0.885,District,district,MARLISA
1 - load_factor,0.991,0.849,0.857,District,district,MARLISA
1 - used_pv_of_total_share,0.903,0.13,0.144,District,district,MARLISA
average_daily_peak,0.959,10.336,10.782,District,district,MARLISA
carbon_emissions,0.979,3342.034,3412.055,District,district,MARLISA
cost,0.977,3589.083,3670.012,District,district,MARLISA
electricity_consumption,0.979,6547.654,6683.189,District,district,MARLISA
fossil_energy_consumption,0.977,36612.234,37460.062,District,district,MARLISA
ramping,0.976,21070.121,21583.846,District,district,MARLISA
electricity_consumption,0.971,4398.049,4528.42,Building_3,building,MARLISA
carbon_emissions,0.972,2266.325,2332.712,Building_3,building,MARLISA
cost,0.972,2512.46,2584.57,Building_3,building,MARLISA
1 - used_pv_of_total_share,0.918,0.159,0.173,Building_3,building,MARLISA
electricity_consumption,0.994,5619.542,5652.286,Building_5,building,MARLISA
carbon_emissions,0.994,2865.106,2881.739,Building_5,building,MARLISA
cost,0.994,3053.713,3071.658,Building_5,building,MARLISA
1 - used_pv_of_total_share,0.914,0.111,0.122,Building_5,building,MARLISA
electricity_consumption,0.966,5350.417,5540.207,Building_7,building,MARLISA
carbon_emissions,0.964,2708.151,2810.394,Building_7,building,MARLISA
cost,0.956,2809.582,2939.918,Building_7,building,MARLISA
1 - used_pv_of_total_share,0.888,0.192,0.216,Building_7,building,MARLISA
electricity_consumption,0.979,5872.774,5997.7,Building_8,building,MARLISA
carbon_emissions,0.978,2997.719,3064.868,Building_8,building,MARLISA
cost,0.973,3208.498,3296.626,Building_8,building,MARLISA
1 - used_pv_of_total_share,0.904,0.136,0.151,Building_8,building,MARLISA
electricity_consumption,0.98,7485.167,7635.149,Building_11,building,MARLISA
carbon_emissions,0.981,3827.837,3901.761,Building_11,building,MARLISA
cost,0.983,4133.252,4206.557,Building_11,building,MARLISA
1 - used_pv_of_total_share,0.888,0.068,0.076,Building_11,building,MARLISA
electricity_consumption,0.983,10559.975,10745.375,Building_17,building,MARLISA
carbon_emissions,0.983,5387.067,5480.857,Building_17,building,MARLISA
cost,0.982,5816.993,5920.74,Building_17,building,MARLISA
1 - used_pv_of_total_share,0.907,0.115,0.127,Building_17,building,MARLISA
1 - average_daily_renewable_share,0.995,0.641,0.645,District,district,MARLISA Best
1 - average_daily_renewable_share_grid,0.993,0.879,0.885,District,district,MARLISA Best
1 - load_factor,0.996,0.853,0.857,District,district,MARLISA Best
1 - used_pv_of_total_share,0.932,0.135,0.144,District,district,MARLISA Best
average_daily_peak,0.972,10.48,10.782,District,district,MARLISA Best
carbon_emissions,0.984,3355.913,3412.055,District,district,MARLISA Best
cost,0.985,3611.667,3670.012,District,district,MARLISA Best
electricity_consumption,0.984,6570.985,6683.189,District,district,MARLISA Best
fossil_energy_consumption,0.982,36769.387,37460.062,District,district,MARLISA Best
ramping,0.979,21122.118,21583.846,District,district,MARLISA Best
electricity_consumption,0.978,4427.663,4528.42,Building_3,building,MARLISA Best
carbon_emissions,0.978,2281.408,2332.712,Building_3,building,MARLISA Best
cost,0.978,2528.365,2584.57,Building_3,building,MARLISA Best
1 - used_pv_of_total_share,0.924,0.16,0.173,Building_3,building,MARLISA Best
electricity_consumption,0.992,5609.068,5652.286,Building_5,building,MARLISA Best
carbon_emissions,0.993,2860.784,2881.739,Building_5,building,MARLISA Best
cost,0.994,3052.947,3071.658,Building_5,building,MARLISA Best
1 - used_pv_of_total_share,0.951,0.116,0.122,Building_5,building,MARLISA Best
electricity_consumption,0.991,5491.18,5540.207,Building_7,building,MARLISA Best
carbon_emissions,0.991,2785.508,2810.394,Building_7,building,MARLISA Best
cost,0.991,2914.193,2939.918,Building_7,building,MARLISA Best
1 - used_pv_of_total_share,0.955,0.207,0.216,Building_7,building,MARLISA Best
electricity_consumption,0.982,5892.54,5997.7,Building_8,building,MARLISA Best
carbon_emissions,0.983,3012.239,3064.868,Building_8,building,MARLISA Best
cost,0.984,3242.84,3296.626,Building_8,building,MARLISA Best
1 - used_pv_of_total_share,0.941,0.142,0.151,Building_8,building,MARLISA Best
electricity_consumption,0.975,7441.503,7635.149,Building_11,building,MARLISA Best
carbon_emissions,0.975,3805.721,3901.761,Building_11,building,MARLISA Best
cost,0.977,4110.451,4206.557,Building_11,building,MARLISA Best
1 - used_pv_of_total_share,0.913,0.069,0.076,Building_11,building,MARLISA Best
electricity_consumption,0.983,10563.959,10745.375,Building_17,building,MARLISA Best
carbon_emissions,0.983,5389.82,5480.857,Building_17,building,MARLISA Best
cost,0.983,5821.208,5920.74,Building_17,building,MARLISA Best
1 - used_pv_of_total_share,0.908,0.115,0.127,Building_17,building,MARLISA Best
