kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.009,0.583,0.578,District,district,RBC
1 - average_daily_renewable_share_grid,1.008,0.752,0.746,District,district,RBC
1 - load_factor,0.994,0.841,0.846,District,district,RBC
average_daily_peak,1.001,12.029,12.016,District,district,RBC
carbon_emissions,1.035,1228.524,1189.064,District,district,RBC
cost,1.052,4338.918,4130.79,District,district,RBC
electricity_consumption,1.054,7949.643,7555.609,District,district,RBC
ramping,1.039,23276.951,22409.754,District,district,RBC
electricity_consumption,1.053,7142.548,6785.789,Building_4,building,RBC
carbon_emissions,1.031,1093.384,1060.373,Building_4,building,RBC
cost,1.05,3939.192,3752.009,Building_4,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.045,976.432,934.55,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
electricity_consumption,1.053,7571.705,7189.804,Building_13,building,RBC
carbon_emissions,1.034,1148.801,1111.024,Building_13,building,RBC
cost,1.054,3994.957,3791.736,Building_13,building,RBC
electricity_consumption,1.066,7010.985,6573.883,Building_14,building,RBC
carbon_emissions,1.045,1081.995,1035.586,Building_14,building,RBC
cost,1.063,3876.769,3647.656,Building_14,building,RBC
electricity_consumption,1.05,8445.704,8041.101,Building_16,building,RBC
carbon_emissions,1.033,1296.589,1255.061,Building_16,building,RBC
cost,1.049,4591.322,4375.972,Building_16,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.021,1773.941,1737.79,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - average_daily_renewable_share,1.042,0.602,0.578,District,district,SAC
1 - average_daily_renewable_share_grid,1.028,0.767,0.746,District,district,SAC
1 - load_factor,0.995,0.842,0.846,District,district,SAC
average_daily_peak,1.051,12.629,12.016,District,district,SAC
carbon_emissions,1.105,1306.792,1189.064,District,district,SAC
cost,1.107,4550.842,4130.79,District,district,SAC
electricity_consumption,1.113,8367.252,7555.609,District,district,SAC
ramping,1.137,25489.17,22409.754,District,district,SAC
electricity_consumption,1.12,7598.851,6785.789,Building_4,building,SAC
carbon_emissions,1.118,1185.731,1060.373,Building_4,building,SAC
cost,1.109,4160.139,3752.009,Building_4,building,SAC
electricity_consumption,1.142,6848.334,5997.7,Building_8,building,SAC
carbon_emissions,1.134,1060.158,934.55,Building_8,building,SAC
cost,1.145,3774.753,3296.626,Building_8,building,SAC
electricity_consumption,1.111,7990.611,7189.804,Building_13,building,SAC
carbon_emissions,1.086,1207.079,1111.024,Building_13,building,SAC
cost,1.104,4184.629,3791.736,Building_13,building,SAC
electricity_consumption,1.14,7490.955,6573.883,Building_14,building,SAC
carbon_emissions,1.132,1172.411,1035.586,Building_14,building,SAC
cost,1.124,4101.2,3647.656,Building_14,building,SAC
electricity_consumption,1.104,8878.125,8041.101,Building_16,building,SAC
carbon_emissions,1.106,1388.292,1255.061,Building_16,building,SAC
cost,1.105,4835.023,4375.972,Building_16,building,SAC
electricity_consumption,1.061,11396.636,10745.375,Building_17,building,SAC
carbon_emissions,1.051,1827.082,1737.79,Building_17,building,SAC
cost,1.055,6249.308,5920.74,Building_17,building,SAC
1 - average_daily_renewable_share,1.047,0.605,0.578,District,district,SAC_DB2
1 - average_daily_renewable_share_grid,1.026,0.766,0.746,District,district,SAC_DB2
1 - load_factor,0.995,0.842,0.846,District,district,SAC_DB2
average_daily_peak,1.063,12.771,12.016,District,district,SAC_DB2
carbon_emissions,1.117,1322.473,1189.064,District,district,SAC_DB2
cost,1.122,4613.843,4130.79,District,district,SAC_DB2
electricity_consumption,1.127,8478.671,7555.609,District,district,SAC_DB2
ramping,1.176,26356.075,22409.754,District,district,SAC_DB2
electricity_consumption,1.147,7783.465,6785.789,Building_4,building,SAC_DB2
carbon_emissions,1.128,1196.456,1060.373,Building_4,building,SAC_DB2
cost,1.135,4257.257,3752.009,Building_4,building,SAC_DB2
electricity_consumption,1.147,6880.569,5997.7,Building_8,building,SAC_DB2
carbon_emissions,1.156,1079.959,934.55,Building_8,building,SAC_DB2
cost,1.148,3784.944,3296.626,Building_8,building,SAC_DB2
electricity_consumption,1.141,8206.682,7189.804,Building_13,building,SAC_DB2
carbon_emissions,1.131,1256.495,1111.024,Building_13,building,SAC_DB2
cost,1.143,4334.37,3791.736,Building_13,building,SAC_DB2
electricity_consumption,1.139,7488.821,6573.883,Building_14,building,SAC_DB2
carbon_emissions,1.123,1162.808,1035.586,Building_14,building,SAC_DB2
cost,1.131,4125.446,3647.656,Building_14,building,SAC_DB2
electricity_consumption,1.1,8848.7,8041.101,Building_16,building,SAC_DB2
carbon_emissions,1.092,1370.388,1255.061,Building_16,building,SAC_DB2
cost,1.094,4788.212,4375.972,Building_16,building,SAC_DB2
electricity_consumption,1.085,11663.789,10745.375,Building_17,building,SAC_DB2
carbon_emissions,1.075,1868.734,1737.79,Building_17,building,SAC_DB2
cost,1.08,6392.828,5920.74,Building_17,building,SAC_DB2
