kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.005,0.648,0.645,District,district,MARLISA
1 - average_daily_renewable_share_grid,1.001,0.886,0.885,District,district,MARLISA
1 - load_factor,0.998,0.855,0.857,District,district,MARLISA
1 - used_pv_of_total_share,0.993,0.143,0.144,District,district,MARLISA
average_daily_peak,0.994,10.719,10.782,District,district,MARLISA
carbon_emissions,1.013,3445.173,3412.055,District,district,MARLISA
cost,1.012,3700.402,3670.012,District,district,MARLISA
electricity_consumption,1.013,6748.735,6683.189,District,district,MARLISA
fossil_energy_consumption,1.01,37833.688,37460.062,District,district,MARLISA
ramping,1.01,21805.229,21583.846,District,district,MARLISA
electricity_consumption,1.032,4672.034,4528.42,Building_3,building,MARLISA
carbon_emissions,1.031,2404.043,2332.712,Building_3,building,MARLISA
cost,1.024,2647.038,2584.57,Building_3,building,MARLISA
1 - used_pv_of_total_share,0.983,0.17,0.173,Building_3,building,MARLISA
electricity_consumption,1.066,6023.04,5652.286,Building_5,building,MARLISA
carbon_emissions,1.067,3075.538,2881.739,Building_5,building,MARLISA
cost,1.072,3292.857,3071.658,Building_5,building,MARLISA
1 - used_pv_of_total_share,1.096,0.134,0.122,Building_5,building,MARLISA
electricity_consumption,0.995,5509.752,5540.207,Building_7,building,MARLISA
carbon_emissions,0.995,2795.593,2810.394,Building_7,building,MARLISA
cost,0.995,2926.291,2939.918,Building_7,building,MARLISA
1 - used_pv_of_total_share,0.979,0.212,0.216,Building_7,building,MARLISA
electricity_consumption,0.996,5972.71,5997.7,Building_8,building,MARLISA
carbon_emissions,0.996,3051.116,3064.868,Building_8,building,MARLISA
cost,0.994,3276.71,3296.626,Building_8,building,MARLISA
1 - used_pv_of_total_share,0.996,0.15,0.151,Building_8,building,MARLISA
electricity_consumption,0.993,7580.598,7635.149,Building_11,building,MARLISA
carbon_emissions,0.993,3874.702,3901.761,Building_11,building,MARLISA
cost,0.993,4178.878,4206.557,Building_11,building,MARLISA
1 - used_pv_of_total_share,0.982,0.075,0.076,Building_11,building,MARLISA
electricity_consumption,0.999,10734.278,10745.375,Building_17,building,MARLISA
carbon_emissions,0.998,5470.043,5480.857,Building_17,building,MARLISA
cost,0.993,5880.637,5920.74,Building_17,building,MARLISA
1 - used_pv_of_total_share,0.922,0.117,0.127,Building_17,building,MARLISA
1 - average_daily_renewable_share,0.996,0.642,0.645,District,district,MARLISA Best
1 - average_daily_renewable_share_grid,0.993,0.879,0.885,District,district,MARLISA Best
1 - load_factor,0.991,0.849,0.857,District,district,MARLISA Best
1 - used_pv_of_total_share,0.874,0.126,0.144,District,district,MARLISA Best
average_daily_peak,0.968,10.439,10.782,District,district,MARLISA Best
carbon_emissions,0.974,3330.683,3412.055,District,district,MARLISA Best
cost,0.972,3575.336,3670.012,District,district,MARLISA Best
electricity_consumption,0.974,6525.863,6683.189,District,district,MARLISA Best
fossil_energy_consumption,0.974,36483.168,37460.062,District,district,MARLISA Best
ramping,0.982,21188.951,21583.846,District,district,MARLISA Best
electricity_consumption,0.921,4170.644,4528.42,Building_3,building,MARLISA Best
carbon_emissions,0.921,2147.707,2332.712,Building_3,building,MARLISA Best
cost,0.918,2372.798,2584.57,Building_3,building,MARLISA Best
1 - used_pv_of_total_share,0.769,0.133,0.173,Building_3,building,MARLISA Best
electricity_consumption,1.007,5693.553,5652.286,Building_5,building,MARLISA Best
carbon_emissions,1.007,2901.025,2881.739,Building_5,building,MARLISA Best
cost,1.004,3082.977,3071.658,Building_5,building,MARLISA Best
1 - used_pv_of_total_share,0.897,0.109,0.122,Building_5,building,MARLISA Best
electricity_consumption,0.994,5504.26,5540.207,Building_7,building,MARLISA Best
carbon_emissions,0.993,2789.75,2810.394,Building_7,building,MARLISA Best
cost,0.989,2906.925,2939.918,Building_7,building,MARLISA Best
1 - used_pv_of_total_share,0.932,0.202,0.216,Building_7,building,MARLISA Best
electricity_consumption,0.97,5818.052,5997.7,Building_8,building,MARLISA Best
carbon_emissions,0.971,2974.644,3064.868,Building_8,building,MARLISA Best
cost,0.971,3202.164,3296.626,Building_8,building,MARLISA Best
1 - used_pv_of_total_share,0.935,0.141,0.151,Building_8,building,MARLISA Best
electricity_consumption,0.973,7427.784,7635.149,Building_11,building,MARLISA Best
carbon_emissions,0.973,3797.118,3901.761,Building_11,building,MARLISA Best
cost,0.974,4095.422,4206.557,Building_11,building,MARLISA Best
1 - used_pv_of_total_share,0.893,0.068,0.076,Building_11,building,MARLISA Best
electricity_consumption,0.981,10540.885,10745.375,Building_17,building,MARLISA Best
carbon_emissions,0.98,5373.856,5480.857,Building_17,building,MARLISA Best
cost,0.978,5791.732,5920.74,Building_17,building,MARLISA Best
1 - used_pv_of_total_share,0.816,0.103,0.127,Building_17,building,MARLISA Best
